stress_level,method,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
0.0,embedding_diversity_selection,0.616458,0.01419,0.59528,0.000282,0.637827,0.014083,0.420703,0.00074,0.320768,0.000629,0.065798,0.000254,0.048493,0.000373,0.036065,0.000202,0.143054,0.000157,0.18659,0.0,0.127381,0.0,0.040496,0.00024,0.047144,0.000203,0.035572,0.000157,0.027975,0.000134,0.1202,0.000332,0.257246,0.016203,10
0.0,failure_prediction_selection,0.628542,0.010736,0.626912,0.000524,0.669993,0.010359,0.517746,0.000843,0.453515,0.000717,0.041187,0.00024,0.041683,0.000332,0.031876,0.000202,0.143011,0.000199,0.231859,0.0,0.155994,0.0,0.038958,0.000198,0.045065,0.000167,0.034449,0.000226,0.025929,0.000169,0.088388,0.000362,0.233255,0.018522,10
0.0,proposed_mechanism_coverage_audit_v4,0.666875,0.017027,0.668016,0.000498,0.73333,0.015713,0.636918,0.000463,0.532842,0.000577,0.021712,0.000425,0.038315,0.00035,0.028314,0.000255,0.10903,0.000164,0.213326,0.0,0.137869,0.0,0.03592,9.9e-05,0.039374,0.000194,0.031924,0.000145,0.024038,9.8e-05,0.064605,0.000498,0.179657,0.013241,10
0.0,mechanism_coverage_gap_audit_v5,0.719792,0.010442,0.714116,0.000499,0.803211,0.009834,0.724612,0.000627,0.605931,0.00044,0.00381,0.00018,0.034985,0.000129,0.024422,0.000206,0.085812,0.000196,0.174652,0.0,0.110152,0.0,0.032414,0.000285,0.034945,0.000247,0.028772,0.000149,0.022218,0.00015,0.04226,0.000228,0.118826,0.012498,10
0.0,dataset_card_compliance_selection,0.613542,0.014498,0.60766,0.000387,0.644799,0.014401,0.458798,0.000654,0.35949,0.000894,0.049382,0.000369,0.045759,0.00041,0.030926,0.000212,0.13565,0.000226,0.202562,0.0,0.133124,0.0,0.03488,0.000151,0.040089,0.000183,0.029302,0.000151,0.026065,0.000104,0.099164,0.000488,0.252624,0.01564,10
0.0,oracle_mechanism_labeled_selector,0.79375,0.014997,0.791745,0.000422,0.876255,0.011256,0.775494,0.00054,0.653366,0.000627,3.8e-05,2.1e-05,0.033232,0.000215,0.021915,0.000175,0.071012,0.000186,0.165979,0.0,0.103894,0.0,0.030026,0.000118,0.032124,0.000206,0.027025,0.000195,0.021616,0.00015,0.03592,0.000161,0.0,0.0,10
0.111111,embedding_diversity_selection,0.577292,0.01382,0.581578,0.000379,0.59518,0.01358,0.41519,0.000709,0.314838,0.000625,0.070422,0.000268,0.059051,0.000222,0.038185,0.00025,0.145444,0.000185,0.189256,0.0,0.129534,0.0,0.041718,0.00021,0.051038,0.000124,0.03918,0.000192,0.030787,8.3e-05,0.133803,0.000475,0.280905,0.013926,10
0.111111,failure_prediction_selection,0.614375,0.016076,0.614507,0.000361,0.653288,0.015618,0.51273,0.000652,0.446775,0.000749,0.0446,0.000261,0.047627,0.000326,0.033377,0.000217,0.145404,0.000201,0.234526,0.0,0.158105,0.0,0.040166,0.000188,0.047847,0.000173,0.037724,0.000264,0.028115,0.00012,0.097008,0.000327,0.228907,0.014796,10
0.111111,proposed_mechanism_coverage_audit_v4,0.660208,0.018617,0.657273,0.000451,0.724797,0.01837,0.630851,0.000717,0.528216,0.000711,0.024032,0.000259,0.042985,0.000193,0.029236,0.000176,0.111284,0.000225,0.215992,0.0,0.139888,0.0,0.036835,0.000214,0.041228,0.00016,0.034238,0.000222,0.02543,7.1e-05,0.070889,0.000369,0.170294,0.016404,10
0.111111,mechanism_coverage_gap_audit_v5,0.6975,0.01513,0.704195,0.000377,0.78138,0.013801,0.719566,0.000544,0.600092,0.000394,0.004654,0.000243,0.037536,0.000176,0.024697,0.000202,0.088002,0.00015,0.177319,0.0,0.112056,0.0,0.03263,0.000141,0.03629,0.000125,0.029742,0.000179,0.022926,0.000208,0.045154,0.000392,0.124215,0.009967,10
