method,split,seed,success,success_ci95,mechanism_recall,mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_failure,tail_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
task_count_selection,unseen_mechanism_shift,6,0.4405,0.0229,0.2403,0.003,0.1628,0.0189,0.1545,0.0133,0.217,0.0012,0.1484,0.0,0.29,0.0026,35,0.2442
task_count_selection,combined_stress,0,0.4119,0.0264,0.2405,0.0028,0.1692,0.021,0.1725,0.0146,0.224,0.0014,0.1555,0.0,0.2776,0.0023,35,0.2415
task_count_selection,combined_stress,1,0.418,0.0297,0.2383,0.0027,0.17,0.021,0.1719,0.0156,0.2218,0.0015,0.1555,0.0,0.2774,0.0026,35,0.2507
task_count_selection,combined_stress,2,0.4116,0.025,0.2398,0.0036,0.1687,0.0208,0.1711,0.0155,0.223,0.0014,0.1555,0.0,0.2776,0.0028,35,0.249
task_count_selection,combined_stress,3,0.4078,0.0238,0.2359,0.003,0.1694,0.0203,0.1711,0.0153,0.2233,0.0012,0.1555,0.0,0.2799,0.0025,35,0.2667
task_count_selection,combined_stress,4,0.4119,0.0304,0.2365,0.0036,0.1681,0.0205,0.1724,0.0155,0.2231,0.0013,0.1555,0.0,0.28,0.0023,35,0.2578
task_count_selection,combined_stress,5,0.4061,0.0228,0.2377,0.0035,0.1687,0.0202,0.1708,0.015,0.2235,0.0011,0.1555,0.0,0.2755,0.0026,35,0.267
task_count_selection,combined_stress,6,0.4167,0.0262,0.2375,0.003,0.1696,0.0212,0.1732,0.0155,0.223,0.001,0.1555,0.0,0.278,0.0025,35,0.2412
embodiment_count_selection,nominal,0,0.5582,0.0263,0.3082,0.0033,0.1036,0.0105,0.1157,0.0084,0.2008,0.0012,0.148,0.0,0.334,0.0026,35,0.2024
embodiment_count_selection,nominal,1,0.549,0.0217,0.3107,0.0035,0.1034,0.0106,0.1158,0.009,0.2001,0.0013,0.148,0.0,0.3386,0.0022,35,0.2061
embodiment_count_selection,nominal,2,0.5429,0.0175,0.3072,0.0034,0.1021,0.0105,0.1148,0.009,0.1999,0.0014,0.148,0.0,0.338,0.0023,35,0.1952
embodiment_count_selection,nominal,3,0.5463,0.0208,0.3111,0.0034,0.1021,0.0107,0.116,0.0087,0.2,0.0012,0.148,0.0,0.3358,0.0029,35,0.2078
embodiment_count_selection,nominal,4,0.5415,0.0203,0.3102,0.0033,0.1036,0.0109,0.1146,0.0087,0.1993,0.0013,0.148,0.0,0.3374,0.0025,35,0.1986
embodiment_count_selection,nominal,5,0.5197,0.0237,0.3105,0.0034,0.1047,0.0105,0.1163,0.0086,0.2004,0.0013,0.148,0.0,0.3383,0.0025,35,0.2303
embodiment_count_selection,nominal,6,0.5391,0.0206,0.3101,0.003,0.1034,0.0109,0.1154,0.0087,0.2,0.0016,0.148,0.0,0.3394,0.0027,35,0.2024
embodiment_count_selection,seen_task_shift,0,0.501,0.0227,0.304,0.0036,0.1193,0.0131,0.1335,0.011,0.207,0.0012,0.1563,0.0,0.326,0.0026,35,0.2129
embodiment_count_selection,seen_task_shift,1,0.4956,0.0223,0.3007,0.0036,0.1176,0.0129,0.1361,0.0111,0.2071,0.0014,0.1563,0.0,0.327,0.0029,35,0.2293
embodiment_count_selection,seen_task_shift,2,0.5071,0.0225,0.2976,0.0031,0.1187,0.0129,0.1348,0.0114,0.2057,0.001,0.1563,0.0,0.3255,0.0026,35,0.2228
embodiment_count_selection,seen_task_shift,3,0.5031,0.0218,0.2982,0.0038,0.119,0.0129,0.1347,0.011,0.2055,0.0013,0.1563,0.0,0.3269,0.0026,35,0.2102
embodiment_count_selection,seen_task_shift,4,0.5003,0.0248,0.2973,0.003,0.1185,0.0129,0.1341,0.0111,0.2057,0.0014,0.1563,0.0,0.3281,0.003,35,0.2133
embodiment_count_selection,seen_task_shift,5,0.5034,0.0222,0.2984,0.0031,0.1191,0.0139,0.1336,0.0113,0.206,0.0013,0.1563,0.0,0.3293,0.0023,35,0.2163
embodiment_count_selection,seen_task_shift,6,0.5071,0.0243,0.2973,0.0036,0.1193,0.0134,0.134,0.0114,0.2079,0.0013,0.1563,0.0,0.3268,0.0023,35,0.2102
embodiment_count_selection,unseen_object_shift,0,0.484,0.0248,0.2934,0.0028,0.1329,0.0151,0.1405,0.0114,0.2105,0.0017,0.1615,0.0,0.318,0.0025,35,0.2327
embodiment_count_selection,unseen_object_shift,1,0.4816,0.0232,0.2897,0.0033,0.1328,0.0155,0.143,0.012,0.21,0.0011,0.1615,0.0,0.3207,0.0028,35,0.2282
embodiment_count_selection,unseen_object_shift,2,0.4905,0.0257,0.2904,0.0029,0.1324,0.0153,0.1414,0.0118,0.2114,0.0013,0.1615,0.0,0.3204,0.0024,35,0.185
embodiment_count_selection,unseen_object_shift,3,0.4755,0.0223,0.2905,0.0031,0.1319,0.0159,0.1422,0.0121,0.2103,0.0013,0.1615,0.0,0.3181,0.0023,35,0.2272
embodiment_count_selection,unseen_object_shift,4,0.4864,0.0231,0.2923,0.0031,0.1313,0.016,0.1414,0.0121,0.2103,0.001,0.1615,0.0,0.3203,0.0024,35,0.2221
embodiment_count_selection,unseen_object_shift,5,0.4762,0.0229,0.2927,0.0028,0.1323,0.016,0.1427,0.0125,0.2111,0.0014,0.1615,0.0,0.3215,0.003,35,0.2255
embodiment_count_selection,unseen_object_shift,6,0.4912,0.0259,0.2899,0.0037,0.132,0.0161,0.1407,0.0116,0.2112,0.0012,0.1615,0.0,0.3206,0.0026,35,0.1895
embodiment_count_selection,unseen_mechanism_shift,0,0.4599,0.0299,0.2685,0.0032,0.1544,0.0184,0.1502,0.0132,0.2133,0.0012,0.1653,0.0,0.3143,0.0023,35,0.2456
embodiment_count_selection,unseen_mechanism_shift,1,0.4459,0.0253,0.2688,0.0032,0.1547,0.0182,0.1499,0.0131,0.2144,0.0015,0.1653,0.0,0.3167,0.0026,35,0.2524
embodiment_count_selection,unseen_mechanism_shift,2,0.4575,0.0201,0.2647,0.0037,0.155,0.0185,0.1505,0.013,0.2145,0.0016,0.1653,0.0,0.3136,0.0025,35,0.2197
embodiment_count_selection,unseen_mechanism_shift,3,0.469,0.0249,0.2654,0.0038,0.1533,0.0173,0.1502,0.0129,0.2143,0.0014,0.1653,0.0,0.314,0.0025,35,0.2099
embodiment_count_selection,unseen_mechanism_shift,4,0.4534,0.0246,0.2676,0.0035,0.1552,0.0184,0.1506,0.0135,0.2134,0.0012,0.1653,0.0,0.3143,0.0026,35,0.2442
embodiment_count_selection,unseen_mechanism_shift,5,0.4684,0.0233,0.2669,0.003,0.1555,0.0189,0.1514,0.013,0.2124,0.0014,0.1653,0.0,0.3148,0.0025,35,0.2095
embodiment_count_selection,unseen_mechanism_shift,6,0.4476,0.0295,0.2709,0.0033,0.1555,0.0186,0.1518,0.0132,0.2128,0.0012,0.1653,0.0,0.3152,0.0022,35,0.2371
embodiment_count_selection,combined_stress,0,0.435,0.0252,0.2639,0.003,0.1604,0.0201,0.165,0.0155,0.2191,0.0011,0.1723,0.0,0.3069,0.0027,35,0.2184
embodiment_count_selection,combined_stress,1,0.4228,0.0264,0.2696,0.0035,0.1606,0.0196,0.1651,0.015,0.2176,0.0011,0.1723,0.0,0.3075,0.0027,35,0.2459
embodiment_count_selection,combined_stress,2,0.4344,0.0274,0.2664,0.0033,0.1617,0.0202,0.1659,0.0147,0.2192,0.001,0.1723,0.0,0.3064,0.0024,35,0.2262
embodiment_count_selection,combined_stress,3,0.4031,0.0258,0.2681,0.003,0.1626,0.02,0.167,0.0151,0.2192,0.001,0.1723,0.0,0.3084,0.0027,35,0.2714
embodiment_count_selection,combined_stress,4,0.4398,0.0273,0.2661,0.0035,0.1614,0.0198,0.1659,0.0151,0.2184,0.0014,0.1723,0.0,0.3076,0.0023,35,0.2299
embodiment_count_selection,combined_stress,5,0.4303,0.0238,0.2648,0.0028,0.1609,0.0201,0.1662,0.015,0.2183,0.0015,0.1723,0.0,0.3067,0.0024,35,0.2429
embodiment_count_selection,combined_stress,6,0.4187,0.0282,0.2648,0.0035,0.1607,0.0196,0.1657,0.0146,0.2193,0.0011,0.1723,0.0,0.307,0.0032,35,0.2391
random_balanced_selection,nominal,0,0.5534,0.0214,0.3619,0.0033,0.0944,0.009,0.109,0.0082,0.1759,0.0014,0.168,0.0,0.3953,0.0026,35,0.2071
random_balanced_selection,nominal,1,0.5497,0.0204,0.365,0.0037,0.0959,0.0094,0.1094,0.0083,0.1764,0.0014,0.168,0.0,0.3963,0.0029,35,0.2054
random_balanced_selection,nominal,2,0.5395,0.0206,0.3683,0.0025,0.0944,0.0094,0.1095,0.0081,0.1756,0.0014,0.168,0.0,0.3952,0.0032,35,0.1986
random_balanced_selection,nominal,3,0.5415,0.018,0.3679,0.0034,0.0928,0.0092,0.1096,0.0079,0.176,0.001,0.168,0.0,0.3919,0.0028,35,0.2126
random_balanced_selection,nominal,4,0.5391,0.0201,0.3663,0.003,0.0933,0.0096,0.1093,0.0078,0.1744,0.001,0.168,0.0,0.3942,0.0026,35,0.201
random_balanced_selection,nominal,5,0.5371,0.0177,0.3647,0.0035,0.0941,0.0093,0.109,0.0074,0.1761,0.0012,0.168,0.0,0.3946,0.0024,35,0.2129
random_balanced_selection,nominal,6,0.5425,0.0244,0.3655,0.0033,0.0956,0.0095,0.1084,0.0077,0.1761,0.0011,0.168,0.0,0.3965,0.0024,35,0.199
random_balanced_selection,seen_task_shift,0,0.5014,0.0233,0.3538,0.0029,0.1067,0.012,0.1259,0.0104,0.1832,0.0012,0.1763,0.0,0.3838,0.0029,35,0.2126
random_balanced_selection,seen_task_shift,1,0.5034,0.0237,0.355,0.0036,0.1091,0.0116,0.1269,0.01,0.1836,0.0014,0.1763,0.0,0.3855,0.0026,35,0.2214
random_balanced_selection,seen_task_shift,2,0.5102,0.0202,0.3536,0.0034,0.1071,0.0119,0.126,0.0103,0.1827,0.0013,0.1763,0.0,0.3855,0.0019,35,0.2197
random_balanced_selection,seen_task_shift,3,0.5177,0.023,0.3537,0.0034,0.1069,0.0118,0.1263,0.0099,0.1815,0.0012,0.1763,0.0,0.3862,0.0022,35,0.1956
random_balanced_selection,seen_task_shift,4,0.5041,0.0213,0.3566,0.0038,0.1075,0.0117,0.1272,0.0105,0.1819,0.0012,0.1763,0.0,0.3817,0.0025,35,0.2095
random_balanced_selection,seen_task_shift,5,0.4983,0.0212,0.3525,0.0034,0.106,0.0114,0.1254,0.0097,0.182,0.0014,0.1763,0.0,0.3818,0.0021,35,0.2214
random_balanced_selection,seen_task_shift,6,0.5041,0.0257,0.3558,0.0033,0.108,0.012,0.1259,0.0105,0.1821,0.0014,0.1763,0.0,0.3846,0.0028,35,0.2133
random_balanced_selection,unseen_object_shift,0,0.5003,0.0181,0.3474,0.0028,0.1198,0.0141,0.1326,0.0113,0.1875,0.001,0.1814,0.0,0.3765,0.0026,35,0.2163
random_balanced_selection,unseen_object_shift,1,0.4905,0.0211,0.3483,0.0032,0.118,0.0134,0.1339,0.0107,0.1854,0.0016,0.1814,0.0,0.3786,0.0026,35,0.2194
random_balanced_selection,unseen_object_shift,2,0.4799,0.0212,0.3433,0.0025,0.1202,0.0136,0.1328,0.0106,0.1871,0.0012,0.1814,0.0,0.3795,0.0026,35,0.1956
random_balanced_selection,unseen_object_shift,3,0.5017,0.0215,0.3472,0.0034,0.1199,0.014,0.1354,0.0109,0.1863,0.0013,0.1814,0.0,0.3768,0.0027,35,0.201
random_balanced_selection,unseen_object_shift,4,0.4833,0.0246,0.3501,0.0034,0.1191,0.0143,0.1336,0.0108,0.1857,0.0013,0.1814,0.0,0.3763,0.0027,35,0.2252
random_balanced_selection,unseen_object_shift,5,0.4827,0.0204,0.3474,0.0027,0.1195,0.0144,0.1323,0.0118,0.1855,0.0013,0.1814,0.0,0.3773,0.0024,35,0.219
random_balanced_selection,unseen_object_shift,6,0.4973,0.02,0.3493,0.0029,0.1207,0.0139,0.1333,0.0106,0.1882,0.0013,0.1814,0.0,0.3764,0.0026,35,0.1833
random_balanced_selection,unseen_mechanism_shift,0,0.469,0.0258,0.3226,0.0035,0.1376,0.0167,0.1424,0.0118,0.1883,0.0015,0.1853,0.0,0.3725,0.0024,35,0.2364
random_balanced_selection,unseen_mechanism_shift,1,0.4605,0.0246,0.3198,0.0035,0.1385,0.0165,0.1428,0.0114,0.1907,0.0015,0.1853,0.0,0.3717,0.003,35,0.2378
random_balanced_selection,unseen_mechanism_shift,2,0.4704,0.0197,0.324,0.0036,0.1409,0.017,0.141,0.0121,0.1898,0.0012,0.1853,0.0,0.3743,0.0027,35,0.2068
random_balanced_selection,unseen_mechanism_shift,3,0.4776,0.0194,0.3245,0.0034,0.1396,0.0164,0.1433,0.0118,0.1885,0.0015,0.1853,0.0,0.3744,0.0023,35,0.2014
random_balanced_selection,unseen_mechanism_shift,4,0.4626,0.0267,0.3243,0.0036,0.1393,0.0163,0.141,0.0117,0.1897,0.0012,0.1853,0.0,0.3742,0.0023,35,0.235
random_balanced_selection,unseen_mechanism_shift,5,0.4435,0.0257,0.3205,0.0035,0.139,0.016,0.1415,0.0118,0.1901,0.0013,0.1853,0.0,0.3742,0.0027,35,0.2344
random_balanced_selection,unseen_mechanism_shift,6,0.4568,0.0201,0.3227,0.0035,0.1402,0.0165,0.1414,0.0118,0.1895,0.0013,0.1853,0.0,0.3715,0.0027,35,0.2279
random_balanced_selection,combined_stress,0,0.4337,0.0266,0.3214,0.004,0.1453,0.0176,0.1555,0.0133,0.1928,0.0015,0.1923,0.0,0.3645,0.0031,35,0.2197
random_balanced_selection,combined_stress,1,0.4422,0.0234,0.3226,0.0043,0.1446,0.0177,0.1555,0.0133,0.195,0.0013,0.1923,0.0,0.3634,0.003,35,0.2265
random_balanced_selection,combined_stress,2,0.4252,0.0264,0.3234,0.0033,0.1436,0.0175,0.1545,0.0134,0.1948,0.0013,0.1923,0.0,0.3641,0.0026,35,0.2354
random_balanced_selection,combined_stress,3,0.4415,0.0201,0.3222,0.0034,0.1447,0.0178,0.1545,0.0131,0.1962,0.0013,0.1923,0.0,0.3672,0.0025,35,0.233
random_balanced_selection,combined_stress,4,0.4245,0.0271,0.3231,0.0033,0.1458,0.018,0.1551,0.0139,0.1951,0.0014,0.1923,0.0,0.3647,0.0028,35,0.2452
random_balanced_selection,combined_stress,5,0.4337,0.0221,0.3214,0.003,0.1464,0.0176,0.1554,0.0137,0.1959,0.0015,0.1923,0.0,0.3645,0.0029,35,0.2395
random_balanced_selection,combined_stress,6,0.4405,0.0248,0.3193,0.0035,0.1435,0.018,0.1552,0.0138,0.1953,0.0012,0.1923,0.0,0.3636,0.0028,35,0.2173
embedding_diversity_selection,nominal,0,0.567,0.0247,0.4267,0.0033,0.0825,0.0079,0.1023,0.0077,0.161,0.0014,0.2075,0.0,0.4605,0.003,35,0.1935
embedding_diversity_selection,nominal,1,0.5711,0.0169,0.4299,0.0027,0.0829,0.0084,0.1032,0.0077,0.1601,0.0013,0.2075,0.0,0.4574,0.0032,35,0.184
embedding_diversity_selection,nominal,2,0.5707,0.024,0.4274,0.0026,0.0827,0.008,0.1012,0.0071,0.1605,0.0013,0.2075,0.0,0.4579,0.0028,35,0.1673
embedding_diversity_selection,nominal,3,0.5626,0.0225,0.4261,0.0038,0.0832,0.0085,0.1029,0.0078,0.1608,0.0014,0.2075,0.0,0.4587,0.0026,35,0.1915
embedding_diversity_selection,nominal,4,0.5684,0.0171,0.4285,0.0036,0.0832,0.0079,0.1026,0.0072,0.1604,0.0014,0.2075,0.0,0.4593,0.0029,35,0.1718
embedding_diversity_selection,nominal,5,0.5643,0.0217,0.4277,0.0031,0.083,0.0086,0.1039,0.0071,0.1602,0.0011,0.2075,0.0,0.457,0.0023,35,0.1857
