method,seed,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
random_balanced_selection,1,0.480208,0.022342,0.470231,0.004585,0.462861,0.022621,0.316131,0.001121,0.240732,0.001157,0.111238,0.004017,0.126434,0.003497,0.052367,0.001734,0.173701,0.000388,0.170454,0.000218,0.130938,0.000521,0.049294,0.001618,0.077357,0.001944,0.059295,0.001477,0.050757,0.000571,0.232247,0.007252,0.366855,0.025441,320
random_balanced_selection,2,0.484896,0.023189,0.469965,0.004598,0.467364,0.023421,0.316853,0.001117,0.238782,0.001206,0.111628,0.00406,0.126535,0.003492,0.052065,0.001751,0.173619,0.000382,0.170454,0.000218,0.130938,0.000521,0.049455,0.001596,0.077141,0.001948,0.059095,0.001467,0.050736,0.000584,0.232562,0.007322,0.356326,0.027303,320
random_balanced_selection,3,0.459375,0.022701,0.470037,0.004606,0.442287,0.022765,0.317231,0.001114,0.239221,0.001155,0.111635,0.004032,0.126202,0.003489,0.051959,0.001767,0.173268,0.000397,0.170454,0.000218,0.130938,0.000521,0.049483,0.001565,0.077397,0.001964,0.059272,0.001501,0.050911,0.000608,0.232266,0.007282,0.374488,0.02654,320
random_balanced_selection,4,0.470313,0.024978,0.470406,0.004658,0.453743,0.025127,0.316531,0.001167,0.239358,0.001175,0.11156,0.004046,0.126383,0.003511,0.052128,0.001751,0.17317,0.000378,0.170454,0.000218,0.130938,0.000521,0.04928,0.001595,0.077105,0.001979,0.059306,0.001494,0.05084,0.000575,0.232411,0.007312,0.378974,0.02718,320
random_balanced_selection,5,0.46875,0.023016,0.469856,0.004659,0.451412,0.023221,0.316772,0.001147,0.239271,0.001171,0.11193,0.004028,0.126736,0.003511,0.052006,0.001713,0.173502,0.000376,0.170454,0.000218,0.130938,0.000521,0.04918,0.001589,0.076902,0.001983,0.059376,0.001482,0.050811,0.000606,0.232984,0.007272,0.367793,0.025584,320
random_balanced_selection,6,0.471875,0.022653,0.470362,0.004623,0.454608,0.022785,0.317254,0.001147,0.239484,0.001261,0.111443,0.004006,0.126588,0.003508,0.052118,0.001726,0.173498,0.00037,0.170454,0.000218,0.130938,0.000521,0.049553,0.001592,0.077196,0.001932,0.059318,0.001449,0.050835,0.000568,0.232443,0.007254,0.374255,0.025848,320
random_balanced_selection,7,0.452604,0.022796,0.469566,0.00467,0.435326,0.023045,0.316274,0.001071,0.239522,0.001197,0.111581,0.004029,0.126239,0.003472,0.052142,0.001742,0.173605,0.00039,0.170454,0.000218,0.130938,0.000521,0.04914,0.001585,0.077319,0.001969,0.059427,0.001489,0.05085,0.000587,0.232331,0.007256,0.385109,0.026268,320
random_balanced_selection,8,0.461458,0.022328,0.470179,0.004538,0.443964,0.022587,0.316836,0.001131,0.238954,0.001161,0.111827,0.004022,0.126451,0.0035,0.052296,0.00173,0.173552,0.000378,0.170454,0.000218,0.130938,0.000521,0.049488,0.001586,0.077272,0.001992,0.059627,0.001501,0.050826,0.00059,0.232814,0.007267,0.386526,0.025948,320
random_balanced_selection,9,0.484375,0.022194,0.469821,0.00455,0.4672,0.022288,0.317733,0.001079,0.239486,0.00115,0.111474,0.004016,0.126555,0.003505,0.052036,0.001752,0.173326,0.000377,0.170454,0.000218,0.130938,0.000521,0.049281,0.001602,0.077114,0.001957,0.058934,0.001505,0.050747,0.000597,0.232408,0.007282,0.34867,0.024194,320
embedding_diversity_selection,0,0.507292,0.024008,0.50326,0.004275,0.502625,0.024172,0.38037,0.001019,0.283376,0.001235,0.097791,0.003575,0.118055,0.003199,0.049401,0.00161,0.158108,0.000372,0.20447,0.000218,0.141659,0.000498,0.048153,0.00153,0.072182,0.001764,0.057659,0.001416,0.047312,0.00053,0.211032,0.006552,0.340947,0.026622,320
embedding_diversity_selection,1,0.492708,0.022802,0.503129,0.004279,0.487864,0.02309,0.380436,0.001173,0.282906,0.001254,0.098,0.003558,0.118307,0.003208,0.049738,0.001624,0.15778,0.000367,0.20447,0.000218,0.141659,0.000498,0.048301,0.001531,0.072117,0.001791,0.057452,0.001461,0.047224,0.000522,0.211599,0.006538,0.344588,0.024937,320
embedding_diversity_selection,2,0.508333,0.022614,0.50281,0.00421,0.50355,0.022883,0.380459,0.001158,0.283245,0.001132,0.097527,0.003589,0.11783,0.003248,0.049494,0.001614,0.157859,0.000377,0.20447,0.000218,0.141659,0.000498,0.048246,0.00155,0.072342,0.001793,0.057545,0.001404,0.047358,0.000534,0.210646,0.006611,0.321964,0.024562,320
embedding_diversity_selection,3,0.509375,0.022747,0.503005,0.004213,0.504877,0.022952,0.381227,0.001096,0.283219,0.001199,0.097813,0.003504,0.118155,0.003196,0.049261,0.001597,0.158204,0.000384,0.20447,0.000218,0.141659,0.000498,0.048035,0.001531,0.072338,0.001789,0.057508,0.001407,0.047355,0.000531,0.21106,0.006488,0.318331,0.02554,320
embedding_diversity_selection,4,0.489063,0.021242,0.502502,0.004243,0.484126,0.021441,0.38003,0.001127,0.282699,0.001267,0.097306,0.003567,0.118073,0.003195,0.049659,0.001609,0.158059,0.000371,0.20447,0.000218,0.141659,0.000498,0.048387,0.001522,0.072479,0.001771,0.057462,0.001417,0.047403,0.000529,0.21069,0.006542,0.349118,0.02594,320
embedding_diversity_selection,5,0.516667,0.023288,0.502824,0.004194,0.511884,0.023501,0.381046,0.00103,0.282581,0.001115,0.097576,0.003575,0.117699,0.003174,0.049453,0.001612,0.157833,0.000348,0.20447,0.000218,0.141659,0.000498,0.048504,0.001497,0.072179,0.001749,0.057713,0.001387,0.047108,0.000551,0.210577,0.006534,0.316338,0.024219,320
embedding_diversity_selection,6,0.501563,0.020828,0.502761,0.004193,0.496731,0.021055,0.379817,0.001141,0.283044,0.001125,0.097442,0.003555,0.118029,0.00321,0.049342,0.001614,0.157886,0.000368,0.20447,0.000218,0.141659,0.000498,0.048086,0.001499,0.072061,0.001787,0.057613,0.0014,0.047275,0.000532,0.210634,0.006531,0.334017,0.024444,320
embedding_diversity_selection,7,0.49375,0.021966,0.502586,0.004191,0.489139,0.022138,0.380684,0.001093,0.282908,0.00115,0.097972,0.003597,0.118171,0.003215,0.049467,0.00158,0.158018,0.000366,0.20447,0.000218,0.141659,0.000498,0.04809,0.001556,0.071975,0.001784,0.057572,0.00143,0.047161,0.000537,0.211334,0.006576,0.335567,0.025883,320
embedding_diversity_selection,8,0.485417,0.023837,0.50273,0.004291,0.48063,0.023837,0.380841,0.00111,0.282623,0.001158,0.098119,0.003574,0.11871,0.003217,0.049482,0.001642,0.157658,0.00035,0.20447,0.000218,0.141659,0.000498,0.048332,0.001502,0.072078,0.001789,0.057817,0.001428,0.047478,0.000513,0.211892,0.006575,0.355635,0.025766,320
embedding_diversity_selection,9,0.5,0.023405,0.502263,0.004233,0.495303,0.023444,0.380309,0.001144,0.283614,0.001165,0.097865,0.0036,0.118202,0.003144,0.04923,0.001638,0.157799,0.000388,0.20447,0.000218,0.141659,0.000498,0.048604,0.001519,0.072248,0.00179,0.05779,0.001426,0.047227,0.000532,0.211132,0.006546,0.324447,0.025767,320
uncertainty_sampling,0,0.521875,0.02269,0.517969,0.003858,0.527163,0.02275,0.410816,0.001097,0.341799,0.001177,0.083075,0.003197,0.097243,0.002484,0.044701,0.001397,0.16445,0.000357,0.234111,0.000218,0.16102,0.000476,0.047655,0.001447,0.069643,0.001702,0.0562,0.001375,0.044515,0.000486,0.178358,0.005543,0.315003,0.024452,320
uncertainty_sampling,1,0.526042,0.021885,0.518202,0.003852,0.531395,0.021984,0.411586,0.001114,0.342217,0.001202,0.08276,0.003202,0.096988,0.002501,0.045057,0.001396,0.164594,0.000368,0.234111,0.000218,0.16102,0.000476,0.047087,0.001439,0.069556,0.001708,0.05564,0.001366,0.044307,0.000486,0.178029,0.00557,0.308606,0.024428,320
uncertainty_sampling,2,0.507812,0.02184,0.517694,0.003891,0.513231,0.021941,0.411141,0.001115,0.341866,0.001224,0.083009,0.003226,0.097071,0.002489,0.044792,0.001391,0.164306,0.000374,0.234111,0.000218,0.16102,0.000476,0.047463,0.001423,0.069272,0.00171,0.055719,0.001357,0.044331,0.000487,0.178208,0.00558,0.317458,0.025356,320
uncertainty_sampling,3,0.503125,0.020901,0.517707,0.003826,0.508659,0.021047,0.411502,0.001194,0.341539,0.001232,0.082732,0.00327,0.096857,0.002465,0.045032,0.001389,0.16414,0.000368,0.234111,0.000218,0.16102,0.000476,0.047341,0.00145,0.06965,0.001731,0.056003,0.001354,0.044554,0.000489,0.177892,0.005608,0.314233,0.023493,320
uncertainty_sampling,4,0.534896,0.021809,0.518577,0.003831,0.540436,0.021915,0.411476,0.001118,0.342846,0.001184,0.082853,0.003229,0.09723,0.002437,0.044954,0.001423,0.164511,0.00037,0.234111,0.000218,0.16102,0.000476,0.047202,0.001427,0.069421,0.001683,0.055862,0.00136,0.044539,0.000502,0.178253,0.00555,0.298023,0.023842,320
uncertainty_sampling,5,0.524479,0.021498,0.517681,0.003864,0.530071,0.021659,0.411353,0.001055,0.342794,0.001195,0.082851,0.00326,0.09683,0.00246,0.044807,0.001394,0.164416,0.000396,0.234111,0.000218,0.16102,0.000476,0.047178,0.001468,0.069561,0.001726,0.055774,0.001369,0.044429,0.000498,0.177877,0.005601,0.300761,0.024168,320
uncertainty_sampling,6,0.522917,0.023043,0.51807,0.003859,0.528427,0.023135,0.411532,0.001068,0.342746,0.001232,0.082886,0.003235,0.096864,0.002447,0.044763,0.001374,0.164306,0.000366,0.234111,0.000218,0.16102,0.000476,0.047322,0.001446,0.069788,0.001715,0.055845,0.001367,0.044363,0.000498,0.177916,0.005554,0.303271,0.025529,320
uncertainty_sampling,7,0.538542,0.02195,0.518366,0.003892,0.544255,0.022158,0.411863,0.00126,0.342374,0.00118,0.082959,0.003255,0.096895,0.002458,0.044821,0.001404,0.164297,0.00037,0.234111,0.000218,0.16102,0.000476,0.046968,0.001453,0.069523,0.001719,0.055925,0.00133,0.044329,0.0005,0.17804,0.005587,0.29148,0.023739,320
uncertainty_sampling,8,0.521354,0.023264,0.517874,0.003881,0.526932,0.023373,0.41241,0.001094,0.34233,0.001115,0.082959,0.003281,0.097143,0.002456,0.044637,0.001391,0.164037,0.000391,0.234111,0.000218,0.16102,0.000476,0.04718,0.001446,0.069427,0.001681,0.056101,0.001354,0.044433,0.000513,0.178134,0.005628,0.314267,0.024891,320
uncertainty_sampling,9,0.532292,0.022118,0.517392,0.003877,0.537853,0.022199,0.411601,0.001042,0.341448,0.001213,0.082802,0.003279,0.096832,0.00243,0.044896,0.001388,0.16456,0.000372,0.234111,0.000218,0.16102,0.000476,0.047106,0.001418,0.069286,0.001715,0.055793,0.00133,0.04437,0.000506,0.177874,0.005585,0.286842,0.023989,320
failure_prediction_selection,0,0.54375,0.022306,0.543591,0.003358,0.566294,0.022188,0.478189,0.001147,0.41563,0.001201,0.064672,0.00271,0.0808,0.001886,0.041105,0.001212,0.158179,0.000368,0.249739,0.000218,0.170005,0.00045,0.045614,0.001338,0.064665,0.001614,0.054235,0.001274,0.040012,0.000454,0.145825,0.004531,0.278493,0.024282,320
failure_prediction_selection,1,0.533854,0.020998,0.543543,0.003399,0.557045,0.021143,0.477498,0.00109,0.416117,0.001174,0.065006,0.002675,0.080427,0.001902,0.041335,0.001219,0.158231,0.0004,0.249739,0.000218,0.170005,0.00045,0.045855,0.001357,0.064525,0.001581,0.053915,0.00129,0.040082,0.000438,0.145994,0.004527,0.282073,0.02348,320
failure_prediction_selection,2,0.548438,0.023759,0.544424,0.003336,0.570961,0.02364,0.477667,0.001111,0.416339,0.001224,0.065279,0.002703,0.080762,0.001849,0.041406,0.001218,0.158255,0.000374,0.249739,0.000218,0.170005,0.00045,0.0455,0.001356,0.064761,0.001567,0.054184,0.001281,0.040043,0.000416,0.146553,0.004522,0.268041,0.024562,320
failure_prediction_selection,3,0.531771,0.021431,0.543701,0.003365,0.555067,0.021523,0.476732,0.001044,0.415861,0.001195,0.064697,0.002656,0.080335,0.001865,0.041258,0.001193,0.158227,0.000375,0.249739,0.000218,0.170005,0.00045,0.046032,0.001349,0.064943,0.001604,0.053824,0.001285,0.040489,0.000453,0.145576,0.004468,0.27239,0.024294,320
failure_prediction_selection,4,0.538542,0.021468,0.542795,0.003397,0.561509,0.021459,0.477629,0.001071,0.415736,0.001128,0.065168,0.002655,0.080809,0.001849,0.040702,0.001224,0.157981,0.00038,0.249739,0.000218,0.170005,0.00045,0.045978,0.001368,0.06493,0.001579,0.053998,0.001276,0.040027,0.000439,0.146126,0.004462,0.283412,0.024008,320
failure_prediction_selection,5,0.532292,0.022353,0.543433,0.003389,0.554762,0.022209,0.477979,0.001083,0.415606,0.001249,0.065115,0.002641,0.080811,0.001956,0.041211,0.001207,0.158181,0.000399,0.249739,0.000218,0.170005,0.00045,0.045961,0.001364,0.064419,0.001578,0.054056,0.001268,0.04029,0.000467,0.146329,0.004531,0.280383,0.023668,320
failure_prediction_selection,6,0.54375,0.021445,0.543793,0.003322,0.566722,0.02145,0.47741,0.001089,0.414621,0.001271,0.065218,0.002626,0.080414,0.001853,0.041275,0.001203,0.158106,0.00037,0.249739,0.000218,0.170005,0.00045,0.045909,0.001334,0.064733,0.001554,0.053773,0.001303,0.040086,0.000423,0.146165,0.004434,0.269636,0.023572,320
failure_prediction_selection,7,0.547396,0.022473,0.543562,0.003438,0.570005,0.022464,0.477492,0.001014,0.415817,0.001194,0.065491,0.002681,0.080573,0.001871,0.041417,0.001249,0.158221,0.000363,0.249739,0.000218,0.170005,0.00045,0.04579,0.001328,0.064883,0.001538,0.05392,0.001308,0.040254,0.000433,0.146629,0.004507,0.27003,0.024252,320
failure_prediction_selection,8,0.530729,0.022865,0.543795,0.003395,0.553717,0.022851,0.477654,0.001141,0.414804,0.001184,0.064895,0.002638,0.080377,0.001888,0.041,0.001214,0.157979,0.000382,0.249739,0.000218,0.170005,0.00045,0.045901,0.001341,0.064542,0.001571,0.054259,0.001255,0.040055,0.000429,0.145678,0.004464,0.293516,0.024179,320
failure_prediction_selection,9,0.548438,0.02367,0.54395,0.003367,0.571146,0.023685,0.478018,0.001068,0.416003,0.001141,0.065389,0.002664,0.080644,0.001889,0.04102,0.001224,0.158023,0.000344,0.249739,0.000218,0.170005,0.00045,0.045576,0.001358,0.064563,0.001576,0.053932,0.001278,0.040208,0.000406,0.146381,0.004499,0.263595,0.024144,320
value_of_information_active_selection,0,0.545833,0.022582,0.548501,0.003304,0.567352,0.022511,0.481753,0.001098,0.410424,0.001181,0.064091,0.002679,0.082903,0.001991,0.04099,0.001208,0.153584,0.000382,0.262446,0.000218,0.181366,0.000428,0.044805,0.001284,0.063841,0.001541,0.052552,0.001227,0.039976,0.000455,0.146763,0.004597,0.282586,0.023134,320
value_of_information_active_selection,1,0.547917,0.021582,0.548128,0.003362,0.570019,0.021549,0.482264,0.001154,0.412065,0.001136,0.063724,0.00264,0.082456,0.001926,0.041125,0.001185,0.153355,0.000362,0.262446,0.000218,0.181366,0.000428,0.044907,0.00128,0.064172,0.001562,0.052547,0.001235,0.039901,0.000407,0.146128,0.004479,0.271686,0.022917,320
