method,seed,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
trajectory_count_selection,0,0.40625,0.022511,0.4149,0.005565,0.36245,0.022418,0.185487,0.001111,0.134782,0.001226,0.145633,0.005066,0.148841,0.0043,0.059795,0.00217,0.213874,0.000414,0.099358,0.000218,0.08732,0.000627,0.05432,0.001972,0.090577,0.002513,0.067335,0.001829,0.059633,0.00072,0.287161,0.009093,0.462844,0.02707,320
trajectory_count_selection,1,0.426042,0.023112,0.415197,0.005597,0.382524,0.022967,0.186163,0.001202,0.13561,0.001192,0.145081,0.005084,0.148468,0.004269,0.059667,0.002121,0.214157,0.000381,0.099358,0.000218,0.08732,0.000627,0.05413,0.001936,0.090622,0.002467,0.067138,0.00185,0.059584,0.00072,0.286265,0.009045,0.438547,0.026687,320
trajectory_count_selection,2,0.423438,0.023303,0.416251,0.005568,0.379655,0.023203,0.185773,0.001175,0.134933,0.001228,0.145187,0.005092,0.148369,0.00429,0.059713,0.002146,0.214128,0.000387,0.099358,0.000218,0.08732,0.000627,0.054137,0.00195,0.09071,0.002501,0.067061,0.001837,0.059604,0.000712,0.28632,0.009086,0.435544,0.026572,320
trajectory_count_selection,3,0.405729,0.022647,0.416156,0.005596,0.361324,0.022778,0.186047,0.001154,0.134692,0.001218,0.145131,0.005123,0.148613,0.004281,0.059745,0.00214,0.21388,0.000395,0.099358,0.000218,0.08732,0.000627,0.054412,0.001944,0.090687,0.002528,0.067327,0.001811,0.059743,0.000742,0.286463,0.009113,0.447804,0.025716,320
trajectory_count_selection,4,0.410938,0.022716,0.415126,0.005565,0.366716,0.022793,0.186441,0.00113,0.13471,0.001195,0.144815,0.005095,0.148734,0.00431,0.059759,0.002155,0.214193,0.000361,0.099358,0.000218,0.08732,0.000627,0.054138,0.001944,0.090355,0.002544,0.067168,0.001815,0.0595,0.000713,0.286246,0.009121,0.460406,0.027549,320
trajectory_count_selection,5,0.397396,0.022017,0.415509,0.005538,0.354236,0.021901,0.186128,0.001125,0.13411,0.001289,0.145379,0.005085,0.148849,0.004258,0.05982,0.002138,0.21382,0.000378,0.099358,0.000218,0.08732,0.000627,0.054388,0.001953,0.090631,0.0025,0.067272,0.001803,0.05977,0.000711,0.286926,0.00906,0.460685,0.02609,320
trajectory_count_selection,6,0.425521,0.022286,0.415711,0.005566,0.381145,0.022259,0.186697,0.001081,0.134128,0.00117,0.145537,0.005078,0.148645,0.004295,0.059814,0.002138,0.213979,0.000397,0.099358,0.000218,0.08732,0.000627,0.05403,0.001986,0.090967,0.002503,0.067096,0.001817,0.059597,0.000727,0.286927,0.009069,0.441255,0.026916,320
trajectory_count_selection,7,0.406771,0.021419,0.415104,0.005571,0.362117,0.02155,0.186445,0.001119,0.13344,0.001142,0.145432,0.005054,0.148204,0.00424,0.059923,0.002167,0.213968,0.000337,0.099358,0.000218,0.08732,0.000627,0.054642,0.001981,0.090797,0.002509,0.067394,0.001806,0.05972,0.000766,0.286546,0.009031,0.454263,0.026527,320
trajectory_count_selection,8,0.413021,0.02154,0.414884,0.005529,0.368687,0.021458,0.186682,0.001179,0.136346,0.001127,0.145485,0.005111,0.149034,0.004261,0.059787,0.002179,0.213965,0.000392,0.099358,0.000218,0.08732,0.000627,0.054341,0.001957,0.090597,0.002509,0.067177,0.001821,0.059589,0.000725,0.287154,0.009111,0.456617,0.026644,320
trajectory_count_selection,9,0.398958,0.02165,0.415146,0.005599,0.354009,0.021817,0.186852,0.001143,0.13583,0.001182,0.145188,0.005078,0.148376,0.004256,0.059753,0.00215,0.21423,0.000369,0.099358,0.000218,0.08732,0.000627,0.054192,0.001952,0.090887,0.002508,0.067544,0.001821,0.059597,0.0007,0.286346,0.009065,0.455266,0.02673,320
task_count_selection,0,0.448958,0.021785,0.440125,0.005304,0.413108,0.022008,0.234948,0.001113,0.171285,0.001186,0.134124,0.004745,0.140413,0.004,0.057208,0.002034,0.20343,0.00039,0.130546,0.000218,0.106361,0.000605,0.053153,0.001869,0.087041,0.002386,0.065729,0.001729,0.057094,0.000684,0.268037,0.00848,0.416432,0.025108,320
task_count_selection,1,0.45,0.022706,0.440295,0.005341,0.414467,0.02264,0.233421,0.001209,0.170301,0.001161,0.134228,0.004754,0.140831,0.004043,0.057469,0.002025,0.203256,0.000363,0.130546,0.000218,0.106361,0.000605,0.052967,0.001889,0.087252,0.002397,0.065441,0.001752,0.056787,0.000682,0.268586,0.008517,0.408497,0.027493,320
task_count_selection,2,0.429688,0.021399,0.441099,0.005261,0.393353,0.021592,0.233534,0.001095,0.171425,0.001229,0.134124,0.004786,0.14093,0.004011,0.057487,0.002056,0.203317,0.000405,0.130546,0.000218,0.106361,0.000605,0.053186,0.001847,0.087511,0.002409,0.065933,0.001786,0.056863,0.000696,0.268565,0.008549,0.42241,0.026066,320
task_count_selection,3,0.440104,0.023263,0.440071,0.005258,0.404686,0.023405,0.234957,0.001004,0.170716,0.001155,0.133648,0.004707,0.140221,0.004004,0.057201,0.002026,0.203554,0.000357,0.130546,0.000218,0.106361,0.000605,0.053167,0.001834,0.087244,0.002355,0.065572,0.001768,0.056869,0.000667,0.267414,0.008449,0.407314,0.027423,320
task_count_selection,4,0.456771,0.023748,0.440084,0.005192,0.42165,0.023722,0.233976,0.001118,0.169626,0.001148,0.133729,0.004702,0.141007,0.003957,0.057631,0.002026,0.203671,0.000371,0.130546,0.000218,0.106361,0.000605,0.05316,0.001861,0.087277,0.00242,0.065649,0.001747,0.056948,0.000707,0.2683,0.008389,0.40575,0.027572,320
task_count_selection,5,0.465104,0.022562,0.440914,0.00525,0.42971,0.022684,0.234298,0.001122,0.170066,0.00121,0.133605,0.00476,0.140426,0.004046,0.057245,0.001987,0.20367,0.000348,0.130546,0.000218,0.106361,0.000605,0.053142,0.001864,0.086946,0.002342,0.06557,0.001777,0.056971,0.000687,0.267547,0.008525,0.389425,0.02642,320
task_count_selection,6,0.448958,0.021398,0.440389,0.005227,0.413075,0.021475,0.233742,0.001105,0.170574,0.001166,0.133522,0.004756,0.140242,0.004037,0.057465,0.002028,0.203445,0.000379,0.130546,0.000218,0.106361,0.000605,0.053151,0.001867,0.087052,0.002364,0.065702,0.00177,0.056915,0.000667,0.267435,0.008524,0.410608,0.025319,320
task_count_selection,7,0.436458,0.022713,0.440611,0.005278,0.401329,0.022513,0.233678,0.001108,0.171676,0.001231,0.134036,0.004717,0.140397,0.004009,0.057436,0.002064,0.203535,0.000364,0.130546,0.000218,0.106361,0.000605,0.053106,0.001882,0.087445,0.002373,0.065775,0.001751,0.056855,0.000674,0.268052,0.008475,0.416563,0.026916,320
task_count_selection,8,0.4375,0.022656,0.440364,0.00529,0.401787,0.022805,0.23382,0.001107,0.170769,0.001183,0.133761,0.004782,0.140441,0.004017,0.057587,0.002044,0.203419,0.000376,0.130546,0.000218,0.106361,0.000605,0.05344,0.001895,0.087226,0.002389,0.065642,0.00177,0.056804,0.000695,0.267885,0.008538,0.425578,0.027139,320
task_count_selection,9,0.431771,0.022386,0.439848,0.005302,0.396294,0.022244,0.233923,0.001105,0.170951,0.0012,0.133813,0.004727,0.140585,0.004009,0.057199,0.002034,0.203485,0.000384,0.130546,0.000218,0.106361,0.000605,0.053264,0.00188,0.087277,0.002355,0.065664,0.001774,0.056939,0.00066,0.267851,0.008496,0.417091,0.025486,320
embodiment_count_selection,0,0.473958,0.023274,0.465472,0.004838,0.447927,0.023487,0.280754,0.00113,0.196425,0.001221,0.121843,0.004312,0.135111,0.003771,0.052338,0.001726,0.196576,0.000396,0.150298,0.000218,0.113637,0.000587,0.052605,0.001787,0.073773,0.001634,0.063869,0.001673,0.052937,0.000611,0.249345,0.007745,0.381532,0.026353,320
embodiment_count_selection,1,0.473958,0.023319,0.46515,0.004833,0.447663,0.023532,0.281162,0.001124,0.198099,0.001216,0.121925,0.004313,0.135062,0.003837,0.052333,0.001727,0.196659,0.000376,0.150298,0.000218,0.113637,0.000587,0.052594,0.001846,0.073616,0.001633,0.064128,0.001661,0.05319,0.000591,0.249388,0.007796,0.382772,0.026071,320
embodiment_count_selection,2,0.477083,0.022631,0.465602,0.004829,0.45128,0.022649,0.280815,0.001164,0.196861,0.001132,0.122093,0.004293,0.134619,0.003817,0.052166,0.00173,0.196471,0.000364,0.150298,0.000218,0.113637,0.000587,0.05268,0.001824,0.073836,0.001631,0.06414,0.001695,0.053134,0.000599,0.24914,0.007755,0.371448,0.025818,320
embodiment_count_selection,3,0.469271,0.021836,0.464712,0.00486,0.442665,0.022148,0.281256,0.001098,0.196987,0.001225,0.12213,0.004245,0.135058,0.003742,0.052075,0.001747,0.196875,0.000346,0.150298,0.000218,0.113637,0.000587,0.052308,0.001809,0.073535,0.001628,0.064247,0.001678,0.05317,0.000603,0.249461,0.00768,0.373994,0.026209,320
embodiment_count_selection,4,0.460938,0.023122,0.465077,0.004856,0.434757,0.023166,0.280026,0.001086,0.194659,0.001184,0.122067,0.004272,0.134507,0.003782,0.052185,0.001724,0.196665,0.000378,0.150298,0.000218,0.113637,0.000587,0.052553,0.001807,0.073819,0.001621,0.064363,0.001663,0.053138,0.000602,0.249039,0.007716,0.395857,0.026423,320
embodiment_count_selection,5,0.470313,0.023109,0.465106,0.004864,0.444201,0.023403,0.280157,0.001102,0.197554,0.001271,0.121756,0.004275,0.134802,0.003791,0.051993,0.001734,0.196498,0.000376,0.150298,0.000218,0.113637,0.000587,0.052528,0.00182,0.073694,0.001638,0.064166,0.001695,0.053082,0.000619,0.248855,0.007727,0.372705,0.025283,320
embodiment_count_selection,6,0.467187,0.0226,0.465178,0.004856,0.440742,0.022723,0.281089,0.00111,0.19692,0.001121,0.121498,0.004283,0.135161,0.003769,0.052308,0.001746,0.196399,0.000387,0.150298,0.000218,0.113637,0.000587,0.052368,0.001832,0.073628,0.001676,0.064093,0.001722,0.052966,0.000594,0.249023,0.007724,0.381376,0.024215,320
embodiment_count_selection,7,0.451562,0.023359,0.465567,0.004797,0.425526,0.023458,0.279753,0.001126,0.197744,0.001184,0.121659,0.004302,0.134784,0.003817,0.051908,0.001751,0.19678,0.000351,0.150298,0.000218,0.113637,0.000587,0.052667,0.001806,0.073791,0.001665,0.064282,0.001687,0.053121,0.0006,0.248701,0.007788,0.39504,0.026264,320
embodiment_count_selection,8,0.483854,0.021785,0.465421,0.004868,0.457357,0.022004,0.280981,0.001164,0.196619,0.00119,0.121576,0.004273,0.134702,0.003754,0.052462,0.001713,0.19664,0.0004,0.150298,0.000218,0.113637,0.000587,0.05239,0.001824,0.074135,0.001632,0.063917,0.001677,0.05316,0.000599,0.248833,0.007696,0.376709,0.025031,320
embodiment_count_selection,9,0.473958,0.023587,0.466155,0.004824,0.448266,0.023796,0.280075,0.00114,0.1976,0.001274,0.121594,0.004256,0.134662,0.003807,0.052028,0.001757,0.196459,0.000382,0.150298,0.000218,0.113637,0.000587,0.052377,0.001881,0.074057,0.001659,0.064124,0.001661,0.053153,0.00061,0.248605,0.007722,0.370044,0.026009,320
random_balanced_selection,0,0.471354,0.022989,0.469968,0.00456,0.453968,0.023141,0.316985,0.001077,0.23914,0.001215,0.111648,0.004066,0.126284,0.00346,0.051797,0.001763,0.173471,0.000376,0.170454,0.000218,0.130938,0.000521,0.049507,0.001611,0.077105,0.001966,0.059265,0.001484,0.050826,0.00058,0.23226,0.007296,0.376755,0.025887,320
