method,split,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
trajectory_count_selection,nominal_catalog,0.514167,0.014594,0.513945,0.000354,0.500282,0.014592,0.227367,0.000495,0.167833,0.000867,0.099022,0.000386,0.065517,0.000293,0.042017,0.00017,0.201104,0.000136,0.083878,0.0,0.073836,0.0,0.043887,0.000264,0.052843,0.000191,0.03754,0.000172,0.033917,0.000167,0.169168,0.000474,0.384739,0.01866,10
trajectory_count_selection,task_shift,0.463333,0.019203,0.478911,0.00044,0.439341,0.01896,0.217615,0.000868,0.156352,0.00086,0.117428,0.000312,0.093322,0.000191,0.046571,0.000205,0.205583,0.000118,0.089158,0.0,0.07789,0.0,0.045637,0.000176,0.061833,0.000222,0.042967,0.000133,0.042706,8.6e-05,0.210705,0.000386,0.428245,0.024473,10
trajectory_count_selection,object_shift,0.46375,0.012901,0.466516,0.000395,0.436001,0.012811,0.213317,0.000503,0.150346,0.000279,0.119129,0.000351,0.107572,0.000245,0.04867,0.000226,0.207954,0.000151,0.092038,0.0,0.08013,0.0,0.046579,0.000158,0.067137,0.000156,0.04585,0.00019,0.046716,0.000101,0.224143,0.000357,0.411798,0.013094,10
trajectory_count_selection,embodiment_shift,0.447083,0.01391,0.446392,0.000345,0.411587,0.01367,0.205544,0.000708,0.145186,0.000906,0.131292,0.000174,0.120914,0.000267,0.056177,0.000182,0.209913,0.000285,0.094438,0.0,0.082232,0.0,0.048508,0.000178,0.104454,0.000202,0.049848,0.00032,0.052707,0.000134,0.250066,0.000352,0.423847,0.018322,10
trajectory_count_selection,mechanism_shift,0.420208,0.014054,0.426987,0.000274,0.380021,0.013939,0.188512,0.000571,0.139125,0.000807,0.14117,0.000258,0.137323,0.000296,0.055217,0.000133,0.212228,0.000278,0.097318,0.0,0.084548,0.0,0.049495,0.000147,0.080091,0.000209,0.053186,0.000278,0.055829,0.000113,0.27177,0.000342,0.438424,0.014245,10
trajectory_count_selection,sensor_modality_shift,0.423333,0.013595,0.423389,0.000467,0.381904,0.013783,0.190704,0.000728,0.137622,0.000804,0.140853,0.000203,0.142429,0.000439,0.057185,0.000181,0.213189,0.000129,0.098278,0.0,0.085508,0.0,0.050737,0.00013,0.085027,0.000192,0.056108,0.000237,0.057332,0.000103,0.276268,0.000507,0.444678,0.013885,10
trajectory_count_selection,provenance_label_shift,0.412708,0.014475,0.419153,0.000503,0.369062,0.014409,0.187815,0.00075,0.134637,0.001163,0.141442,0.000266,0.147127,0.000261,0.0606,0.000158,0.21383,0.000178,0.099238,0.0,0.088529,0.0,0.05852,0.000185,0.090453,0.000247,0.079858,0.000186,0.059475,0.000107,0.282087,0.000284,0.445462,0.01938,10
trajectory_count_selection,heldout_combined_catalog_gap,0.389375,0.015808,0.392065,0.000444,0.338159,0.015793,0.178056,0.000664,0.128049,0.000727,0.157682,0.000237,0.167574,0.000343,0.066109,0.000165,0.21683,0.000146,0.102598,0.0,0.090694,0.0,0.058341,0.000325,0.107162,0.000193,0.079853,0.000167,0.065899,0.000207,0.316417,0.0004,0.476729,0.01998,10
task_count_selection,nominal_catalog,0.534167,0.013255,0.535604,0.00042,0.527933,0.013215,0.275373,0.000785,0.203539,0.000641,0.090807,0.000274,0.06336,0.000251,0.040978,9.5e-05,0.190636,0.000208,0.115066,0.0,0.093004,0.0,0.043191,0.000163,0.05162,0.000178,0.037332,0.000213,0.033048,0.000113,0.158816,0.000403,0.360088,0.014478,10
task_count_selection,task_shift,0.502708,0.011929,0.501746,0.000339,0.486788,0.011735,0.265414,0.000851,0.192041,0.001079,0.107973,0.000264,0.089107,0.000397,0.045192,0.00017,0.19497,0.000202,0.120346,0.0,0.097037,0.0,0.044931,0.000132,0.059906,0.000174,0.041994,0.000129,0.041035,0.000171,0.197399,0.000451,0.384644,0.014556,10
task_count_selection,object_shift,0.488333,0.012208,0.489958,0.000301,0.468534,0.012191,0.260412,0.000767,0.186599,0.000515,0.1095,0.000224,0.102424,0.000476,0.046992,0.000143,0.197526,0.000184,0.123226,0.0,0.099264,0.0,0.045829,0.000169,0.0649,0.000236,0.045164,0.000215,0.044877,0.000108,0.209814,0.000467,0.382352,0.019561,10
task_count_selection,embodiment_shift,0.471875,0.015,0.470563,0.000294,0.445162,0.014634,0.25202,0.00069,0.181182,0.000677,0.120929,0.000291,0.114948,0.000244,0.05394,0.000147,0.199463,0.000137,0.125626,0.0,0.101346,0.0,0.047392,0.000203,0.100216,0.000145,0.049068,0.000237,0.050559,0.000164,0.23411,0.000442,0.393208,0.016086,10
task_count_selection,mechanism_shift,0.459167,0.008526,0.451823,0.000502,0.427431,0.008542,0.236474,0.000637,0.175544,0.000895,0.129816,0.000255,0.130069,0.0003,0.053157,0.000212,0.20189,0.000301,0.128506,0.0,0.103645,0.0,0.048654,0.000125,0.077154,0.000215,0.052039,0.000176,0.053351,0.000155,0.253946,0.000452,0.393735,0.011241,10
