method,split,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
task_count_selection,sensor_modality_shift,0.456042,0.013076,0.448223,0.000237,0.423244,0.013054,0.238433,0.000594,0.172892,0.000496,0.129523,0.000216,0.134598,0.00021,0.054854,0.000196,0.202581,0.00029,0.129466,0.0,0.104593,0.0,0.049766,0.000128,0.08212,0.000185,0.055005,0.000203,0.054842,0.000109,0.257898,0.000259,0.405925,0.014701,10
task_count_selection,provenance_label_shift,0.445417,0.016954,0.443826,0.000442,0.41009,0.016643,0.235141,0.000471,0.170789,0.00069,0.130846,0.000246,0.139266,0.000202,0.058327,0.000153,0.20326,0.000192,0.130426,0.0,0.107519,0.0,0.057184,0.000118,0.086898,0.00022,0.077742,0.00023,0.056798,0.00012,0.264459,0.000338,0.406554,0.016497,10
task_count_selection,heldout_combined_catalog_gap,0.4175,0.010116,0.417649,0.000481,0.375018,0.010283,0.226071,0.000888,0.16373,0.000858,0.145252,0.000182,0.158263,0.000261,0.063233,0.000218,0.206182,0.000196,0.133786,0.0,0.109687,0.0,0.057091,0.00014,0.102737,0.000234,0.077884,0.000102,0.062628,0.000128,0.295566,0.000362,0.441653,0.019343,10
embodiment_count_selection,nominal_catalog,0.552708,0.021872,0.55714,0.000365,0.554404,0.021793,0.321701,0.000325,0.229005,0.000814,0.083158,0.000323,0.06155,0.000371,0.037402,0.000245,0.183739,0.000201,0.134818,0.0,0.100376,0.0,0.042617,0.00026,0.044991,0.000206,0.036519,0.00021,0.031863,0.00019,0.148021,0.000551,0.33498,0.02387,10
embodiment_count_selection,task_shift,0.519375,0.008738,0.523604,0.000533,0.51209,0.008742,0.311995,0.000679,0.218079,0.000907,0.098862,0.000318,0.086117,0.000356,0.041153,0.000245,0.188232,0.000239,0.140098,0.0,0.104392,0.0,0.044387,0.000144,0.051816,0.000202,0.041703,0.000309,0.038958,0.000122,0.184026,0.000497,0.358168,0.009077,10
embodiment_count_selection,object_shift,0.51625,0.015659,0.511948,0.000434,0.505373,0.015548,0.307594,0.00043,0.212171,0.00052,0.100102,0.00027,0.098518,0.000232,0.043394,0.000165,0.190381,0.000169,0.142978,0.0,0.10661,0.0,0.045321,0.000161,0.055971,0.00021,0.044352,0.000241,0.042306,0.000143,0.195687,0.000287,0.348231,0.019198,10
embodiment_count_selection,embodiment_shift,0.508125,0.022933,0.495407,0.000364,0.491051,0.022901,0.299688,0.000518,0.207573,0.000691,0.109077,0.000246,0.110284,0.000288,0.048447,0.000198,0.192476,0.000127,0.145378,0.0,0.108677,0.0,0.046908,0.000211,0.084541,0.000216,0.048278,0.000186,0.047286,0.000169,0.216013,0.000347,0.354332,0.021455,10
embodiment_count_selection,mechanism_shift,0.481875,0.009392,0.475779,0.000515,0.459425,0.009418,0.282614,0.000522,0.201337,0.001058,0.118398,0.000314,0.124775,0.000328,0.04859,0.00023,0.194996,0.000305,0.148258,0.0,0.110965,0.0,0.047921,0.000244,0.065578,0.000256,0.051057,0.000186,0.049967,7e-05,0.236274,0.000472,0.364913,0.014363,10
embodiment_count_selection,sensor_modality_shift,0.489167,0.020205,0.473436,0.000355,0.465347,0.020249,0.284883,0.000744,0.198908,0.000686,0.118077,0.000313,0.129329,0.000266,0.049849,0.000278,0.195625,0.000142,0.149218,0.0,0.111902,0.0,0.049149,9.1e-05,0.069764,0.000182,0.053843,0.000239,0.051197,0.000209,0.239999,0.000281,0.367684,0.01699,10
embodiment_count_selection,provenance_label_shift,0.473333,0.01301,0.468447,0.000509,0.447542,0.012993,0.282469,0.000861,0.197174,0.000747,0.11883,0.000287,0.133839,0.000188,0.053037,0.000176,0.196373,0.000127,0.150178,0.0,0.114755,0.0,0.056535,0.000184,0.073525,0.000218,0.075792,0.000232,0.053003,0.000117,0.245728,0.000274,0.374248,0.015186,10
embodiment_count_selection,heldout_combined_catalog_gap,0.436458,0.014485,0.443714,0.000232,0.403839,0.014246,0.272463,0.000744,0.190368,0.000849,0.131951,0.00016,0.151445,0.000294,0.057242,0.000121,0.199414,0.000127,0.153538,0.0,0.116925,0.0,0.056423,0.000206,0.086288,0.000168,0.07584,0.000197,0.058253,8.9e-05,0.274156,0.000333,0.413746,0.018568,10
random_balanced_selection,nominal_catalog,0.545,0.014863,0.559267,0.000531,0.554657,0.014704,0.35872,0.000568,0.271762,0.000491,0.074845,0.000284,0.059183,0.000309,0.037709,0.000239,0.160407,0.000205,0.154974,0.0,0.118051,0.0,0.040934,0.000255,0.048037,0.000243,0.035191,0.000284,0.031135,0.000158,0.138087,0.000296,0.333531,0.015137,10
random_balanced_selection,task_shift,0.533542,0.01023,0.526898,0.000468,0.534527,0.010252,0.348279,0.000683,0.260637,0.000357,0.089762,0.000233,0.081709,0.000361,0.041311,0.000205,0.165065,0.000209,0.160254,0.0,0.122004,0.0,0.04221,0.000207,0.054965,0.000242,0.039473,0.00018,0.037588,0.000145,0.171699,0.000315,0.338125,0.010272,10
random_balanced_selection,object_shift,0.50375,0.011221,0.516291,0.000307,0.501193,0.011296,0.343751,0.00076,0.254756,0.000514,0.091063,0.000268,0.093037,0.00042,0.043064,0.000243,0.167438,0.00015,0.163134,0.0,0.124184,0.0,0.043055,0.00018,0.059113,0.000184,0.041973,0.000213,0.040787,0.00015,0.182374,0.000437,0.352479,0.009306,10
random_balanced_selection,embodiment_shift,0.4875,0.017044,0.498744,0.000451,0.478648,0.017071,0.335639,0.000579,0.249738,0.000433,0.100587,0.000309,0.103812,0.000324,0.048797,0.000288,0.169585,0.000212,0.165534,0.0,0.126191,0.0,0.044555,5.3e-05,0.087827,0.000312,0.045255,0.000192,0.045506,0.000163,0.202844,0.00048,0.362067,0.020139,10
random_balanced_selection,mechanism_shift,0.48,0.020144,0.480643,0.000216,0.466059,0.020078,0.319018,0.000741,0.243573,0.000544,0.108196,0.000259,0.117209,0.000346,0.048418,0.000269,0.171791,0.000182,0.168414,0.0,0.128432,0.0,0.045734,0.000205,0.069167,0.000196,0.047778,0.000251,0.047945,8.7e-05,0.220312,0.000322,0.3608,0.020807,10
random_balanced_selection,sensor_modality_shift,0.470208,0.017611,0.477375,0.000379,0.455834,0.017564,0.321528,0.000556,0.241843,0.000705,0.10812,0.00021,0.121543,0.000359,0.049974,0.000202,0.172641,0.000223,0.169374,0.0,0.129332,0.0,0.04653,0.000198,0.072855,0.000205,0.050296,0.000139,0.049086,0.000159,0.224264,0.000388,0.375874,0.019806,10
random_balanced_selection,provenance_label_shift,0.478333,0.011537,0.472626,0.000283,0.46142,0.011422,0.317728,0.000631,0.23963,0.000632,0.108633,0.000237,0.125196,0.000206,0.052689,0.000215,0.173271,0.000236,0.170334,0.0,0.131904,0.0,0.052857,0.000246,0.076931,0.000117,0.069436,0.000202,0.050587,0.000161,0.228874,0.00035,0.358338,0.016041,10
random_balanced_selection,heldout_combined_catalog_gap,0.453542,0.0176,0.449512,0.000473,0.42978,0.017343,0.309164,0.000573,0.232534,0.000519,0.121436,0.000388,0.141816,0.000199,0.057285,0.000146,0.176181,0.000213,0.173694,0.0,0.134083,0.0,0.052343,0.000125,0.08981,0.000166,0.069656,0.000268,0.055637,0.000156,0.256441,0.00046,0.39129,0.023697,10
embedding_diversity_selection,nominal_catalog,0.589792,0.008289,0.587517,0.000333,0.609919,0.008338,0.421938,0.000545,0.31587,0.000489,0.065952,0.000365,0.056502,0.000237,0.036089,0.00023,0.145219,0.000215,0.18899,0.0,0.128899,0.0,0.040205,0.000231,0.046074,0.000197,0.034886,0.000149,0.029987,0.000193,0.126373,0.00042,0.28314,0.009016,10
embedding_diversity_selection,task_shift,0.545833,0.01222,0.557176,0.000555,0.558009,0.01208,0.412254,0.000576,0.304495,0.000623,0.078818,0.000272,0.077327,0.000201,0.03951,0.000234,0.149356,0.000247,0.19427,0.0,0.132831,0.0,0.041645,0.000221,0.052375,0.000189,0.039034,0.000172,0.035882,0.000111,0.156568,0.000284,0.319819,0.017838,10
embedding_diversity_selection,object_shift,0.550833,0.016404,0.546315,0.000568,0.559917,0.016473,0.407068,0.000649,0.298411,0.000765,0.079363,0.000318,0.087775,0.000268,0.04127,0.000156,0.151866,0.000187,0.19715,0.0,0.134998,0.0,0.042324,0.000165,0.056138,0.000217,0.041227,0.000174,0.038449,0.000126,0.165829,0.000364,0.295899,0.013866,10
embedding_diversity_selection,embodiment_shift,0.53625,0.01391,0.529735,0.000456,0.539443,0.013838,0.399137,0.000637,0.293321,0.001011,0.088042,0.000259,0.097608,0.000264,0.046724,0.000203,0.153905,0.000243,0.19955,0.0,0.136985,0.0,0.043702,0.000307,0.08162,0.000236,0.044315,0.000152,0.042559,0.00016,0.18461,0.000238,0.308678,0.014713,10
embedding_diversity_selection,mechanism_shift,0.5075,0.012478,0.513235,0.00029,0.506062,0.012472,0.382714,0.000837,0.287981,0.000491,0.094444,0.000485,0.109614,0.000299,0.046236,0.00024,0.156196,0.000238,0.20243,0.0,0.13921,0.0,0.044877,0.000206,0.064799,0.000132,0.046706,0.000167,0.044761,7.1e-05,0.199772,0.000643,0.325574,0.014236,10
embedding_diversity_selection,sensor_modality_shift,0.499167,0.012463,0.509902,0.000521,0.496832,0.012483,0.385328,0.000562,0.284949,0.000628,0.094535,0.000184,0.113565,0.000247,0.047513,0.000248,0.157046,0.000222,0.20339,0.0,0.140097,0.0,0.045463,0.000253,0.068562,0.0002,0.049197,0.000146,0.045672,0.000172,0.203465,0.000267,0.33807,0.014437,10
embedding_diversity_selection,provenance_label_shift,0.508542,0.012717,0.505087,0.000292,0.503963,0.012766,0.381491,0.000241,0.282968,0.000819,0.095487,0.000199,0.117228,0.000299,0.050103,0.000175,0.157844,0.000176,0.20435,0.0,0.142574,0.0,0.051519,0.000195,0.071993,0.000233,0.067129,0.000178,0.047227,0.000173,0.20846,0.000392,0.321691,0.018556,10
embedding_diversity_selection,heldout_combined_catalog_gap,0.486458,0.015148,0.482924,0.000262,0.475835,0.015193,0.372554,0.000588,0.276187,0.000835,0.106498,0.000261,0.132086,0.000382,0.053959,0.000166,0.160595,0.000189,0.20771,0.0,0.144756,0.0,0.051236,0.000138,0.083445,0.000156,0.067419,0.000216,0.0515,0.000115,0.232542,0.000448,0.351045,0.024894,10
uncertainty_sampling,nominal_catalog,0.611875,0.018633,0.598449,0.000339,0.639061,0.018236,0.452529,0.000352,0.374688,0.00046,0.053685,0.000211,0.051159,0.000249,0.03392,0.000166,0.151447,0.000226,0.218631,0.0,0.148387,0.0,0.039668,0.000217,0.045637,0.000313,0.034312,0.00018,0.028689,8.8e-05,0.109014,0.000305,0.26202,0.017816,10
uncertainty_sampling,task_shift,0.572917,0.009965,0.57086,0.000357,0.593575,0.009805,0.442675,0.00049,0.36353,0.000465,0.064891,0.000299,0.066411,0.000265,0.036603,0.000214,0.155903,0.000231,0.223911,0.0,0.152298,0.0,0.040779,0.000225,0.051528,0.000249,0.037959,0.000247,0.034001,0.00014,0.133002,0.000302,0.287531,0.012428,10
uncertainty_sampling,object_shift,0.565833,0.01379,0.559542,0.000445,0.583716,0.013612,0.438574,0.000402,0.357878,0.000789,0.066196,0.000161,0.074066,0.000262,0.038174,0.000285,0.158204,0.000258,0.226791,0.0,0.154452,0.0,0.041759,0.000223,0.05443,0.000147,0.040449,0.000249,0.036487,0.000158,0.140833,0.00034,0.276284,0.018805,10
uncertainty_sampling,embodiment_shift,0.554583,0.018838,0.543283,0.00038,0.567214,0.018679,0.430859,0.000792,0.352886,0.000603,0.074195,0.000198,0.081504,8.6e-05,0.042832,0.000236,0.160058,0.000209,0.229191,0.0,0.156419,0.0,0.042622,0.000167,0.078377,8.7e-05,0.043206,0.000281,0.040278,0.000137,0.156739,0.000236,0.283018,0.013506,10
uncertainty_sampling,mechanism_shift,0.527292,0.013175,0.52794,0.000628,0.535775,0.01321,0.413761,0.000732,0.346231,0.000706,0.079859,0.00029,0.090692,0.000299,0.0421,0.000208,0.162751,0.000176,0.232071,0.0,0.158627,0.0,0.043804,0.000167,0.062929,0.000191,0.045583,0.000166,0.042054,0.000134,0.168929,0.000357,0.298131,0.011775,10
uncertainty_sampling,sensor_modality_shift,0.522292,0.016002,0.524591,0.000401,0.53014,0.015948,0.416347,0.000424,0.344802,0.00054,0.079979,0.000158,0.093559,0.00032,0.043168,0.000285,0.163366,0.000224,0.233031,0.0,0.159501,0.0,0.044788,0.000123,0.06608,0.000187,0.047851,0.000282,0.043056,0.000132,0.171733,0.000376,0.310228,0.018828,10
uncertainty_sampling,provenance_label_shift,0.532708,0.014985,0.519806,0.000382,0.538372,0.014919,0.412505,0.000377,0.342342,0.000522,0.081136,0.000361,0.096234,0.000329,0.045341,0.000203,0.16426,0.000223,0.233991,0.0,0.161884,0.0,0.050304,0.000157,0.069157,0.000204,0.064986,0.000129,0.044393,0.000143,0.175982,0.000469,0.291554,0.015201,10
uncertainty_sampling,heldout_combined_catalog_gap,0.511042,0.018453,0.499476,0.000442,0.511083,0.018394,0.403499,0.000663,0.33541,0.00069,0.090579,0.000244,0.107497,0.00025,0.048775,0.000144,0.16707,0.00018,0.237351,0.0,0.164069,0.0,0.050105,0.000242,0.079885,0.000207,0.065124,0.000197,0.048164,0.000101,0.19559,0.000255,0.320065,0.015437,10
failure_prediction_selection,nominal_catalog,0.6175,0.013058,0.618814,0.000307,0.658382,0.01313,0.51944,0.000851,0.447958,0.000861,0.040678,0.000255,0.046042,0.000259,0.031877,0.000175,0.145217,0.000148,0.234259,0.0,0.157521,0.0,0.038784,0.000181,0.044133,0.000224,0.033897,0.000251,0.027184,6.8e-05,0.091148,0.000385,0.242473,0.016074,10
failure_prediction_selection,task_shift,0.5925,0.013816,0.593248,0.000446,0.628226,0.013793,0.508946,0.000772,0.437074,0.000547,0.049758,0.00019,0.057803,0.00025,0.034213,0.000197,0.149705,0.0003,0.239539,0.0,0.161406,0.0,0.039823,0.000184,0.048897,0.000174,0.037234,0.000241,0.031575,0.000105,0.110217,0.00027,0.254241,0.01331,10
failure_prediction_selection,object_shift,0.589583,0.01452,0.58241,0.000604,0.622989,0.014273,0.505928,0.000524,0.430683,0.001168,0.051412,0.000272,0.063633,0.000417,0.035473,0.000255,0.151886,0.000245,0.242419,0.0,0.163546,0.0,0.040637,0.000259,0.052091,0.000156,0.039283,0.000201,0.03376,0.00012,0.116873,0.000487,0.243396,0.015413,10
failure_prediction_selection,embodiment_shift,0.568125,0.015291,0.567391,0.000497,0.59737,0.015349,0.497564,0.000557,0.425491,0.000697,0.058015,0.000234,0.069042,0.00028,0.039571,0.00021,0.153907,0.000137,0.244819,0.0,0.165488,0.0,0.042055,0.000201,0.072059,0.000206,0.042225,0.000208,0.036782,0.000117,0.129581,0.000338,0.256759,0.013262,10
failure_prediction_selection,mechanism_shift,0.547083,0.015049,0.553088,0.000409,0.572371,0.014809,0.479954,0.000597,0.419919,0.000545,0.062813,0.000228,0.076053,0.000221,0.038656,0.000254,0.156524,0.000187,0.247699,0.0,0.167678,0.0,0.042647,0.000254,0.059031,0.000285,0.04423,0.000216,0.038229,0.000157,0.13918,0.000271,0.266858,0.012414,10
failure_prediction_selection,sensor_modality_shift,0.545833,0.011693,0.549725,0.000419,0.570722,0.011468,0.481971,0.000719,0.418227,0.000592,0.062583,0.000259,0.077906,0.000277,0.039782,0.00025,0.157144,0.000169,0.248659,0.0,0.168538,0.0,0.043327,0.000316,0.061607,0.000187,0.046417,0.000218,0.038986,0.00011,0.140904,0.00043,0.273635,0.008353,10
failure_prediction_selection,provenance_label_shift,0.538958,0.008099,0.545318,0.000559,0.561967,0.008013,0.478525,0.000499,0.415543,0.000776,0.063513,0.000334,0.079919,0.000161,0.04178,0.00025,0.157948,0.000122,0.249619,0.0,0.170807,0.0,0.048703,0.000151,0.064559,0.000235,0.062722,0.000126,0.040142,0.000102,0.144342,0.000288,0.273331,0.012752,10
failure_prediction_selection,heldout_combined_catalog_gap,0.527708,0.011566,0.526504,0.000445,0.545831,0.011452,0.470057,0.000514,0.408925,0.000654,0.071464,0.000322,0.088502,0.000249,0.044473,0.000137,0.160936,0.000117,0.252979,0.0,0.172996,0.0,0.04857,0.000263,0.073588,0.000171,0.062669,0.000185,0.043261,0.000156,0.160077,0.000407,0.290803,0.016243,10
value_of_information_active_selection,nominal_catalog,0.618125,0.013921,0.623006,0.000434,0.658446,0.013896,0.523325,0.000657,0.443439,0.000518,0.040447,0.000193,0.046715,0.000233,0.031809,0.000197,0.140273,0.000258,0.246966,0.0,0.169009,0.0,0.038075,0.000205,0.043708,0.000185,0.033342,0.000305,0.027214,0.000106,0.091387,0.000298,0.242184,0.013508,10
value_of_information_active_selection,task_shift,0.589583,0.018663,0.597735,0.00041,0.624954,0.0186,0.514058,0.000663,0.43323,0.001004,0.049141,0.000305,0.058539,0.000403,0.03392,0.000237,0.144909,0.000208,0.252246,0.0,0.172873,0.0,0.039473,0.000123,0.048462,0.000152,0.036847,0.000222,0.031428,0.000157,0.110006,0.000442,0.258369,0.016078,10
value_of_information_active_selection,object_shift,0.572708,0.011637,0.586119,0.000292,0.605352,0.011558,0.509508,0.000813,0.42702,0.000695,0.050716,0.000324,0.065045,0.000285,0.035259,0.000154,0.14712,0.000192,0.255126,0.0,0.175,0.0,0.039835,0.000233,0.051344,0.000147,0.038929,0.00017,0.033679,0.000111,0.117129,0.000388,0.256592,0.013152,10
value_of_information_active_selection,embodiment_shift,0.559375,0.012419,0.571805,0.000416,0.587573,0.01252,0.501008,0.000763,0.4219,0.000716,0.057104,0.000392,0.070726,0.00031,0.039467,0.000238,0.149358,0.000207,0.257526,0.0,0.176922,0.0,0.040855,0.000128,0.071114,0.000184,0.041246,0.000167,0.036565,0.000131,0.129882,0.000542,0.266619,0.016228,10
value_of_information_active_selection,mechanism_shift,0.558542,0.011082,0.557968,0.000386,0.582953,0.010829,0.484243,0.000515,0.415617,0.0007,0.061552,0.000249,0.077775,0.000265,0.038643,0.00014,0.151631,0.000235,0.260406,0.0,0.179096,0.0,0.041797,0.0002,0.058177,0.000123,0.043272,0.000163,0.037928,0.000183,0.139205,0.000304,0.256479,0.011468,10
value_of_information_active_selection,sensor_modality_shift,0.539167,0.012501,0.55442,0.000346,0.563065,0.012512,0.486267,0.000643,0.413707,0.000534,0.06152,0.000248,0.0799,0.000184,0.039445,0.000156,0.152346,0.000223,0.261366,0.0,0.179942,0.0,0.042744,0.000241,0.060997,0.000235,0.045359,0.000152,0.038857,0.000116,0.141168,0.00032,0.285318,0.014585,10
value_of_information_active_selection,provenance_label_shift,0.550833,0.008261,0.550044,0.000339,0.573096,0.008119,0.483375,0.000617,0.412007,0.000493,0.062541,0.000213,0.082339,0.000271,0.041473,0.000154,0.153281,0.000236,0.262326,0.0,0.182117,0.0,0.047389,0.000188,0.063582,0.000126,0.060549,0.000182,0.040049,0.000164,0.145032,0.000371,0.261753,0.007181,10
value_of_information_active_selection,heldout_combined_catalog_gap,0.527083,0.013027,0.531417,0.000308,0.544116,0.012828,0.47434,0.000357,0.40497,0.000971,0.070281,0.000326,0.091201,0.000331,0.044162,0.000237,0.156062,0.000195,0.265686,0.0,0.18431,0.0,0.047245,0.000161,0.072757,0.000182,0.060588,0.000139,0.043034,0.000137,0.160762,0.000339,0.292583,0.018447,10
dataset_card_compliance_selection,nominal_catalog,0.604375,0.018478,0.599882,0.000361,0.634367,0.018294,0.46061,0.000576,0.354046,0.000797,0.04917,0.000215,0.051958,0.000307,0.030975,0.000208,0.137843,0.000235,0.204962,0.0,0.13468,0.0,0.034854,0.000136,0.039499,0.00026,0.028798,0.000216,0.027714,7.7e-05,0.103626,0.000358,0.262101,0.019197,10
dataset_card_compliance_selection,task_shift,0.572083,0.015329,0.57135,0.000391,0.595478,0.015388,0.450005,0.000584,0.342661,0.000806,0.060506,0.000265,0.069038,0.000195,0.03336,0.000182,0.142208,0.000249,0.210242,0.0,0.138419,0.0,0.035664,0.000203,0.044232,0.000261,0.030637,0.000119,0.032721,0.000158,0.128964,0.000291,0.281108,0.016312,10
dataset_card_compliance_selection,object_shift,0.553542,0.010259,0.560625,0.000423,0.574143,0.010034,0.445564,0.000647,0.336481,0.000735,0.061339,0.000328,0.077532,0.00034,0.034745,0.00024,0.144478,0.000148,0.213122,0.0,0.14047,0.0,0.036171,0.000185,0.046735,0.000164,0.032361,0.000219,0.034997,0.000128,0.136861,0.000266,0.286162,0.010077,10
dataset_card_compliance_selection,embodiment_shift,0.547917,0.01228,0.546176,0.000448,0.563948,0.012083,0.437558,0.00075,0.331694,0.000586,0.067613,0.000305,0.0857,0.000331,0.03759,0.000281,0.14659,0.000228,0.215522,0.0,0.142281,0.0,0.036821,0.000189,0.066012,0.000186,0.033959,0.000236,0.038235,0.000108,0.150682,0.000403,0.287672,0.017593,10
dataset_card_compliance_selection,mechanism_shift,0.522083,0.012162,0.529099,0.000356,0.533499,0.012197,0.421235,0.000435,0.326226,0.000598,0.074464,0.000303,0.09584,0.000247,0.038223,0.000274,0.149257,0.000285,0.218402,0.0,0.144369,0.0,0.037514,0.000327,0.053217,0.000222,0.035475,0.000222,0.040206,0.000125,0.165456,0.000431,0.298622,0.011504,10
dataset_card_compliance_selection,sensor_modality_shift,0.521875,0.013298,0.526262,0.000338,0.532595,0.013201,0.422837,0.000417,0.323789,0.00074,0.074536,0.000373,0.099114,0.000281,0.0391,0.000238,0.14994,0.000333,0.219362,0.0,0.14514,0.0,0.037869,0.00021,0.056074,0.000157,0.036566,0.000229,0.041111,0.00012,0.168421,0.000548,0.307917,0.013096,10
