variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5633,0.4367,0.0168
observed_only_behavior_clone,nominal,1,600,0.6233,0.3767,0.0238
observed_only_behavior_clone,nominal,2,600,0.6067,0.3933,0.0092
observed_only_behavior_clone,nominal,3,600,0.6217,0.3783,0.0247
observed_only_behavior_clone,nominal,4,600,0.5950,0.4050,0.0005
observed_only_behavior_clone,nominal,5,600,0.6267,0.3733,0.0340
observed_only_behavior_clone,nominal,6,600,0.5900,0.4100,0.0001
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4100,0.5900,0.0096
observed_only_behavior_clone,hidden_mode_shift,1,600,0.3817,0.6183,0.0381
observed_only_behavior_clone,hidden_mode_shift,2,600,0.3933,0.6067,0.0244
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4133,0.5867,0.0040
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4150,0.5850,0.0008
observed_only_behavior_clone,hidden_mode_shift,5,600,0.4233,0.5767,0.0103
observed_only_behavior_clone,hidden_mode_shift,6,600,0.3617,0.6383,0.0486
observed_only_behavior_clone,embodiment_shift,0,600,0.4183,0.5817,0.0147
observed_only_behavior_clone,embodiment_shift,1,600,0.4767,0.5233,0.0243
observed_only_behavior_clone,embodiment_shift,2,600,0.4267,0.5733,0.0237
observed_only_behavior_clone,embodiment_shift,3,600,0.4550,0.5450,0.0051
observed_only_behavior_clone,embodiment_shift,4,600,0.4383,0.5617,0.0100
observed_only_behavior_clone,embodiment_shift,5,600,0.4700,0.5300,0.0244
observed_only_behavior_clone,embodiment_shift,6,600,0.4083,0.5917,0.0345
observed_only_behavior_clone,combined_stress,0,600,0.3267,0.6733,0.0112
observed_only_behavior_clone,combined_stress,1,600,0.3233,0.6767,0.0115
observed_only_behavior_clone,combined_stress,2,600,0.3667,0.6333,0.0339
observed_only_behavior_clone,combined_stress,3,600,0.3700,0.6300,0.0377
observed_only_behavior_clone,combined_stress,4,600,0.3333,0.6667,0.0026
observed_only_behavior_clone,combined_stress,5,600,0.3283,0.6717,0.0003
observed_only_behavior_clone,combined_stress,6,600,0.3067,0.6933,0.0186
data_augmentation_wam,nominal,0,600,0.6567,0.3433,0.0216
data_augmentation_wam,nominal,1,600,0.6450,0.3550,0.0090
data_augmentation_wam,nominal,2,600,0.6617,0.3383,0.0170
data_augmentation_wam,nominal,3,600,0.6000,0.4000,0.0281
data_augmentation_wam,nominal,4,600,0.6350,0.3650,0.0068
data_augmentation_wam,nominal,5,600,0.6333,0.3667,0.0137
data_augmentation_wam,nominal,6,600,0.6367,0.3633,0.0014
data_augmentation_wam,hidden_mode_shift,0,600,0.4967,0.5033,0.0119
data_augmentation_wam,hidden_mode_shift,1,600,0.4433,0.5567,0.0424
data_augmentation_wam,hidden_mode_shift,2,600,0.4750,0.5250,0.0194
data_augmentation_wam,hidden_mode_shift,3,600,0.4933,0.5067,0.0155
data_augmentation_wam,hidden_mode_shift,4,600,0.5017,0.4983,0.0102
data_augmentation_wam,hidden_mode_shift,5,600,0.5017,0.4983,0.0049
data_augmentation_wam,hidden_mode_shift,6,600,0.4783,0.5217,0.0094
data_augmentation_wam,embodiment_shift,0,600,0.5183,0.4817,0.0062
data_augmentation_wam,embodiment_shift,1,600,0.5200,0.4800,0.0069
data_augmentation_wam,embodiment_shift,2,600,0.5167,0.4833,0.0051
data_augmentation_wam,embodiment_shift,3,600,0.4617,0.5383,0.0436
data_augmentation_wam,embodiment_shift,4,600,0.4983,0.5017,0.0205
data_augmentation_wam,embodiment_shift,5,600,0.5100,0.4900,0.0142
data_augmentation_wam,embodiment_shift,6,600,0.5067,0.4933,0.0085
data_augmentation_wam,combined_stress,0,600,0.4083,0.5917,0.0054
data_augmentation_wam,combined_stress,1,600,0.3667,0.6333,0.0480
data_augmentation_wam,combined_stress,2,600,0.4117,0.5883,0.0117
data_augmentation_wam,combined_stress,3,600,0.4017,0.5983,0.0052
data_augmentation_wam,combined_stress,4,600,0.4317,0.5683,0.0112
data_augmentation_wam,combined_stress,5,600,0.4333,0.5667,0.0076
data_augmentation_wam,combined_stress,6,600,0.3867,0.6133,0.0301
scalar_uncertainty_planner,nominal,0,600,0.7067,0.2933,0.0171
scalar_uncertainty_planner,nominal,1,600,0.6900,0.3100,0.0185
scalar_uncertainty_planner,nominal,2,600,0.6683,0.3317,0.0016
scalar_uncertainty_planner,nominal,3,600,0.6717,0.3283,0.0062
scalar_uncertainty_planner,nominal,4,600,0.6867,0.3133,0.0032
scalar_uncertainty_planner,nominal,5,600,0.6883,0.3117,0.0094
scalar_uncertainty_planner,nominal,6,600,0.6750,0.3250,0.0004
scalar_uncertainty_planner,hidden_mode_shift,0,600,0.5567,0.4433,0.0114
scalar_uncertainty_planner,hidden_mode_shift,1,600,0.5233,0.4767,0.0267
scalar_uncertainty_planner,hidden_mode_shift,2,600,0.5533,0.4467,0.0049
scalar_uncertainty_planner,hidden_mode_shift,3,600,0.5733,0.4267,0.0169
scalar_uncertainty_planner,hidden_mode_shift,4,600,0.5633,0.4367,0.0050
scalar_uncertainty_planner,hidden_mode_shift,5,600,0.5750,0.4250,0.0176
scalar_uncertainty_planner,hidden_mode_shift,6,600,0.5233,0.4767,0.0297
scalar_uncertainty_planner,embodiment_shift,0,600,0.5833,0.4167,0.0068
scalar_uncertainty_planner,embodiment_shift,1,600,0.5617,0.4383,0.0104
scalar_uncertainty_planner,embodiment_shift,2,600,0.5550,0.4450,0.0155
scalar_uncertainty_planner,embodiment_shift,3,600,0.5367,0.4633,0.0417
scalar_uncertainty_planner,embodiment_shift,4,600,0.6100,0.3900,0.0196
scalar_uncertainty_planner,embodiment_shift,5,600,0.6117,0.3883,0.0323
scalar_uncertainty_planner,embodiment_shift,6,600,0.5867,0.4133,0.0116
scalar_uncertainty_planner,combined_stress,0,600,0.4917,0.5083,0.0189
scalar_uncertainty_planner,combined_stress,1,600,0.4667,0.5333,0.0259
scalar_uncertainty_planner,combined_stress,2,600,0.4833,0.5167,0.0076
scalar_uncertainty_planner,combined_stress,3,600,0.5200,0.4800,0.0211
scalar_uncertainty_planner,combined_stress,4,600,0.5067,0.4933,0.0042
scalar_uncertainty_planner,combined_stress,5,600,0.5017,0.4983,0.0018
scalar_uncertainty_planner,combined_stress,6,600,0.5033,0.4967,0.0078
ensemble_disagreement_planner,nominal,0,600,0.7317,0.2683,0.0350
ensemble_disagreement_planner,nominal,1,600,0.6833,0.3167,0.0234
ensemble_disagreement_planner,nominal,2,600,0.7317,0.2683,0.0218
ensemble_disagreement_planner,nominal,3,600,0.7217,0.2783,0.0155
ensemble_disagreement_planner,nominal,4,600,0.6883,0.3117,0.0002
ensemble_disagreement_planner,nominal,5,600,0.6783,0.3217,0.0126
ensemble_disagreement_planner,nominal,6,600,0.6717,0.3283,0.0168
ensemble_disagreement_planner,hidden_mode_shift,0,600,0.5650,0.4350,0.0249
