risk_budget,method,seed,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,fixed_risk_covered,fixed_risk_covered_ci95,fixed_risk_success,fixed_risk_success_ci95,fixed_risk_utility,fixed_risk_utility_ci95,groups
0.062,trajectory_count_selection,0,0.420833,0.04648,0.396618,0.011296,0.370082,0.046397,0.18427,0.001949,0.127975,0.00212,0.152508,0.010717,0.166001,0.009282,0.064886,0.004617,0.216947,0.000579,0.102598,0.0,0.090275,0.001239,0.057233,0.004235,0.100333,0.004992,0.075477,0.002557,0.064921,0.001321,0.309451,0.019424,0.446822,0.049336,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,1,0.422917,0.0486,0.397786,0.011313,0.373217,0.048395,0.184386,0.001667,0.125184,0.002296,0.151387,0.010837,0.165477,0.009274,0.063321,0.004445,0.216837,0.000603,0.102598,0.0,0.090275,0.001239,0.056702,0.004147,0.0994,0.004703,0.075768,0.002489,0.064648,0.001204,0.307154,0.019435,0.432099,0.056185,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,2,0.385417,0.042937,0.397466,0.011416,0.336494,0.042788,0.18334,0.001686,0.129101,0.002589,0.151796,0.010706,0.165236,0.009201,0.063281,0.004664,0.21719,0.00068,0.102598,0.0,0.090275,0.001239,0.056862,0.004077,0.100302,0.004782,0.076026,0.002618,0.064997,0.001275,0.307364,0.019319,0.473717,0.050751,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,3,0.452083,0.046921,0.397518,0.011372,0.400793,0.047722,0.185114,0.002012,0.127569,0.001924,0.15219,0.010538,0.165146,0.00921,0.064364,0.004598,0.217287,0.000627,0.102598,0.0,0.090275,0.001239,0.056998,0.004249,0.099939,0.004916,0.075713,0.002467,0.064726,0.001257,0.308231,0.019093,0.423174,0.057978,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,4,0.397917,0.048443,0.397402,0.011521,0.350708,0.047738,0.184292,0.001906,0.127564,0.002396,0.151901,0.010728,0.165737,0.009388,0.06354,0.00462,0.21691,0.000759,0.102598,0.0,0.090275,0.001239,0.056493,0.004134,0.099829,0.005057,0.075813,0.002561,0.064325,0.001374,0.307974,0.019495,0.445984,0.047479,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,5,0.43125,0.043755,0.396959,0.011364,0.381072,0.043807,0.183934,0.001831,0.127676,0.002117,0.152283,0.010911,0.166085,0.009447,0.063562,0.004601,0.216561,0.000745,0.102598,0.0,0.090275,0.001239,0.056887,0.004212,0.099492,0.004826,0.076175,0.002469,0.064533,0.001263,0.308628,0.019667,0.435435,0.052421,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,6,0.429167,0.048541,0.398492,0.011387,0.379951,0.048979,0.184603,0.0021,0.127927,0.002354,0.152147,0.010814,0.165004,0.009352,0.064394,0.004594,0.216987,0.000669,0.102598,0.0,0.090275,0.001239,0.056977,0.004102,0.099893,0.005003,0.076044,0.002529,0.064857,0.001236,0.308097,0.019501,0.440049,0.0571,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,7,0.397917,0.040048,0.396981,0.01124,0.348117,0.040103,0.184621,0.001684,0.127826,0.002133,0.152617,0.010863,0.165982,0.009368,0.063198,0.004463,0.217347,0.000687,0.102598,0.0,0.090275,0.001239,0.057282,0.004122,0.099855,0.004884,0.075636,0.002515,0.065008,0.00126,0.308702,0.019452,0.452379,0.048749,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,8,0.38125,0.046559,0.397131,0.011129,0.333959,0.046394,0.18164,0.002073,0.127176,0.002393,0.151667,0.010915,0.165817,0.009426,0.063642,0.004586,0.216045,0.000598,0.102598,0.0,0.090275,0.001239,0.056576,0.004182,0.099862,0.004894,0.075567,0.00268,0.064573,0.001264,0.30785,0.019646,0.471785,0.05797,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,trajectory_count_selection,9,0.377083,0.040571,0.396965,0.011849,0.327811,0.04108,0.184887,0.001904,0.129011,0.00236,0.151743,0.010837,0.165554,0.00932,0.063574,0.004635,0.216713,0.000637,0.102598,0.0,0.090275,0.001239,0.056916,0.004043,0.098925,0.004934,0.07567,0.002731,0.064501,0.00128,0.307695,0.019519,0.50248,0.049496,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,task_count_selection,0,0.422917,0.04719,0.423006,0.010681,0.383935,0.046279,0.231613,0.002154,0.162408,0.002245,0.139748,0.009869,0.155855,0.008757,0.061403,0.004377,0.205959,0.000677,0.133786,0.0,0.109286,0.00119,0.055116,0.004001,0.095432,0.004827,0.074244,0.002632,0.061588,0.001191,0.287341,0.018051,0.43837,0.051796,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,task_count_selection,1,0.402083,0.045272,0.422836,0.010817,0.362043,0.045719,0.231216,0.002076,0.164268,0.002332,0.139373,0.010079,0.156205,0.008684,0.061398,0.004145,0.206175,0.000637,0.133786,0.0,0.109286,0.00119,0.055324,0.003849,0.095411,0.004687,0.073858,0.002556,0.061551,0.001212,0.287226,0.018121,0.444666,0.053278,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,task_count_selection,2,0.454167,0.043864,0.423782,0.010865,0.413017,0.044953,0.231164,0.001853,0.165514,0.002254,0.139806,0.010136,0.155821,0.008685,0.060987,0.004332,0.206484,0.000722,0.133786,0.0,0.109286,0.00119,0.055428,0.003868,0.095279,0.004699,0.07406,0.00268,0.061878,0.001267,0.287165,0.018259,0.400449,0.050703,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,task_count_selection,3,0.395833,0.045895,0.4238,0.010881,0.35547,0.045478,0.231366,0.001907,0.164188,0.002112,0.140301,0.010032,0.155425,0.008566,0.060667,0.004413,0.205857,0.00069,0.133786,0.0,0.109286,0.00119,0.055523,0.004087,0.094645,0.004731,0.07394,0.002373,0.061643,0.00117,0.287203,0.018062,0.466798,0.056561,0.0,0.0,0.0,0.0,0.0,0.0,80
0.062,task_count_selection,4,0.39375,0.041599,0.423065,0.010987,0.353074,0.041381,0.230843,0.001763,0.163881,0.002303,0.140856,0.010007,0.155939,0.008623,0.061484,0.00431,0.206407,0.000633,0.133786,0.0,0.109286,0.00119,0.055921,0.003921,0.095982,0.004556,0.074066,0.002501,0.061675,0.001221,0.288552,0.018075,0.445771,0.054033,0.0,0.0,0.0,0.0,0.0,0.0,80
