method,dataset,regime,split,seed,episodes,success,success_probability,mechanism_recall,coverage_false_negative,tail_failure,redundancy_rate,selection_cost,data_efficiency_proxy
trajectory_count_selection,single_arm_tabletop,nominal_coverage,nominal,0,84,0.6667,0.5749,0.2245,0.0555,0.0591,0.2124,0.0973,0.2677
trajectory_count_selection,single_arm_tabletop,nominal_coverage,nominal,1,84,0.5357,0.5867,0.2426,0.0548,0.061,0.2212,0.0973,0.2512
trajectory_count_selection,single_arm_tabletop,nominal_coverage,nominal,2,84,0.5595,0.5792,0.2167,0.055,0.0524,0.2159,0.0973,0.2564
trajectory_count_selection,single_arm_tabletop,nominal_coverage,nominal,3,84,0.5357,0.5814,0.2403,0.0555,0.0555,0.2152,0.0973,0.265
trajectory_count_selection,single_arm_tabletop,nominal_coverage,nominal,4,84,0.5833,0.5766,0.2209,0.0575,0.0573,0.2052,0.0973,0.2634
trajectory_count_selection,single_arm_tabletop,nominal_coverage,nominal,5,84,0.5952,0.5883,0.2272,0.0513,0.0495,0.2174,0.0973,0.2523
trajectory_count_selection,single_arm_tabletop,nominal_coverage,nominal,6,84,0.5238,0.5741,0.2426,0.0461,0.0554,0.2185,0.0973,0.2578
trajectory_count_selection,single_arm_tabletop,nominal_coverage,seen_task_shift,0,84,0.5714,0.5454,0.2213,0.0527,0.0562,0.2148,0.1057,0.2432
trajectory_count_selection,single_arm_tabletop,nominal_coverage,seen_task_shift,1,84,0.5595,0.5433,0.2343,0.0511,0.0666,0.2274,0.1057,0.2473
trajectory_count_selection,single_arm_tabletop,nominal_coverage,seen_task_shift,2,84,0.5952,0.5575,0.2234,0.0543,0.0654,0.2144,0.1057,0.2439
trajectory_count_selection,single_arm_tabletop,nominal_coverage,seen_task_shift,3,84,0.5714,0.5627,0.2345,0.0642,0.0567,0.221,0.1057,0.2462
trajectory_count_selection,single_arm_tabletop,nominal_coverage,seen_task_shift,4,84,0.4524,0.55,0.2153,0.04,0.0618,0.2254,0.1057,0.2518
