method,split,seed,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
trajectory_count_selection,nominal_catalog,0,0.49375,0.045551,0.514045,0.0068,0.480408,0.045633,0.227675,0.001958,0.16811,0.002485,0.100057,0.005952,0.066136,0.002816,0.041983,0.002532,0.201321,0.000699,0.083878,0.0,0.073836,0.000679,0.043879,0.00233,0.052599,0.002701,0.037381,0.001447,0.034243,0.000814,0.170651,0.009021,0.406673,0.04992,80
trajectory_count_selection,nominal_catalog,1,0.547917,0.045086,0.513082,0.006785,0.533881,0.04511,0.226957,0.001827,0.168805,0.002232,0.100096,0.006034,0.065228,0.002952,0.042214,0.002365,0.201078,0.000573,0.083878,0.0,0.073836,0.000679,0.044093,0.002445,0.053129,0.00267,0.037831,0.0016,0.033854,0.000834,0.170123,0.00906,0.332991,0.052135,80
trajectory_count_selection,nominal_catalog,2,0.5125,0.047129,0.514539,0.007234,0.498399,0.047076,0.226753,0.001714,0.168,0.002301,0.098898,0.006115,0.066377,0.003011,0.041665,0.002548,0.201197,0.000675,0.083878,0.0,0.073836,0.000679,0.044205,0.002448,0.05274,0.002745,0.037478,0.001561,0.033927,0.000772,0.169513,0.009246,0.384078,0.052267,80
trajectory_count_selection,nominal_catalog,3,0.502083,0.04329,0.514591,0.006926,0.488399,0.043494,0.226365,0.001985,0.17012,0.001958,0.098274,0.006172,0.065339,0.003067,0.042292,0.002547,0.201026,0.000637,0.083878,0.0,0.073836,0.000679,0.043374,0.002329,0.052528,0.00271,0.037705,0.001446,0.033379,0.000816,0.168424,0.009396,0.406303,0.051991,80
trajectory_count_selection,nominal_catalog,4,0.533333,0.045535,0.514352,0.00703,0.519697,0.045598,0.227571,0.002149,0.168726,0.00242,0.098642,0.006129,0.065713,0.002947,0.041833,0.002573,0.201203,0.000586,0.083878,0.0,0.073836,0.000679,0.043166,0.002261,0.052945,0.002825,0.0374,0.001472,0.03385,0.000772,0.168843,0.009324,0.365847,0.051355,80
trajectory_count_selection,nominal_catalog,5,0.48125,0.044254,0.513732,0.006957,0.467007,0.044159,0.227845,0.002141,0.166205,0.002208,0.099198,0.006074,0.06511,0.002816,0.04257,0.002465,0.201408,0.000676,0.083878,0.0,0.073836,0.000679,0.044261,0.002356,0.053199,0.002742,0.037197,0.001499,0.033847,0.000822,0.169316,0.009082,0.439645,0.046738,80
trajectory_count_selection,nominal_catalog,6,0.489583,0.044005,0.513296,0.006982,0.475506,0.044126,0.226207,0.002009,0.16592,0.002304,0.098719,0.006014,0.065769,0.002755,0.041827,0.002523,0.200684,0.000684,0.083878,0.0,0.073836,0.000679,0.044338,0.002393,0.052407,0.002714,0.037544,0.00139,0.033757,0.000792,0.168959,0.009007,0.3982,0.052746,80
trajectory_count_selection,nominal_catalog,7,0.53125,0.045421,0.513546,0.006702,0.517232,0.045591,0.227342,0.002014,0.165881,0.002216,0.098664,0.006054,0.065341,0.0029,0.041842,0.002586,0.2009,0.000664,0.083878,0.0,0.073836,0.000679,0.043861,0.00236,0.0531,0.002642,0.037127,0.001436,0.03433,0.000728,0.16859,0.009181,0.382228,0.047309,80
trajectory_count_selection,nominal_catalog,8,0.50625,0.041273,0.51466,0.006985,0.492459,0.04132,0.228552,0.00204,0.168391,0.002158,0.098501,0.006241,0.064863,0.003067,0.042082,0.002549,0.200948,0.00067,0.083878,0.0,0.073836,0.000679,0.044267,0.002304,0.053211,0.002661,0.037979,0.001385,0.034122,0.000748,0.168189,0.009437,0.376886,0.046076,80
trajectory_count_selection,nominal_catalog,9,0.54375,0.038434,0.513609,0.007069,0.529836,0.038631,0.228405,0.001886,0.168167,0.002264,0.09917,0.006049,0.065294,0.003059,0.041857,0.002574,0.201273,0.000639,0.083878,0.0,0.073836,0.000679,0.043428,0.002361,0.052578,0.002763,0.03776,0.001486,0.033867,0.000722,0.169068,0.009241,0.354535,0.042792,80
