risk_budget,method,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,fixed_risk_covered,fixed_risk_covered_ci95,fixed_risk_success,fixed_risk_success_ci95,fixed_risk_utility,fixed_risk_utility_ci95,groups
0.062,label_quality_first_selection,0.516042,0.017207,0.516064,0.000559,0.524074,0.017262,0.415558,0.000619,0.326485,0.000599,0.070147,0.000358,0.109491,0.000317,0.041082,0.000241,0.152464,0.000195,0.233711,0.0,0.143261,0.0,0.034399,0.000237,0.065975,0.000195,0.037963,0.000316,0.042485,0.000115,0.172806,0.000489,0.30273,0.016688,0.06375,0.009276,0.038958,0.007074,0.04075,0.007242,10
0.062,domain_mix_robust_selection,0.539583,0.015266,0.540246,0.000281,0.562879,0.015075,0.496565,0.000783,0.398799,0.000855,0.064306,0.000353,0.095139,0.00035,0.041221,0.000228,0.151576,0.000223,0.246793,0.0,0.165197,0.0,0.044704,9.7e-05,0.056282,0.00026,0.054229,0.00026,0.036729,0.00014,0.15627,0.000525,0.271044,0.012145,0.0425,0.008328,0.025625,0.006834,0.027426,0.007157,10
0.062,causal_feature_coverage_selection,0.558125,0.013062,0.55611,0.000303,0.592768,0.013159,0.541314,0.000678,0.436836,0.000657,0.052388,0.000167,0.08568,0.000271,0.038859,0.000184,0.144044,0.00025,0.247983,0.0,0.166384,0.0,0.042952,0.000229,0.057066,0.000187,0.051452,0.000162,0.037035,0.000209,0.136078,0.00025,0.243421,0.010804,0.09,0.006111,0.05375,0.004547,0.058227,0.004663,10
0.062,proposed_mechanism_coverage_audit_v4,0.579583,0.010398,0.580749,0.000416,0.630048,0.009937,0.595129,0.000627,0.489079,0.0006,0.039087,0.000221,0.073339,0.000264,0.03629,0.000191,0.126653,0.000257,0.234446,0.0,0.153858,0.0,0.042121,0.000221,0.055456,0.000205,0.05044,0.000146,0.035131,0.00016,0.112236,0.000295,0.212537,0.012727,0.1,0.0,0.063542,0.003665,0.069757,0.003566,10
0.062,mechanism_coverage_gap_audit_v5,0.632708,0.01725,0.635279,0.000421,0.708292,0.015923,0.682551,0.000376,0.562233,0.000623,0.011776,0.000245,0.054567,0.000204,0.028794,8.7e-05,0.103443,0.000159,0.195772,0.0,0.125232,0.0,0.03531,0.000201,0.043958,0.000152,0.038171,0.000238,0.028436,0.000181,0.067099,0.000351,0.152515,0.012903,0.32,0.020725,0.208125,0.014779,0.232979,0.015764,10
0.062,oracle_mechanism_labeled_selector,0.723333,0.00632,0.718756,0.000378,0.806281,0.006059,0.733237,0.000749,0.610014,0.000453,0.000244,7.7e-05,0.040575,0.000246,0.023408,0.000244,0.088725,0.000197,0.187099,0.0,0.118456,0.0,0.031461,0.000264,0.036548,0.000247,0.031505,0.000163,0.024454,9.7e-05,0.04238,0.000226,0.0,0.0,0.9975,0.003267,0.721667,0.00639,0.804378,0.006233,10
0.066,trajectory_count_selection,0.409583,0.015569,0.397332,0.00033,0.36022,0.015007,0.184109,0.000619,0.127701,0.000668,0.152024,0.000242,0.165604,0.000237,0.063776,0.000352,0.216882,0.000238,0.102598,0.0,0.090275,0.0,0.056893,0.000158,0.099783,0.00026,0.075789,0.00014,0.064709,0.000144,0.308115,0.000421,0.452392,0.014779,0.0,0.0,0.0,0.0,0.0,0.0,10
0.066,task_count_selection,0.414167,0.011154,0.42332,0.000307,0.37325,0.011125,0.231227,0.000555,0.16421,0.000522,0.140244,0.000402,0.156062,0.000335,0.061131,0.000242,0.206121,0.000155,0.133786,0.0,0.109286,0.0,0.055546,0.000197,0.095526,0.000238,0.073866,0.000165,0.061599,9.1e-05,0.287856,0.000538,0.441372,0.011688,0.0,0.0,0.0,0.0,0.0,0.0,10
0.066,embodiment_count_selection,0.440208,0.01015,0.448488,0.000378,0.409791,0.009799,0.278796,0.000833,0.190265,0.000892,0.127583,0.000234,0.149696,0.000359,0.055226,0.000218,0.199296,0.000178,0.153538,0.0,0.116536,0.0,0.054753,0.000181,0.080641,0.000133,0.072176,0.000242,0.057504,0.000141,0.267469,0.000447,0.406234,0.012261,0.0,0.0,0.0,0.0,0.0,0.0,10
0.066,random_balanced_selection,0.443542,0.021447,0.453833,0.00043,0.421995,0.02123,0.314387,0.000414,0.232708,0.000592,0.117012,0.000322,0.140197,0.000241,0.055201,0.000176,0.176245,0.000293,0.173694,0.0,0.133743,0.0,0.051498,0.000246,0.084299,0.000257,0.066084,0.00017,0.054831,0.000173,0.249761,0.000391,0.395682,0.019576,0.0,0.0,0.0,0.0,0.0,0.0,10
0.066,embedding_diversity_selection,0.481042,0.015441,0.48702,0.000325,0.472103,0.015457,0.379046,0.000759,0.276258,0.000745,0.102475,0.000284,0.130734,0.000212,0.052318,0.000157,0.160649,0.000215,0.20771,0.0,0.144433,0.0,0.050197,0.000177,0.078452,0.000267,0.064222,0.000169,0.050783,0.000144,0.226685,0.000357,0.350321,0.012731,0.00125,0.00245,0.001042,0.002042,0.001068,0.002093,10
0.066,uncertainty_sampling,0.4975,0.015987,0.503064,0.000569,0.499487,0.015916,0.409336,0.000481,0.335205,0.000685,0.087213,0.000226,0.106259,0.000183,0.04718,0.000248,0.166862,0.000127,0.237351,0.0,0.163763,0.0,0.049081,0.000192,0.075062,0.000148,0.062171,0.000153,0.047652,0.000223,0.190497,0.000347,0.323176,0.015934,0.02,0.005417,0.011042,0.003392,0.011565,0.003498,10
0.066,failure_prediction_selection,0.536458,0.012117,0.529926,0.000332,0.556086,0.012031,0.476536,0.000486,0.40865,0.000685,0.068513,0.000338,0.08759,0.000263,0.0433,0.000275,0.160756,0.00016,0.252979,0.0,0.17271,0.0,0.0477,0.000207,0.069606,0.000245,0.05969,0.000268,0.042764,0.000177,0.155855,0.000354,0.276749,0.012599,0.08375,0.006378,0.051458,0.005776,0.054626,0.005858,10
0.066,value_of_information_active_selection,0.519583,0.008804,0.53427,0.000469,0.538601,0.008767,0.480269,0.000659,0.404382,0.00057,0.067214,0.000307,0.090152,0.000296,0.043039,0.00017,0.156202,0.000195,0.265686,0.0,0.18404,0.0,0.046523,0.000256,0.068519,0.000184,0.057628,0.000293,0.042567,0.000125,0.156348,0.000525,0.291483,0.011061,0.075,0.008167,0.042292,0.005679,0.045126,0.005937,10
0.066,dataset_card_compliance_selection,0.50625,0.013322,0.50557,0.000348,0.511493,0.013269,0.417272,0.000508,0.315159,0.000603,0.08069,0.000173,0.113017,0.000249,0.042441,0.000239,0.153444,0.000255,0.223682,0.0,0.148779,0.0,0.040643,0.000196,0.063436,0.000227,0.045177,0.000219,0.0453,0.00012,0.186674,0.000232,0.311758,0.012486,0.03875,0.009276,0.020833,0.004945,0.021877,0.005181,10
0.066,safety_event_mining_selection,0.536458,0.012685,0.538125,0.000365,0.563205,0.01262,0.481535,0.000651,0.44472,0.00093,0.057841,0.000453,0.068791,0.000272,0.039168,0.000266,0.163935,0.000262,0.259417,0.0,0.17977,0.0,0.045717,0.000242,0.065325,0.000145,0.056269,0.000186,0.03921,0.000145,0.129018,0.000663,0.270682,0.010971,0.09875,0.00245,0.051458,0.005167,0.055502,0.005108,10
0.066,label_quality_first_selection,0.516042,0.017207,0.516064,0.000559,0.524074,0.017262,0.415558,0.000619,0.326485,0.000599,0.070147,0.000358,0.109491,0.000317,0.041082,0.000241,0.152464,0.000195,0.233711,0.0,0.143261,0.0,0.034399,0.000237,0.065975,0.000195,0.037963,0.000316,0.042485,0.000115,0.172806,0.000489,0.30273,0.016688,0.08375,0.008207,0.051458,0.008007,0.053762,0.008153,10
0.066,domain_mix_robust_selection,0.539583,0.015266,0.540246,0.000281,0.562879,0.015075,0.496565,0.000783,0.398799,0.000855,0.064306,0.000353,0.095139,0.00035,0.041221,0.000228,0.151576,0.000223,0.246793,0.0,0.165197,0.0,0.044704,9.7e-05,0.056282,0.00026,0.054229,0.00026,0.036729,0.00014,0.15627,0.000525,0.271044,0.012145,0.0675,0.010458,0.039375,0.007806,0.042104,0.008137,10
0.066,causal_feature_coverage_selection,0.558125,0.013062,0.55611,0.000303,0.592768,0.013159,0.541314,0.000678,0.436836,0.000657,0.052388,0.000167,0.08568,0.000271,0.038859,0.000184,0.144044,0.00025,0.247983,0.0,0.166384,0.0,0.042952,0.000229,0.057066,0.000187,0.051452,0.000162,0.037035,0.000209,0.136078,0.00025,0.243421,0.010804,0.09875,0.00245,0.05875,0.004164,0.063655,0.004166,10
0.066,proposed_mechanism_coverage_audit_v4,0.579583,0.010398,0.580749,0.000416,0.630048,0.009937,0.595129,0.000627,0.489079,0.0006,0.039087,0.000221,0.073339,0.000264,0.03629,0.000191,0.126653,0.000257,0.234446,0.0,0.153858,0.0,0.042121,0.000221,0.055456,0.000205,0.05044,0.000146,0.035131,0.00016,0.112236,0.000295,0.212537,0.012727,0.1,0.0,0.063542,0.003665,0.069757,0.003566,10
0.066,mechanism_coverage_gap_audit_v5,0.632708,0.01725,0.635279,0.000421,0.708292,0.015923,0.682551,0.000376,0.562233,0.000623,0.011776,0.000245,0.054567,0.000204,0.028794,8.7e-05,0.103443,0.000159,0.195772,0.0,0.125232,0.0,0.03531,0.000201,0.043958,0.000152,0.038171,0.000238,0.028436,0.000181,0.067099,0.000351,0.152515,0.012903,0.43375,0.026349,0.280625,0.018322,0.314412,0.019444,10
0.066,oracle_mechanism_labeled_selector,0.723333,0.00632,0.718756,0.000378,0.806281,0.006059,0.733237,0.000749,0.610014,0.000453,0.000244,7.7e-05,0.040575,0.000246,0.023408,0.000244,0.088725,0.000197,0.187099,0.0,0.118456,0.0,0.031461,0.000264,0.036548,0.000247,0.031505,0.000163,0.024454,9.7e-05,0.04238,0.000226,0.0,0.0,1.0,0.0,0.723333,0.00632,0.806281,0.006059,10
0.07,trajectory_count_selection,0.409583,0.015569,0.397332,0.00033,0.36022,0.015007,0.184109,0.000619,0.127701,0.000668,0.152024,0.000242,0.165604,0.000237,0.063776,0.000352,0.216882,0.000238,0.102598,0.0,0.090275,0.0,0.056893,0.000158,0.099783,0.00026,0.075789,0.00014,0.064709,0.000144,0.308115,0.000421,0.452392,0.014779,0.0,0.0,0.0,0.0,0.0,0.0,10
0.07,task_count_selection,0.414167,0.011154,0.42332,0.000307,0.37325,0.011125,0.231227,0.000555,0.16421,0.000522,0.140244,0.000402,0.156062,0.000335,0.061131,0.000242,0.206121,0.000155,0.133786,0.0,0.109286,0.0,0.055546,0.000197,0.095526,0.000238,0.073866,0.000165,0.061599,9.1e-05,0.287856,0.000538,0.441372,0.011688,0.0,0.0,0.0,0.0,0.0,0.0,10
0.07,embodiment_count_selection,0.440208,0.01015,0.448488,0.000378,0.409791,0.009799,0.278796,0.000833,0.190265,0.000892,0.127583,0.000234,0.149696,0.000359,0.055226,0.000218,0.199296,0.000178,0.153538,0.0,0.116536,0.0,0.054753,0.000181,0.080641,0.000133,0.072176,0.000242,0.057504,0.000141,0.267469,0.000447,0.406234,0.012261,0.0,0.0,0.0,0.0,0.0,0.0,10
0.07,random_balanced_selection,0.443542,0.021447,0.453833,0.00043,0.421995,0.02123,0.314387,0.000414,0.232708,0.000592,0.117012,0.000322,0.140197,0.000241,0.055201,0.000176,0.176245,0.000293,0.173694,0.0,0.133743,0.0,0.051498,0.000246,0.084299,0.000257,0.066084,0.00017,0.054831,0.000173,0.249761,0.000391,0.395682,0.019576,0.0,0.0,0.0,0.0,0.0,0.0,10
0.07,embedding_diversity_selection,0.481042,0.015441,0.48702,0.000325,0.472103,0.015457,0.379046,0.000759,0.276258,0.000745,0.102475,0.000284,0.130734,0.000212,0.052318,0.000157,0.160649,0.000215,0.20771,0.0,0.144433,0.0,0.050197,0.000177,0.078452,0.000267,0.064222,0.000169,0.050783,0.000144,0.226685,0.000357,0.350321,0.012731,0.00125,0.00245,0.001042,0.002042,0.001068,0.002093,10
0.07,uncertainty_sampling,0.4975,0.015987,0.503064,0.000569,0.499487,0.015916,0.409336,0.000481,0.335205,0.000685,0.087213,0.000226,0.106259,0.000183,0.04718,0.000248,0.166862,0.000127,0.237351,0.0,0.163763,0.0,0.049081,0.000192,0.075062,0.000148,0.062171,0.000153,0.047652,0.000223,0.190497,0.000347,0.323176,0.015934,0.03875,0.005717,0.021458,0.002023,0.022444,0.002132,10
0.07,failure_prediction_selection,0.536458,0.012117,0.529926,0.000332,0.556086,0.012031,0.476536,0.000486,0.40865,0.000685,0.068513,0.000338,0.08759,0.000263,0.0433,0.000275,0.160756,0.00016,0.252979,0.0,0.17271,0.0,0.0477,0.000207,0.069606,0.000245,0.05969,0.000268,0.042764,0.000177,0.155855,0.000354,0.276749,0.012599,0.09625,0.005229,0.057917,0.005895,0.061499,0.005947,10
0.07,value_of_information_active_selection,0.519583,0.008804,0.53427,0.000469,0.538601,0.008767,0.480269,0.000659,0.404382,0.00057,0.067214,0.000307,0.090152,0.000296,0.043039,0.00017,0.156202,0.000195,0.265686,0.0,0.18404,0.0,0.046523,0.000256,0.068519,0.000184,0.057628,0.000293,0.042567,0.000125,0.156348,0.000525,0.291483,0.011061,0.08875,0.005717,0.050625,0.005343,0.053947,0.005503,10
0.07,dataset_card_compliance_selection,0.50625,0.013322,0.50557,0.000348,0.511493,0.013269,0.417272,0.000508,0.315159,0.000603,0.08069,0.000173,0.113017,0.000249,0.042441,0.000239,0.153444,0.000255,0.223682,0.0,0.148779,0.0,0.040643,0.000196,0.063436,0.000227,0.045177,0.000219,0.0453,0.00012,0.186674,0.000232,0.311758,0.012486,0.06,0.0102,0.031458,0.004962,0.033072,0.005222,10
0.07,safety_event_mining_selection,0.536458,0.012685,0.538125,0.000365,0.563205,0.01262,0.481535,0.000651,0.44472,0.00093,0.057841,0.000453,0.068791,0.000272,0.039168,0.000266,0.163935,0.000262,0.259417,0.0,0.17977,0.0,0.045717,0.000242,0.065325,0.000145,0.056269,0.000186,0.03921,0.000145,0.129018,0.000663,0.270682,0.010971,0.1,0.0,0.0525,0.004707,0.056593,0.004598,10
0.07,label_quality_first_selection,0.516042,0.017207,0.516064,0.000559,0.524074,0.017262,0.415558,0.000619,0.326485,0.000599,0.070147,0.000358,0.109491,0.000317,0.041082,0.000241,0.152464,0.000195,0.233711,0.0,0.143261,0.0,0.034399,0.000237,0.065975,0.000195,0.037963,0.000316,0.042485,0.000115,0.172806,0.000489,0.30273,0.016688,0.095,0.007485,0.0575,0.007583,0.060098,0.00767,10
0.07,domain_mix_robust_selection,0.539583,0.015266,0.540246,0.000281,0.562879,0.015075,0.496565,0.000783,0.398799,0.000855,0.064306,0.000353,0.095139,0.00035,0.041221,0.000228,0.151576,0.000223,0.246793,0.0,0.165197,0.0,0.044704,9.7e-05,0.056282,0.00026,0.054229,0.00026,0.036729,0.00014,0.15627,0.000525,0.271044,0.012145,0.095,0.005417,0.055,0.003907,0.058841,0.004057,10
0.07,causal_feature_coverage_selection,0.558125,0.013062,0.55611,0.000303,0.592768,0.013159,0.541314,0.000678,0.436836,0.000657,0.052388,0.000167,0.08568,0.000271,0.038859,0.000184,0.144044,0.00025,0.247983,0.0,0.166384,0.0,0.042952,0.000229,0.057066,0.000187,0.051452,0.000162,0.037035,0.000209,0.136078,0.00025,0.243421,0.010804,0.09875,0.00245,0.05875,0.004164,0.063655,0.004166,10
0.07,proposed_mechanism_coverage_audit_v4,0.579583,0.010398,0.580749,0.000416,0.630048,0.009937,0.595129,0.000627,0.489079,0.0006,0.039087,0.000221,0.073339,0.000264,0.03629,0.000191,0.126653,0.000257,0.234446,0.0,0.153858,0.0,0.042121,0.000221,0.055456,0.000205,0.05044,0.000146,0.035131,0.00016,0.112236,0.000295,0.212537,0.012727,0.1,0.0,0.063542,0.003665,0.069757,0.003566,10
0.07,mechanism_coverage_gap_audit_v5,0.632708,0.01725,0.635279,0.000421,0.708292,0.015923,0.682551,0.000376,0.562233,0.000623,0.011776,0.000245,0.054567,0.000204,0.028794,8.7e-05,0.103443,0.000159,0.195772,0.0,0.125232,0.0,0.03531,0.000201,0.043958,0.000152,0.038171,0.000238,0.028436,0.000181,0.067099,0.000351,0.152515,0.012903,0.5675,0.019736,0.367292,0.016379,0.410961,0.016318,10
0.07,oracle_mechanism_labeled_selector,0.723333,0.00632,0.718756,0.000378,0.806281,0.006059,0.733237,0.000749,0.610014,0.000453,0.000244,7.7e-05,0.040575,0.000246,0.023408,0.000244,0.088725,0.000197,0.187099,0.0,0.118456,0.0,0.031461,0.000264,0.036548,0.000247,0.031505,0.000163,0.024454,9.7e-05,0.04238,0.000226,0.0,0.0,1.0,0.0,0.723333,0.00632,0.806281,0.006059,10
0.074,trajectory_count_selection,0.409583,0.015569,0.397332,0.00033,0.36022,0.015007,0.184109,0.000619,0.127701,0.000668,0.152024,0.000242,0.165604,0.000237,0.063776,0.000352,0.216882,0.000238,0.102598,0.0,0.090275,0.0,0.056893,0.000158,0.099783,0.00026,0.075789,0.00014,0.064709,0.000144,0.308115,0.000421,0.452392,0.014779,0.0,0.0,0.0,0.0,0.0,0.0,10
0.074,task_count_selection,0.414167,0.011154,0.42332,0.000307,0.37325,0.011125,0.231227,0.000555,0.16421,0.000522,0.140244,0.000402,0.156062,0.000335,0.061131,0.000242,0.206121,0.000155,0.133786,0.0,0.109286,0.0,0.055546,0.000197,0.095526,0.000238,0.073866,0.000165,0.061599,9.1e-05,0.287856,0.000538,0.441372,0.011688,0.0,0.0,0.0,0.0,0.0,0.0,10
0.074,embodiment_count_selection,0.440208,0.01015,0.448488,0.000378,0.409791,0.009799,0.278796,0.000833,0.190265,0.000892,0.127583,0.000234,0.149696,0.000359,0.055226,0.000218,0.199296,0.000178,0.153538,0.0,0.116536,0.0,0.054753,0.000181,0.080641,0.000133,0.072176,0.000242,0.057504,0.000141,0.267469,0.000447,0.406234,0.012261,0.0,0.0,0.0,0.0,0.0,0.0,10
0.074,random_balanced_selection,0.443542,0.021447,0.453833,0.00043,0.421995,0.02123,0.314387,0.000414,0.232708,0.000592,0.117012,0.000322,0.140197,0.000241,0.055201,0.000176,0.176245,0.000293,0.173694,0.0,0.133743,0.0,0.051498,0.000246,0.084299,0.000257,0.066084,0.00017,0.054831,0.000173,0.249761,0.000391,0.395682,0.019576,0.00125,0.00245,0.000625,0.001225,0.000639,0.001252,10
0.074,embedding_diversity_selection,0.481042,0.015441,0.48702,0.000325,0.472103,0.015457,0.379046,0.000759,0.276258,0.000745,0.102475,0.000284,0.130734,0.000212,0.052318,0.000157,0.160649,0.000215,0.20771,0.0,0.144433,0.0,0.050197,0.000177,0.078452,0.000267,0.064222,0.000169,0.050783,0.000144,0.226685,0.000357,0.350321,0.012731,0.00625,0.004083,0.003125,0.002454,0.003247,0.002522,10
0.074,uncertainty_sampling,0.4975,0.015987,0.503064,0.000569,0.499487,0.015916,0.409336,0.000481,0.335205,0.000685,0.087213,0.000226,0.106259,0.000183,0.04718,0.000248,0.166862,0.000127,0.237351,0.0,0.163763,0.0,0.049081,0.000192,0.075062,0.000148,0.062171,0.000153,0.047652,0.000223,0.190497,0.000347,0.323176,0.015934,0.05625,0.007529,0.030625,0.004516,0.032008,0.004665,10
0.074,failure_prediction_selection,0.536458,0.012117,0.529926,0.000332,0.556086,0.012031,0.476536,0.000486,0.40865,0.000685,0.068513,0.000338,0.08759,0.000263,0.0433,0.000275,0.160756,0.00016,0.252979,0.0,0.17271,0.0,0.0477,0.000207,0.069606,0.000245,0.05969,0.000268,0.042764,0.000177,0.155855,0.000354,0.276749,0.012599,0.09875,0.00245,0.059375,0.00552,0.06305,0.005523,10
0.074,value_of_information_active_selection,0.519583,0.008804,0.53427,0.000469,0.538601,0.008767,0.480269,0.000659,0.404382,0.00057,0.067214,0.000307,0.090152,0.000296,0.043039,0.00017,0.156202,0.000195,0.265686,0.0,0.18404,0.0,0.046523,0.000256,0.068519,0.000184,0.057628,0.000293,0.042567,0.000125,0.156348,0.000525,0.291483,0.011061,0.0975,0.003267,0.055625,0.003392,0.059256,0.003416,10
0.074,dataset_card_compliance_selection,0.50625,0.013322,0.50557,0.000348,0.511493,0.013269,0.417272,0.000508,0.315159,0.000603,0.08069,0.000173,0.113017,0.000249,0.042441,0.000239,0.153444,0.000255,0.223682,0.0,0.148779,0.0,0.040643,0.000196,0.063436,0.000227,0.045177,0.000219,0.0453,0.00012,0.186674,0.000232,0.311758,0.012486,0.0825,0.009094,0.045625,0.006397,0.047824,0.006593,10
0.074,safety_event_mining_selection,0.536458,0.012685,0.538125,0.000365,0.563205,0.01262,0.481535,0.000651,0.44472,0.00093,0.057841,0.000453,0.068791,0.000272,0.039168,0.000266,0.163935,0.000262,0.259417,0.0,0.17977,0.0,0.045717,0.000242,0.065325,0.000145,0.056269,0.000186,0.03921,0.000145,0.129018,0.000663,0.270682,0.010971,0.1,0.0,0.0525,0.004707,0.056593,0.004598,10
0.074,label_quality_first_selection,0.516042,0.017207,0.516064,0.000559,0.524074,0.017262,0.415558,0.000619,0.326485,0.000599,0.070147,0.000358,0.109491,0.000317,0.041082,0.000241,0.152464,0.000195,0.233711,0.0,0.143261,0.0,0.034399,0.000237,0.065975,0.000195,0.037963,0.000316,0.042485,0.000115,0.172806,0.000489,0.30273,0.016688,0.0975,0.0049,0.058542,0.006791,0.061207,0.006814,10
0.074,domain_mix_robust_selection,0.539583,0.015266,0.540246,0.000281,0.562879,0.015075,0.496565,0.000783,0.398799,0.000855,0.064306,0.000353,0.095139,0.00035,0.041221,0.000228,0.151576,0.000223,0.246793,0.0,0.165197,0.0,0.044704,9.7e-05,0.056282,0.00026,0.054229,0.00026,0.036729,0.00014,0.15627,0.000525,0.271044,0.012145,0.0975,0.003267,0.056042,0.003247,0.059979,0.003285,10
0.074,causal_feature_coverage_selection,0.558125,0.013062,0.55611,0.000303,0.592768,0.013159,0.541314,0.000678,0.436836,0.000657,0.052388,0.000167,0.08568,0.000271,0.038859,0.000184,0.144044,0.00025,0.247983,0.0,0.166384,0.0,0.042952,0.000229,0.057066,0.000187,0.051452,0.000162,0.037035,0.000209,0.136078,0.00025,0.243421,0.010804,0.1,0.0,0.059792,0.004392,0.064758,0.004386,10
