risk_budget,method,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,fixed_risk_covered,fixed_risk_covered_ci95,fixed_risk_success,fixed_risk_success_ci95,fixed_risk_utility,fixed_risk_utility_ci95,groups
0.062,trajectory_count_selection,0.409583,0.015569,0.397332,0.00033,0.36022,0.015007,0.184109,0.000619,0.127701,0.000668,0.152024,0.000242,0.165604,0.000237,0.063776,0.000352,0.216882,0.000238,0.102598,0.0,0.090275,0.0,0.056893,0.000158,0.099783,0.00026,0.075789,0.00014,0.064709,0.000144,0.308115,0.000421,0.452392,0.014779,0.0,0.0,0.0,0.0,0.0,0.0,10
0.062,task_count_selection,0.414167,0.011154,0.42332,0.000307,0.37325,0.011125,0.231227,0.000555,0.16421,0.000522,0.140244,0.000402,0.156062,0.000335,0.061131,0.000242,0.206121,0.000155,0.133786,0.0,0.109286,0.0,0.055546,0.000197,0.095526,0.000238,0.073866,0.000165,0.061599,9.1e-05,0.287856,0.000538,0.441372,0.011688,0.0,0.0,0.0,0.0,0.0,0.0,10
0.062,embodiment_count_selection,0.440208,0.01015,0.448488,0.000378,0.409791,0.009799,0.278796,0.000833,0.190265,0.000892,0.127583,0.000234,0.149696,0.000359,0.055226,0.000218,0.199296,0.000178,0.153538,0.0,0.116536,0.0,0.054753,0.000181,0.080641,0.000133,0.072176,0.000242,0.057504,0.000141,0.267469,0.000447,0.406234,0.012261,0.0,0.0,0.0,0.0,0.0,0.0,10
0.062,random_balanced_selection,0.443542,0.021447,0.453833,0.00043,0.421995,0.02123,0.314387,0.000414,0.232708,0.000592,0.117012,0.000322,0.140197,0.000241,0.055201,0.000176,0.176245,0.000293,0.173694,0.0,0.133743,0.0,0.051498,0.000246,0.084299,0.000257,0.066084,0.00017,0.054831,0.000173,0.249761,0.000391,0.395682,0.019576,0.0,0.0,0.0,0.0,0.0,0.0,10
0.062,embedding_diversity_selection,0.481042,0.015441,0.48702,0.000325,0.472103,0.015457,0.379046,0.000759,0.276258,0.000745,0.102475,0.000284,0.130734,0.000212,0.052318,0.000157,0.160649,0.000215,0.20771,0.0,0.144433,0.0,0.050197,0.000177,0.078452,0.000267,0.064222,0.000169,0.050783,0.000144,0.226685,0.000357,0.350321,0.012731,0.0,0.0,0.0,0.0,0.0,0.0,10
0.062,uncertainty_sampling,0.4975,0.015987,0.503064,0.000569,0.499487,0.015916,0.409336,0.000481,0.335205,0.000685,0.087213,0.000226,0.106259,0.000183,0.04718,0.000248,0.166862,0.000127,0.237351,0.0,0.163763,0.0,0.049081,0.000192,0.075062,0.000148,0.062171,0.000153,0.047652,0.000223,0.190497,0.000347,0.323176,0.015934,0.00625,0.004083,0.004167,0.002919,0.004332,0.00302,10
0.062,failure_prediction_selection,0.536458,0.012117,0.529926,0.000332,0.556086,0.012031,0.476536,0.000486,0.40865,0.000685,0.068513,0.000338,0.08759,0.000263,0.0433,0.000275,0.160756,0.00016,0.252979,0.0,0.17271,0.0,0.0477,0.000207,0.069606,0.000245,0.05969,0.000268,0.042764,0.000177,0.155855,0.000354,0.276749,0.012599,0.0475,0.006111,0.028542,0.004516,0.030395,0.004734,10
0.062,value_of_information_active_selection,0.519583,0.008804,0.53427,0.000469,0.538601,0.008767,0.480269,0.000659,0.404382,0.00057,0.067214,0.000307,0.090152,0.000296,0.043039,0.00017,0.156202,0.000195,0.265686,0.0,0.18404,0.0,0.046523,0.000256,0.068519,0.000184,0.057628,0.000293,0.042567,0.000125,0.156348,0.000525,0.291483,0.011061,0.0575,0.008328,0.031458,0.004324,0.03364,0.004607,10
0.062,dataset_card_compliance_selection,0.50625,0.013322,0.50557,0.000348,0.511493,0.013269,0.417272,0.000508,0.315159,0.000603,0.08069,0.000173,0.113017,0.000249,0.042441,0.000239,0.153444,0.000255,0.223682,0.0,0.148779,0.0,0.040643,0.000196,0.063436,0.000227,0.045177,0.000219,0.0453,0.00012,0.186674,0.000232,0.311758,0.012486,0.015,0.006111,0.006875,0.003107,0.007305,0.003269,10
0.062,safety_event_mining_selection,0.536458,0.012685,0.538125,0.000365,0.563205,0.01262,0.481535,0.000651,0.44472,0.00093,0.057841,0.000453,0.068791,0.000272,0.039168,0.000266,0.163935,0.000262,0.259417,0.0,0.17977,0.0,0.045717,0.000242,0.065325,0.000145,0.056269,0.000186,0.03921,0.000145,0.129018,0.000663,0.270682,0.010971,0.09625,0.003742,0.050208,0.00604,0.054149,0.006058,10
