ablation,seed,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_full,regret_to_full_ci95,groups
full_mechanism_coverage_gap_audit,0,0.65,0.044485,0.633723,0.003825,0.72248,0.041783,0.677371,0.001911,0.561103,0.002371,0.01228,0.002039,0.054936,0.001848,0.029196,0.001285,0.103307,0.000636,0.195772,0.0,0.125341,0.000337,0.035774,0.001384,0.045312,0.00126,0.03963,0.001008,0.028897,0.000513,0.06808,0.003681,0.0,0.0,80
full_mechanism_coverage_gap_audit,1,0.645833,0.041245,0.634938,0.003512,0.721248,0.039402,0.676654,0.002062,0.562338,0.002212,0.012559,0.001971,0.055048,0.001947,0.028851,0.001132,0.103382,0.000658,0.195772,0.0,0.125341,0.000337,0.036319,0.001383,0.045526,0.001337,0.039616,0.001047,0.028473,0.000459,0.06827,0.003561,0.0,0.0,80
full_mechanism_coverage_gap_audit,2,0.622917,0.044158,0.633569,0.003976,0.696217,0.041577,0.677472,0.001901,0.561566,0.002092,0.012528,0.002048,0.054196,0.001885,0.029292,0.001218,0.103354,0.000602,0.195772,0.0,0.125341,0.000337,0.036316,0.001319,0.045227,0.001254,0.038548,0.000924,0.028396,0.000527,0.067821,0.00362,0.0,0.0,80
full_mechanism_coverage_gap_audit,3,0.629167,0.043087,0.633403,0.003655,0.704464,0.041187,0.676587,0.001553,0.560758,0.001878,0.012468,0.002109,0.054957,0.001838,0.028882,0.001166,0.103302,0.000592,0.195772,0.0,0.125341,0.000337,0.036175,0.001268,0.045495,0.001272,0.039914,0.000886,0.028756,0.000496,0.068127,0.003581,0.0,0.0,80
full_mechanism_coverage_gap_audit,4,0.625,0.040051,0.633972,0.003911,0.702183,0.038815,0.676887,0.0019,0.560712,0.002075,0.012592,0.001895,0.055905,0.001955,0.029389,0.001321,0.103355,0.000839,0.195772,0.0,0.125341,0.000337,0.036266,0.001302,0.04597,0.0013,0.039329,0.000907,0.028552,0.000527,0.069215,0.00365,0.0,0.0,80
full_mechanism_coverage_gap_audit,5,0.633333,0.042066,0.632641,0.003696,0.709407,0.040646,0.674021,0.001927,0.562515,0.001949,0.012116,0.001805,0.05557,0.001924,0.029382,0.001126,0.103672,0.000689,0.195772,0.0,0.125341,0.000337,0.03622,0.001349,0.045337,0.001378,0.038985,0.001081,0.028788,0.000562,0.068484,0.003458,0.0,0.0,80
full_mechanism_coverage_gap_audit,6,0.614583,0.045235,0.635587,0.003564,0.693304,0.04448,0.678659,0.002263,0.563176,0.002271,0.012781,0.001818,0.053923,0.001704,0.029368,0.001112,0.103473,0.000523,0.195772,0.0,0.125341,0.000337,0.035676,0.00145,0.045756,0.001272,0.038862,0.000954,0.028438,0.000589,0.067908,0.003269,0.0,0.0,80
full_mechanism_coverage_gap_audit,7,0.677083,0.041232,0.634416,0.003719,0.750323,0.038748,0.674668,0.002184,0.561844,0.002002,0.011802,0.001876,0.054942,0.001695,0.029154,0.001191,0.103206,0.000683,0.195772,0.0,0.125341,0.000337,0.035275,0.001189,0.045533,0.001266,0.039742,0.000931,0.02854,0.00049,0.067585,0.003278,0.0,0.0,80
full_mechanism_coverage_gap_audit,8,0.6,0.047067,0.63421,0.00366,0.675519,0.045223,0.677655,0.002086,0.563523,0.002177,0.012476,0.001887,0.054661,0.001873,0.029112,0.001242,0.103459,0.00064,0.195772,0.0,0.125341,0.000337,0.035048,0.001249,0.045184,0.001326,0.038782,0.000984,0.028272,0.000482,0.068028,0.003475,0.0,0.0,80
full_mechanism_coverage_gap_audit,9,0.64375,0.03973,0.633813,0.003805,0.719374,0.037686,0.677324,0.001875,0.562243,0.002187,0.012725,0.001865,0.054274,0.001859,0.028745,0.00124,0.103328,0.000623,0.195772,0.0,0.125341,0.000337,0.035426,0.001196,0.045346,0.001338,0.039587,0.000877,0.02859,0.000464,0.067803,0.003514,0.0,0.0,80
minus_mechanism_taxonomy,0,0.595833,0.048541,0.584553,0.005402,0.639273,0.047395,0.504225,0.001961,0.481201,0.002252,0.04177,0.004055,0.06526,0.002473,0.031926,0.001364,0.130313,0.000569,0.191059,0.0,0.122414,0.000398,0.036879,0.001531,0.050371,0.00142,0.041779,0.001106,0.033168,0.000622,0.106678,0.006235,0.143075,0.037279,80
