ablation,seed,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_full,regret_to_full_ci95,groups
minus_mechanism_taxonomy,1,0.604167,0.042056,0.585291,0.005502,0.648777,0.041538,0.502954,0.001844,0.480031,0.00215,0.041786,0.004288,0.06517,0.002476,0.032194,0.001444,0.129918,0.000578,0.191059,0.0,0.122414,0.000398,0.036925,0.001536,0.050229,0.001367,0.042145,0.001066,0.032866,0.000666,0.106761,0.00648,0.152652,0.041281,80
minus_mechanism_taxonomy,2,0.533333,0.040844,0.585606,0.005255,0.578982,0.040777,0.503579,0.002186,0.479914,0.002256,0.042525,0.004265,0.065528,0.002426,0.031829,0.001453,0.1301,0.000713,0.191059,0.0,0.122414,0.000398,0.037401,0.00142,0.050205,0.001434,0.042533,0.000909,0.03303,0.00054,0.107586,0.006454,0.176671,0.040822,80
minus_mechanism_taxonomy,3,0.591667,0.043448,0.584944,0.005758,0.633676,0.041865,0.501984,0.002061,0.481169,0.002263,0.041742,0.004133,0.06579,0.002661,0.031828,0.001403,0.129168,0.000661,0.191059,0.0,0.122414,0.000398,0.037108,0.001561,0.050431,0.001571,0.041785,0.001122,0.033215,0.000596,0.106998,0.006462,0.14341,0.035249,80
minus_mechanism_taxonomy,4,0.566667,0.041743,0.585162,0.00545,0.611412,0.041221,0.502956,0.002069,0.480174,0.002275,0.042971,0.004165,0.066057,0.002593,0.032309,0.001384,0.130163,0.000619,0.191059,0.0,0.122414,0.000398,0.036812,0.001604,0.050209,0.001438,0.041997,0.001016,0.033382,0.000603,0.108668,0.006362,0.158572,0.038512,80
minus_mechanism_taxonomy,5,0.585417,0.045384,0.585234,0.00546,0.629583,0.044419,0.502886,0.001709,0.482055,0.002607,0.042278,0.004325,0.064869,0.002673,0.032032,0.00149,0.130126,0.000619,0.191059,0.0,0.122414,0.000398,0.037033,0.001459,0.049895,0.001514,0.041366,0.00102,0.032549,0.000647,0.106946,0.006694,0.160163,0.043279,80
minus_mechanism_taxonomy,6,0.577083,0.0479,0.584995,0.005285,0.620199,0.046947,0.503369,0.001809,0.480311,0.002167,0.042227,0.004284,0.065687,0.002449,0.032659,0.001302,0.129554,0.000666,0.191059,0.0,0.122414,0.000398,0.037177,0.00145,0.050091,0.001498,0.042101,0.000999,0.032766,0.000596,0.107822,0.006459,0.159156,0.039733,80
minus_mechanism_taxonomy,7,0.560417,0.046578,0.585756,0.00559,0.604066,0.045795,0.502482,0.00211,0.480814,0.002231,0.043174,0.00436,0.065721,0.002596,0.032207,0.001361,0.130037,0.000696,0.191059,0.0,0.122414,0.000398,0.03722,0.001461,0.050364,0.001488,0.042098,0.001139,0.033075,0.000602,0.108567,0.006658,0.20849,0.045735,80
minus_mechanism_taxonomy,8,0.608333,0.037705,0.586655,0.005367,0.652186,0.036908,0.503001,0.001926,0.481254,0.002154,0.042713,0.004363,0.065068,0.00263,0.031799,0.001427,0.129714,0.000691,0.191059,0.0,0.122414,0.000398,0.03738,0.001427,0.050116,0.001489,0.041892,0.001002,0.032836,0.00064,0.107414,0.006687,0.101573,0.030071,80
minus_mechanism_taxonomy,9,0.558333,0.042346,0.584074,0.005363,0.603987,0.042228,0.503132,0.002081,0.481243,0.002182,0.042056,0.004088,0.066248,0.002406,0.032338,0.00142,0.129518,0.000571,0.191059,0.0,0.122414,0.000398,0.036944,0.001462,0.049739,0.00166,0.041945,0.001021,0.032968,0.000553,0.107911,0.00625,0.169975,0.041165,80
minus_modality_axis,0,0.616667,0.042066,0.602876,0.004764,0.676426,0.041106,0.596895,0.001945,0.495805,0.002395,0.029988,0.003463,0.0645,0.002502,0.032113,0.001232,0.11442,0.000692,0.180759,0.0,0.120414,0.000398,0.037424,0.001554,0.049598,0.00152,0.041716,0.00113,0.032459,0.000571,0.094419,0.005588,0.137272,0.036906,80
minus_modality_axis,1,0.575,0.048585,0.60182,0.004868,0.633772,0.047351,0.595927,0.002106,0.495533,0.002159,0.031002,0.003541,0.064996,0.002526,0.031807,0.001371,0.115096,0.0006,0.180759,0.0,0.120414,0.000398,0.037358,0.001455,0.049718,0.001486,0.042376,0.000957,0.031922,0.000586,0.095652,0.005752,0.162948,0.040296,80
minus_modality_axis,2,0.635417,0.0403,0.601927,0.004672,0.6952,0.039348,0.596625,0.00193,0.495335,0.00198,0.03059,0.003405,0.064142,0.002412,0.03152,0.001457,0.115108,0.000628,0.180759,0.0,0.120414,0.000398,0.037108,0.001387,0.050177,0.001545,0.041946,0.001063,0.031998,0.000556,0.094457,0.005555,0.108916,0.032796,80
minus_modality_axis,3,0.59375,0.043426,0.602642,0.004876,0.651166,0.041763,0.594304,0.001817,0.495784,0.002167,0.030996,0.003501,0.065427,0.002487,0.032399,0.001437,0.114961,0.000692,0.180759,0.0,0.120414,0.000398,0.037234,0.001434,0.049975,0.0014,0.041486,0.001136,0.032104,0.000569,0.096266,0.005693,0.146685,0.039668,80
minus_modality_axis,4,0.595833,0.045303,0.601774,0.004702,0.655031,0.044423,0.594911,0.001655,0.49829,0.002281,0.031161,0.003494,0.064944,0.002516,0.031982,0.001347,0.114854,0.000638,0.180759,0.0,0.120414,0.000398,0.037282,0.001455,0.049844,0.001492,0.0419,0.001111,0.0317,0.000606,0.09586,0.005678,0.138336,0.042769,80
minus_modality_axis,5,0.579167,0.047557,0.602826,0.004954,0.635952,0.045657,0.595814,0.002274,0.495055,0.002121,0.031039,0.003549,0.064623,0.00254,0.031559,0.001429,0.114921,0.000665,0.180759,0.0,0.120414,0.000398,0.037521,0.001433,0.049726,0.001421,0.041867,0.001066,0.032056,0.000562,0.095286,0.005771,0.144769,0.045333,80
minus_modality_axis,6,0.639583,0.04168,0.60339,0.004865,0.699901,0.04121,0.596763,0.001864,0.496791,0.002241,0.031147,0.003561,0.064707,0.002593,0.032194,0.001436,0.115262,0.000688,0.180759,0.0,0.120414,0.000398,0.037091,0.001501,0.050038,0.001564,0.041762,0.000975,0.032204,0.00058,0.095775,0.00583,0.104976,0.036329,80
minus_modality_axis,7,0.5625,0.042851,0.601626,0.004622,0.622029,0.041751,0.59558,0.002003,0.496753,0.001887,0.031013,0.003398,0.065155,0.002468,0.031853,0.001458,0.114802,0.000708,0.180759,0.0,0.120414,0.000398,0.036945,0.001506,0.050213,0.00146,0.042241,0.001018,0.031998,0.000506,0.095806,0.005601,0.180232,0.044658,80
minus_modality_axis,8,0.589583,0.046469,0.602021,0.005002,0.648197,0.045151,0.594964,0.002102,0.495369,0.002104,0.030777,0.00355,0.064854,0.002427,0.032281,0.001332,0.114182,0.000658,0.180759,0.0,0.120414,0.000398,0.037216,0.001341,0.04924,0.001534,0.041747,0.00111,0.032156,0.000554,0.095558,0.005676,0.134126,0.039638,80
minus_modality_axis,9,0.610417,0.041477,0.602764,0.004803,0.670526,0.040678,0.595877,0.001565,0.495451,0.002147,0.030855,0.003466,0.064594,0.002523,0.032659,0.001453,0.114482,0.00075,0.180759,0.0,0.120414,0.000398,0.036946,0.00127,0.050304,0.001445,0.04142,0.001068,0.032135,0.000525,0.09563,0.005654,0.121891,0.039267,80
minus_recovery_axis,0,0.61875,0.039496,0.599862,0.005189,0.676583,0.039449,0.599867,0.002002,0.458675,0.002183,0.03271,0.003646,0.069899,0.003022,0.032441,0.001458,0.115187,0.000585,0.180759,0.0,0.120414,0.000398,0.037061,0.001344,0.049917,0.001549,0.041472,0.001044,0.032462,0.000661,0.101354,0.006285,0.127436,0.037065,80
minus_recovery_axis,1,0.61875,0.047279,0.598848,0.005173,0.674284,0.046402,0.599955,0.002238,0.457925,0.001995,0.032531,0.003774,0.071076,0.003078,0.032,0.001549,0.114859,0.000636,0.180759,0.0,0.120414,0.000398,0.036906,0.001433,0.04992,0.001325,0.041801,0.001035,0.031975,0.000579,0.101838,0.006531,0.133264,0.042855,80
minus_recovery_axis,2,0.610417,0.0486,0.598365,0.005308,0.666227,0.047727,0.601595,0.001942,0.458311,0.002234,0.033127,0.003636,0.070313,0.003141,0.032183,0.001411,0.115148,0.000674,0.180759,0.0,0.120414,0.000398,0.036996,0.001379,0.050483,0.001382,0.041253,0.001005,0.032608,0.000569,0.101953,0.006365,0.129403,0.038397,80
minus_recovery_axis,3,0.579167,0.045004,0.598945,0.005058,0.633467,0.043206,0.603291,0.001978,0.456416,0.002393,0.032541,0.003735,0.070163,0.003161,0.03256,0.001421,0.114973,0.000569,0.180759,0.0,0.120414,0.000398,0.036691,0.001407,0.050114,0.0015,0.04165,0.001115,0.032241,0.000622,0.101443,0.006473,0.154866,0.040888,80
minus_recovery_axis,4,0.579167,0.046842,0.599989,0.005075,0.635134,0.045656,0.600103,0.002064,0.460128,0.002171,0.03228,0.003663,0.069255,0.00309,0.031814,0.001367,0.115422,0.000628,0.180759,0.0,0.120414,0.000398,0.037767,0.001489,0.049751,0.001583,0.041491,0.001133,0.031989,0.000555,0.100127,0.00634,0.15132,0.039818,80
minus_recovery_axis,5,0.585417,0.052298,0.599774,0.004914,0.640934,0.051452,0.599525,0.002167,0.45896,0.002246,0.032269,0.003676,0.070353,0.003027,0.032979,0.001371,0.114842,0.000615,0.180759,0.0,0.120414,0.000398,0.037171,0.001453,0.0501,0.001526,0.042318,0.001127,0.032399,0.000571,0.101524,0.006291,0.167643,0.052847,80
minus_recovery_axis,6,0.56875,0.036148,0.599795,0.005253,0.627316,0.035842,0.603589,0.001977,0.460626,0.00213,0.032417,0.00356,0.069846,0.003251,0.031817,0.001433,0.115199,0.000652,0.180759,0.0,0.120414,0.000398,0.036901,0.001481,0.049846,0.001554,0.042237,0.00111,0.031998,0.00058,0.10071,0.006409,0.139252,0.036801,80
minus_recovery_axis,7,0.566667,0.032667,0.600184,0.00503,0.625338,0.032809,0.600026,0.001805,0.457031,0.002274,0.031832,0.003702,0.070239,0.003276,0.032173,0.001479,0.11523,0.00058,0.180759,0.0,0.120414,0.000398,0.036376,0.001499,0.049871,0.001415,0.041241,0.00098,0.032102,0.000564,0.100598,0.006591,0.15882,0.036252,80
minus_recovery_axis,8,0.591667,0.041864,0.598845,0.005385,0.648235,0.041092,0.601219,0.00195,0.459017,0.002366,0.033001,0.00368,0.069956,0.003038,0.032577,0.00143,0.114598,0.000649,0.180759,0.0,0.120414,0.000398,0.037514,0.001594,0.049791,0.00158,0.041674,0.000891,0.032441,0.000521,0.101756,0.006323,0.119018,0.035566,80
minus_recovery_axis,9,0.633333,0.040428,0.599357,0.005002,0.688328,0.038951,0.599658,0.001837,0.459283,0.002003,0.033137,0.003735,0.069795,0.003149,0.032462,0.001428,0.115037,0.000756,0.180759,0.0,0.120414,0.000398,0.037748,0.001437,0.049871,0.001479,0.041585,0.001116,0.032281,0.000579,0.101715,0.00653,0.100006,0.030442,80
minus_schema_alignment,0,0.6375,0.039744,0.604267,0.004975,0.701351,0.039317,0.61844,0.002043,0.531568,0.002242,0.030653,0.003456,0.065008,0.002473,0.039351,0.002264,0.114505,0.000746,0.178759,0.0,0.122814,0.000398,0.037078,0.001412,0.068789,0.003911,0.041996,0.001055,0.033696,0.000677,0.099085,0.006034,0.112134,0.03787,80
minus_schema_alignment,1,0.610417,0.046831,0.60486,0.00491,0.670972,0.045205,0.619604,0.001985,0.528179,0.002247,0.030725,0.003594,0.064273,0.00253,0.039049,0.002344,0.114595,0.000682,0.178759,0.0,0.122814,0.000398,0.036901,0.001673,0.069192,0.003875,0.041594,0.00097,0.033809,0.000735,0.098454,0.006282,0.130496,0.035749,80
minus_schema_alignment,2,0.604167,0.042455,0.604959,0.004816,0.665933,0.0414,0.618078,0.001934,0.529417,0.002358,0.030895,0.003505,0.06524,0.00248,0.039965,0.002243,0.114667,0.000714,0.178759,0.0,0.122814,0.000398,0.037488,0.001314,0.0688,0.003895,0.041822,0.000984,0.033371,0.000628,0.099807,0.006096,0.12107,0.037702,80
minus_schema_alignment,3,0.610417,0.042283,0.605206,0.004732,0.67365,0.041446,0.619233,0.00177,0.531756,0.002087,0.030561,0.003529,0.064391,0.002534,0.039078,0.002217,0.114377,0.000573,0.178759,0.0,0.122814,0.000398,0.037027,0.001488,0.068567,0.003901,0.042087,0.000991,0.033456,0.000578,0.098394,0.006167,0.116984,0.035328,80
minus_schema_alignment,4,0.566667,0.045237,0.604686,0.004736,0.62799,0.04354,0.618786,0.001721,0.531087,0.002206,0.0305,0.00356,0.064529,0.002598,0.039054,0.002202,0.114619,0.000558,0.178759,0.0,0.122814,0.000398,0.037116,0.001356,0.068571,0.003901,0.041644,0.001032,0.034163,0.000645,0.098424,0.006205,0.14467,0.040223,80
minus_schema_alignment,5,0.622917,0.036171,0.605827,0.004923,0.686045,0.035197,0.620298,0.001918,0.53036,0.002429,0.030735,0.003634,0.064838,0.00243,0.039272,0.002384,0.115043,0.000658,0.178759,0.0,0.122814,0.000398,0.037848,0.001496,0.069815,0.003815,0.042178,0.001126,0.033844,0.000669,0.099,0.006322,0.110243,0.035243,80
minus_schema_alignment,6,0.59375,0.041842,0.606312,0.004983,0.656713,0.041015,0.619211,0.001959,0.530433,0.002118,0.031073,0.003497,0.064187,0.002599,0.039401,0.002184,0.114522,0.000718,0.178759,0.0,0.122814,0.000398,0.037195,0.001564,0.069022,0.003852,0.041819,0.000983,0.033714,0.000721,0.098914,0.006153,0.117089,0.032686,80
minus_schema_alignment,7,0.604167,0.045895,0.605158,0.004719,0.668069,0.045299,0.618815,0.001821,0.53122,0.002309,0.030475,0.003635,0.064772,0.002404,0.039672,0.002234,0.114577,0.000672,0.178759,0.0,0.122814,0.000398,0.037552,0.001428,0.068692,0.003973,0.041581,0.001092,0.033628,0.000598,0.09889,0.006259,0.146357,0.044224,80
minus_schema_alignment,8,0.564583,0.044063,0.605313,0.004922,0.628404,0.043344,0.618592,0.001726,0.531525,0.002348,0.031453,0.003614,0.064742,0.002506,0.039636,0.002292,0.114511,0.000689,0.178759,0.0,0.122814,0.000398,0.037325,0.001404,0.06893,0.003868,0.04207,0.001008,0.03368,0.000703,0.099827,0.006334,0.13962,0.04122,80
minus_schema_alignment,9,0.63125,0.04674,0.605953,0.004871,0.691792,0.045161,0.620397,0.002008,0.528826,0.002067,0.030967,0.003467,0.064057,0.002453,0.039229,0.002294,0.115143,0.000711,0.178759,0.0,0.122814,0.000398,0.037014,0.001461,0.068684,0.003853,0.042226,0.001117,0.033696,0.000683,0.098624,0.006068,0.113828,0.034519,80
minus_provenance_filter,0,0.6,0.052171,0.613,0.004216,0.665159,0.050511,0.627658,0.001758,0.530859,0.002668,0.023533,0.002579,0.064297,0.002597,0.03184,0.001486,0.115166,0.000674,0.174759,0.0,0.118039,0.000632,0.040974,0.002089,0.050961,0.001406,0.052196,0.002112,0.032336,0.000578,0.087675,0.004946,0.144106,0.042133,80
minus_provenance_filter,1,0.575,0.047174,0.613798,0.004346,0.640378,0.045384,0.629783,0.001797,0.531709,0.001943,0.023861,0.002595,0.064061,0.002355,0.032282,0.001474,0.114946,0.00069,0.174759,0.0,0.118039,0.000632,0.041454,0.002033,0.050686,0.001365,0.052147,0.002263,0.032814,0.000595,0.088048,0.004804,0.14931,0.039256,80
minus_provenance_filter,2,0.622917,0.038434,0.613568,0.004131,0.690707,0.037704,0.627388,0.002028,0.532087,0.002096,0.023445,0.002678,0.06409,0.002375,0.03233,0.00147,0.114894,0.000661,0.174759,0.0,0.118039,0.000632,0.041459,0.001934,0.051296,0.001493,0.052651,0.00217,0.032189,0.000586,0.087678,0.00481,0.110462,0.037147,80
minus_provenance_filter,3,0.59375,0.048216,0.613621,0.004294,0.658622,0.046622,0.628057,0.001924,0.530223,0.002152,0.024621,0.002755,0.063966,0.00249,0.032319,0.001583,0.114303,0.000654,0.174759,0.0,0.118039,0.000632,0.041361,0.002065,0.05079,0.001467,0.052089,0.002223,0.032589,0.000599,0.088755,0.005016,0.13568,0.038807,80
minus_provenance_filter,4,0.625,0.045941,0.612536,0.004398,0.691621,0.044998,0.626418,0.002127,0.531114,0.002303,0.024039,0.002663,0.064321,0.002444,0.032274,0.001405,0.1156,0.000679,0.174759,0.0,0.118039,0.000632,0.041265,0.001956,0.050439,0.001622,0.052274,0.002045,0.032272,0.000527,0.088417,0.004878,0.116495,0.040323,80
minus_provenance_filter,5,0.608333,0.042346,0.613757,0.004189,0.675071,0.041311,0.628432,0.001954,0.530576,0.002245,0.023497,0.002631,0.064044,0.002441,0.032788,0.001479,0.114967,0.000726,0.174759,0.0,0.118039,0.000632,0.041017,0.002019,0.051388,0.001523,0.052216,0.002205,0.032006,0.000547,0.087924,0.004877,0.123489,0.03569,80
minus_provenance_filter,6,0.635417,0.038588,0.613592,0.004262,0.701227,0.037221,0.626559,0.001981,0.530316,0.001936,0.023913,0.002579,0.064062,0.002544,0.032589,0.001382,0.11529,0.000665,0.174759,0.0,0.118039,0.000632,0.041373,0.00207,0.050498,0.001431,0.051896,0.00218,0.032385,0.000597,0.088254,0.004876,0.093411,0.029497,80
minus_provenance_filter,7,0.597917,0.044898,0.611854,0.004374,0.662976,0.04334,0.627437,0.001901,0.530004,0.001986,0.024075,0.002749,0.063763,0.002365,0.03203,0.001563,0.114353,0.000647,0.174759,0.0,0.118039,0.000632,0.041199,0.002004,0.051259,0.001692,0.052309,0.002151,0.032652,0.000535,0.087913,0.004981,0.150973,0.03979,80
minus_provenance_filter,8,0.610417,0.045736,0.613511,0.00417,0.67552,0.044238,0.628566,0.002204,0.530784,0.002488,0.023813,0.002562,0.063912,0.002411,0.032542,0.001476,0.114812,0.000747,0.174759,0.0,0.118039,0.000632,0.041844,0.001866,0.051258,0.001434,0.052074,0.002225,0.032566,0.00064,0.088017,0.004731,0.106924,0.038245,80
minus_provenance_filter,9,0.591667,0.046815,0.613326,0.004282,0.658349,0.045871,0.626845,0.001845,0.531302,0.002332,0.024335,0.002679,0.064116,0.002411,0.032703,0.001423,0.114997,0.000637,0.174759,0.0,0.118039,0.000632,0.041053,0.002105,0.051511,0.001545,0.052348,0.002129,0.032455,0.000543,0.088773,0.004835,0.138109,0.041984,80
minus_label_quality_model,0,0.575,0.043448,0.608897,0.004446,0.640586,0.042314,0.642358,0.001817,0.529534,0.002133,0.035935,0.003109,0.065522,0.002414,0.035961,0.001894,0.114717,0.000593,0.178559,0.0,0.117333,0.000809,0.04795,0.002948,0.051148,0.001351,0.05859,0.001082,0.033673,0.00062,0.103056,0.005539,0.156991,0.041594,80
minus_label_quality_model,1,0.61875,0.043948,0.607835,0.004666,0.68457,0.043382,0.638862,0.001901,0.528057,0.002215,0.03639,0.003393,0.065281,0.002621,0.035505,0.001777,0.11531,0.000727,0.178559,0.0,0.117333,0.000809,0.0483,0.002869,0.050475,0.001437,0.058565,0.001029,0.033716,0.000636,0.103103,0.005948,0.132588,0.042229,80
minus_label_quality_model,2,0.614583,0.047422,0.608063,0.00452,0.676057,0.044881,0.640351,0.001768,0.529111,0.002077,0.035547,0.003029,0.065104,0.002288,0.035777,0.001901,0.114239,0.000628,0.178559,0.0,0.117333,0.000809,0.047378,0.002897,0.050993,0.001437,0.058856,0.001125,0.03422,0.000664,0.102263,0.005417,0.115434,0.035061,80
minus_label_quality_model,3,0.595833,0.047129,0.607678,0.004588,0.660607,0.045977,0.643902,0.001867,0.531456,0.00244,0.036898,0.003192,0.065633,0.002528,0.036441,0.001862,0.114915,0.000619,0.178559,0.0,0.117333,0.000809,0.047908,0.002921,0.049642,0.00139,0.058912,0.001043,0.03337,0.00052,0.104343,0.005663,0.136625,0.039392,80
minus_label_quality_model,4,0.641667,0.043136,0.608306,0.004572,0.705469,0.041585,0.640645,0.002072,0.531416,0.002122,0.036779,0.003141,0.065134,0.002426,0.035606,0.001823,0.114776,0.000683,0.178559,0.0,0.117333,0.000809,0.048535,0.002814,0.050974,0.001452,0.059231,0.001147,0.03405,0.000549,0.103432,0.005557,0.082056,0.028791,80
minus_label_quality_model,5,0.6125,0.042216,0.608518,0.00468,0.676487,0.040594,0.640089,0.001682,0.531941,0.002124,0.035751,0.003197,0.065469,0.00278,0.036078,0.001883,0.115119,0.000681,0.178559,0.0,0.117333,0.000809,0.047777,0.002969,0.049957,0.001518,0.058384,0.001205,0.033443,0.000588,0.102892,0.005859,0.115669,0.034376,80
minus_label_quality_model,6,0.583333,0.041091,0.608513,0.004647,0.649515,0.040271,0.641218,0.002015,0.528935,0.002173,0.036172,0.00324,0.065466,0.002303,0.036197,0.001812,0.115275,0.000704,0.178559,0.0,0.117333,0.000809,0.047748,0.003064,0.050805,0.001662,0.058888,0.001113,0.033814,0.00065,0.10337,0.005573,0.131895,0.035619,80
minus_label_quality_model,7,0.616667,0.050793,0.607894,0.004279,0.678326,0.048805,0.639889,0.00202,0.530727,0.002181,0.035967,0.003114,0.06547,0.002578,0.036306,0.001898,0.114708,0.000579,0.178559,0.0,0.117333,0.000809,0.048324,0.002894,0.051387,0.001495,0.058418,0.001174,0.033561,0.000638,0.103222,0.005637,0.140093,0.040077,80
minus_label_quality_model,8,0.595833,0.047486,0.607339,0.004673,0.66315,0.047202,0.641072,0.001827,0.530848,0.002003,0.035926,0.003257,0.064959,0.00249,0.035473,0.001856,0.115057,0.000651,0.178559,0.0,0.117333,0.000809,0.048353,0.002976,0.05078,0.001492,0.058482,0.001141,0.034181,0.000642,0.102382,0.005737,0.127072,0.043528,80
minus_label_quality_model,9,0.6,0.042545,0.608014,0.004579,0.664765,0.04141,0.641046,0.001928,0.530472,0.002236,0.036304,0.003315,0.06487,0.002441,0.036052,0.001717,0.11547,0.000692,0.178559,0.0,0.117333,0.000809,0.048196,0.002956,0.050896,0.001598,0.058469,0.001091,0.033505,0.000688,0.102983,0.00563,0.123613,0.036545,80
minus_tail_risk_estimator,0,0.5875,0.055122,0.594293,0.005165,0.630152,0.053715,0.606844,0.001766,0.426546,0.002252,0.048252,0.003808,0.11957,0.006098,0.041794,0.002334,0.115281,0.000669,0.17723,0.0,0.116414,0.000398,0.037623,0.001425,0.051035,0.001501,0.042071,0.001125,0.033881,0.000591,0.158826,0.009029,0.172656,0.043582,80
minus_tail_risk_estimator,1,0.604167,0.047699,0.590886,0.005245,0.650062,0.047357,0.610442,0.001895,0.424834,0.002456,0.047895,0.003824,0.119866,0.00609,0.042156,0.002381,0.115101,0.000641,0.17723,0.0,0.116414,0.000398,0.037449,0.001417,0.050652,0.00157,0.041717,0.001024,0.033793,0.000615,0.158873,0.009076,0.151037,0.039908,80
