method,catalog_family,regime,split,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
trajectory_count_selection,robonet_multi_robot_video,nominal_metadata,nominal_catalog,0.483333,0.09045,0.579391,0.005165,0.484536,0.089847,0.22623,0.005475,0.163143,0.008033,0.041663,0.002872,0.039576,0.002551,0.023697,0.002439,0.201839,0.002066,0.083878,0.0,0.070138,0.0,0.030648,0.001934,0.037677,0.002257,0.030537,0.001703,0.028292,0.001188,0.083193,0.004239,0.392296,0.10837,10
trajectory_count_selection,robonet_multi_robot_video,nominal_metadata,task_shift,0.583333,0.163333,0.560871,0.004165,0.58064,0.163542,0.21783,0.005759,0.159213,0.006475,0.04734,0.00275,0.044052,0.002254,0.024323,0.001753,0.2053,0.001746,0.089158,0.0,0.07378,0.0,0.032868,0.001793,0.043301,0.002589,0.034139,0.001509,0.035105,0.001248,0.09254,0.003546,0.272282,0.177764,10
trajectory_count_selection,robonet_multi_robot_video,nominal_metadata,object_shift,0.466667,0.152444,0.549095,0.003485,0.462583,0.152441,0.21379,0.003862,0.150144,0.003937,0.04513,0.002681,0.045245,0.001141,0.023836,0.001628,0.206729,0.001623,0.092038,0.0,0.075773,0.0,0.031208,0.002039,0.048984,0.001321,0.035754,0.002387,0.039298,0.001284,0.090981,0.002898,0.388713,0.18245,10
trajectory_count_selection,robonet_multi_robot_video,nominal_metadata,embodiment_shift,0.466667,0.126985,0.534371,0.002906,0.457996,0.1266,0.203727,0.006773,0.142512,0.005307,0.048903,0.00275,0.047928,0.001191,0.026558,0.001713,0.21011,0.001377,0.094438,0.0,0.077488,0.0,0.033018,0.001889,0.076645,0.001744,0.041362,0.002424,0.043711,0.000577,0.098128,0.002346,0.378549,0.139095,10
trajectory_count_selection,robonet_multi_robot_video,nominal_metadata,mechanism_shift,0.533333,0.106689,0.525773,0.002307,0.522349,0.10668,0.183247,0.00559,0.140805,0.004149,0.048918,0.001375,0.049934,0.002794,0.025161,0.001261,0.212074,0.001993,0.097318,0.0,0.079499,0.0,0.032089,0.002484,0.057892,0.001726,0.044986,0.002088,0.046019,0.001335,0.09895,0.002517,0.340864,0.120275,10
trajectory_count_selection,robonet_multi_robot_video,nominal_metadata,sensor_modality_shift,0.583333,0.148105,0.52679,0.003202,0.573096,0.147816,0.190245,0.004122,0.141175,0.004506,0.047838,0.002085,0.049298,0.002984,0.025977,0.001511,0.212735,0.002416,0.098278,0.0,0.080212,0.0,0.03232,0.002096,0.061714,0.001543,0.048103,0.001921,0.048026,0.001624,0.0978,0.002307,0.295268,0.16565,10
trajectory_count_selection,robonet_multi_robot_video,nominal_metadata,provenance_label_shift,0.466667,0.136002,0.523575,0.001882,0.454837,0.136619,0.191459,0.004876,0.132356,0.007831,0.047855,0.001553,0.052345,0.001695,0.028347,0.002586,0.213193,0.00195,0.099238,0.0,0.081397,0.0,0.035766,0.001537,0.064903,0.001212,0.065339,0.001851,0.050639,0.001277,0.101287,0.001872,0.378805,0.188216,10
trajectory_count_selection,robonet_multi_robot_video,nominal_metadata,heldout_combined_catalog_gap,0.483333,0.113683,0.506759,0.004419,0.46796,0.114078,0.178206,0.007773,0.128455,0.005006,0.050847,0.00314,0.055795,0.002737,0.026389,0.002256,0.216474,0.001901,0.102598,0.0,0.08362,0.0,0.034746,0.001523,0.076827,0.00102,0.066557,0.002025,0.054898,0.001466,0.105888,0.004424,0.325575,0.146875,10
trajectory_count_selection,robonet_multi_robot_video,contact_transition_gap,nominal_catalog,0.533333,0.081485,0.546282,0.002025,0.526445,0.081884,0.230444,0.005203,0.173098,0.004325,0.077524,0.002863,0.057471,0.003322,0.029822,0.002151,0.200373,0.001387,0.083878,0.0,0.071865,0.0,0.037072,0.001479,0.044473,0.002108,0.035036,0.00106,0.030933,0.00114,0.135538,0.004118,0.389012,0.11414,10
trajectory_count_selection,robonet_multi_robot_video,contact_transition_gap,task_shift,0.566667,0.099798,0.514468,0.005051,0.550762,0.099588,0.217181,0.004776,0.15466,0.006649,0.087846,0.002982,0.078706,0.001411,0.034496,0.00249,0.205615,0.001451,0.089158,0.0,0.075699,0.0,0.037684,0.001901,0.051332,0.002848,0.038326,0.002955,0.039633,0.00116,0.164124,0.003451,0.37358,0.092218,10
