method,catalog_family,regime,split,success,success_ci95,success_probability,success_probability_ci95,utility,utility_ci95,mechanism_recall,mechanism_recall_ci95,rare_mechanism_recall,rare_mechanism_recall_ci95,coverage_false_negative,coverage_false_negative_ci95,tail_mechanism_failure,tail_mechanism_failure_ci95,unsafe_deployment_failure,unsafe_deployment_failure_ci95,redundancy_rate,redundancy_rate_ci95,selection_cost,selection_cost_ci95,annotation_burden,annotation_burden_ci95,label_noise_risk,label_noise_risk_ci95,schema_mismatch_rate,schema_mismatch_rate_ci95,provenance_risk,provenance_risk_ci95,calibration_ece,calibration_ece_ci95,audit_risk_score,audit_risk_score_ci95,regret_to_oracle,regret_to_oracle_ci95,groups
trajectory_count_selection,robonet_multi_robot_video,contact_transition_gap,object_shift,0.55,0.182531,0.505382,0.006338,0.529335,0.182575,0.213649,0.00642,0.149714,0.007583,0.095432,0.001881,0.093902,0.002065,0.033414,0.001455,0.209277,0.001327,0.092038,0.0,0.077808,0.0,0.040172,0.002316,0.055513,0.001857,0.041621,0.001183,0.044403,0.00116,0.182565,0.003123,0.329373,0.172658,10
trajectory_count_selection,robonet_multi_robot_video,contact_transition_gap,embodiment_shift,0.6,0.121254,0.485417,0.002715,0.574124,0.120429,0.207065,0.006182,0.146143,0.005605,0.097731,0.002728,0.106958,0.001982,0.038586,0.001327,0.209142,0.00186,0.094438,0.0,0.079703,0.0,0.041075,0.002317,0.085681,0.001689,0.045922,0.001213,0.048153,0.001469,0.197243,0.00382,0.27588,0.160307,10
trajectory_count_selection,robonet_multi_robot_video,contact_transition_gap,mechanism_shift,0.416667,0.177258,0.468431,0.002952,0.390923,0.170829,0.185603,0.003022,0.143656,0.005443,0.110897,0.00153,0.122311,0.001746,0.037321,0.001683,0.213288,0.002678,0.097318,0.0,0.081855,0.0,0.038821,0.002121,0.0669,0.001739,0.047783,0.002188,0.052641,0.00116,0.221291,0.001407,0.456165,0.18892,10
trajectory_count_selection,robonet_multi_robot_video,contact_transition_gap,sensor_modality_shift,0.416667,0.13987,0.4659,0.003246,0.387773,0.135582,0.194477,0.006135,0.137867,0.002524,0.106262,0.001899,0.126182,0.003057,0.039937,0.001716,0.21232,0.001458,0.098278,0.0,0.082683,0.0,0.040971,0.001261,0.069969,0.00285,0.050411,0.001491,0.052792,0.002004,0.220867,0.002851,0.38238,0.131573,10
trajectory_count_selection,robonet_multi_robot_video,contact_transition_gap,provenance_label_shift,0.466667,0.144457,0.463029,0.003491,0.432632,0.144144,0.188778,0.00677,0.133098,0.009067,0.106005,0.00226,0.126837,0.002436,0.043505,0.002443,0.212839,0.001798,0.099238,0.0,0.084727,0.0,0.045187,0.002308,0.073771,0.001405,0.072331,0.002271,0.054715,0.000945,0.222886,0.00287,0.35437,0.158791,10
trajectory_count_selection,robonet_multi_robot_video,contact_transition_gap,heldout_combined_catalog_gap,0.35,0.076222,0.439971,0.002438,0.308693,0.076527,0.179613,0.005194,0.129406,0.004982,0.117656,0.001737,0.147301,0.002172,0.044348,0.002079,0.216641,0.00207,0.102598,0.0,0.086923,0.0,0.045447,0.001473,0.089335,0.00167,0.072021,0.001057,0.06198,0.000946,0.250306,0.002478,0.585111,0.073752,10
trajectory_count_selection,robonet_multi_robot_video,force_tactile_gap,nominal_catalog,0.483333,0.132916,0.545539,0.004852,0.475197,0.132536,0.226719,0.004554,0.170487,0.007689,0.075395,0.00205,0.058367,0.002117,0.034481,0.002038,0.201616,0.002423,0.083878,0.0,0.072722,0.0,0.04067,0.002109,0.046017,0.001883,0.035001,0.001429,0.031414,0.000967,0.136411,0.003128,0.417564,0.136124,10
trajectory_count_selection,robonet_multi_robot_video,force_tactile_gap,task_shift,0.383333,0.069723,0.520294,0.003682,0.366546,0.069619,0.216179,0.004809,0.161924,0.005829,0.085843,0.002646,0.083439,0.003136,0.0386,0.001321,0.206067,0.00309,0.089158,0.0,0.076652,0.0,0.043037,0.002284,0.055154,0.001896,0.040872,0.001688,0.039727,0.001247,0.167723,0.002243,0.474714,0.147478,10
trajectory_count_selection,robonet_multi_robot_video,force_tactile_gap,object_shift,0.533333,0.106689,0.505367,0.002517,0.512447,0.106337,0.216977,0.00592,0.150655,0.008362,0.090281,0.00148,0.098446,0.002425,0.0387,0.001302,0.208144,0.001689,0.092038,0.0,0.078818,0.0,0.042883,0.001728,0.060478,0.001252,0.043443,0.002181,0.043071,0.001289,0.183465,0.00209,0.269536,0.114254,10
trajectory_count_selection,robonet_multi_robot_video,force_tactile_gap,embodiment_shift,0.55,0.129298,0.486733,0.003936,0.52243,0.129561,0.207518,0.005497,0.145686,0.00595,0.099186,0.00179,0.110549,0.002273,0.044468,0.001633,0.210119,0.001845,0.094438,0.0,0.080807,0.0,0.043874,0.001327,0.089582,0.001439,0.045061,0.002037,0.049796,0.001408,0.204332,0.001828,0.361023,0.164733,10
trajectory_count_selection,robonet_multi_robot_video,force_tactile_gap,mechanism_shift,0.4,0.087111,0.471249,0.003491,0.366712,0.087189,0.190553,0.005448,0.140387,0.005065,0.109504,0.002747,0.126791,0.001526,0.043023,0.00195,0.21127,0.002198,0.097318,0.0,0.083033,0.0,0.044682,0.001946,0.068974,0.001997,0.048154,0.002164,0.053322,0.000949,0.226108,0.003823,0.440041,0.119077,10
trajectory_count_selection,robonet_multi_robot_video,force_tactile_gap,sensor_modality_shift,0.483333,0.113683,0.466377,0.002603,0.449464,0.113515,0.193394,0.006707,0.137724,0.006008,0.107739,0.002072,0.130546,0.001838,0.043621,0.001679,0.212469,0.002233,0.098278,0.0,0.083919,0.0,0.0457,0.001213,0.07394,0.002394,0.051458,0.001598,0.054914,0.001581,0.227459,0.002844,0.3067,0.163054,10
trajectory_count_selection,robonet_multi_robot_video,force_tactile_gap,provenance_label_shift,0.416667,0.13987,0.45967,0.004599,0.3841,0.134809,0.188847,0.004256,0.136761,0.00686,0.105969,0.001928,0.135411,0.00238,0.047322,0.001271,0.213025,0.001826,0.099238,0.0,0.086385,0.0,0.052479,0.001651,0.079242,0.001561,0.073365,0.000875,0.056042,0.001305,0.231188,0.003043,0.438444,0.146865,10
trajectory_count_selection,robonet_multi_robot_video,force_tactile_gap,heldout_combined_catalog_gap,0.416667,0.121741,0.439787,0.002917,0.372049,0.121544,0.174435,0.004642,0.129324,0.003524,0.11885,0.002506,0.154396,0.002993,0.053216,0.001156,0.217644,0.001928,0.102598,0.0,0.088564,0.0,0.050963,0.00146,0.094484,0.001656,0.072176,0.001501,0.061137,0.001112,0.261255,0.004202,0.410333,0.166974,10
trajectory_count_selection,robonet_multi_robot_video,recovery_gap,nominal_catalog,0.566667,0.087111,0.534717,0.004525,0.555987,0.08644,0.229856,0.004768,0.164673,0.007021,0.08756,0.002808,0.060723,0.003008,0.036537,0.001351,0.201768,0.001773,0.083878,0.0,0.073271,0.0,0.041217,0.002196,0.046799,0.002167,0.034696,0.001879,0.033165,0.001561,0.151371,0.004226,0.36033,0.123438,10
trajectory_count_selection,robonet_multi_robot_video,recovery_gap,task_shift,0.583333,0.163333,0.503488,0.003236,0.562716,0.163497,0.218911,0.005268,0.154963,0.005605,0.103598,0.002192,0.08964,0.003444,0.038891,0.00184,0.205642,0.002046,0.089158,0.0,0.077262,0.0,0.043634,0.00201,0.054557,0.001404,0.038737,0.001922,0.041224,0.00158,0.190273,0.003859,0.306533,0.176127,10
trajectory_count_selection,robonet_multi_robot_video,recovery_gap,object_shift,0.466667,0.136002,0.488764,0.003766,0.442845,0.135171,0.213596,0.008419,0.153841,0.004647,0.105767,0.002942,0.098747,0.001562,0.041024,0.00234,0.208107,0.001387,0.092038,0.0,0.079465,0.0,0.044088,0.002125,0.060138,0.002457,0.044139,0.001685,0.04441,0.000922,0.200339,0.003278,0.417976,0.126798,10
trajectory_count_selection,robonet_multi_robot_video,recovery_gap,embodiment_shift,0.5,0.128839,0.47466,0.003464,0.468342,0.128321,0.205419,0.00569,0.149372,0.009717,0.116003,0.0021,0.11634,0.002918,0.046801,0.001454,0.210996,0.001825,0.094438,0.0,0.081511,0.0,0.046932,0.001892,0.094486,0.001883,0.046482,0.001784,0.050185,0.00106,0.226658,0.002272,0.380576,0.169672,10
trajectory_count_selection,robonet_multi_robot_video,recovery_gap,mechanism_shift,0.533333,0.094927,0.454288,0.003137,0.49531,0.094463,0.185532,0.005721,0.133769,0.005302,0.124573,0.002113,0.130917,0.001664,0.0469,0.001563,0.211842,0.002021,0.097318,0.0,0.083783,0.0,0.048322,0.001785,0.071744,0.001096,0.049325,0.001465,0.05381,0.001893,0.24621,0.003458,0.337279,0.107647,10
trajectory_count_selection,robonet_multi_robot_video,recovery_gap,sensor_modality_shift,0.416667,0.155905,0.452674,0.004851,0.378962,0.1561,0.193559,0.004746,0.139976,0.005224,0.12402,0.002372,0.13527,0.002302,0.049308,0.002016,0.212013,0.001529,0.098278,0.0,0.084706,0.0,0.049641,0.00257,0.075152,0.0013,0.053702,0.002416,0.055562,0.001007,0.250127,0.003098,0.374118,0.167454,10
trajectory_count_selection,robonet_multi_robot_video,recovery_gap,provenance_label_shift,0.383333,0.098,0.44493,0.00349,0.342124,0.097626,0.190148,0.00453,0.129468,0.005326,0.124878,0.002042,0.14412,0.002314,0.050615,0.002533,0.214155,0.002159,0.099238,0.0,0.087443,0.0,0.0551,0.001601,0.080864,0.002265,0.075722,0.001519,0.057641,0.000864,0.258276,0.002926,0.464321,0.077959,10
trajectory_count_selection,robonet_multi_robot_video,recovery_gap,heldout_combined_catalog_gap,0.383333,0.098,0.422152,0.003489,0.334917,0.09806,0.185071,0.006076,0.119456,0.004064,0.13719,0.003304,0.16173,0.002275,0.054349,0.000976,0.218305,0.002092,0.102598,0.0,0.089614,0.0,0.056963,0.00094,0.093937,0.001563,0.073919,0.001652,0.063715,0.000817,0.285663,0.003372,0.54998,0.119931,10
trajectory_count_selection,robonet_multi_robot_video,deformable_gap,nominal_catalog,0.55,0.129298,0.532745,0.004439,0.537771,0.129893,0.223188,0.003963,0.166715,0.007381,0.089731,0.002349,0.061632,0.002299,0.039674,0.001672,0.199925,0.001914,0.083878,0.0,0.0739,0.0,0.042961,0.002003,0.049244,0.001648,0.037312,0.002198,0.03322,0.001307,0.155791,0.003426,0.393338,0.131192,10
trajectory_count_selection,robonet_multi_robot_video,deformable_gap,task_shift,0.3,0.081485,0.502062,0.003717,0.277837,0.081605,0.211457,0.004647,0.159301,0.004956,0.104942,0.002587,0.091424,0.002872,0.041165,0.002005,0.206194,0.001867,0.089158,0.0,0.077961,0.0,0.044461,0.001832,0.058646,0.001902,0.042394,0.002024,0.041272,0.000981,0.194093,0.003301,0.607379,0.098274,10
trajectory_count_selection,robonet_multi_robot_video,deformable_gap,object_shift,0.533333,0.106689,0.489558,0.003991,0.507243,0.106623,0.212826,0.005371,0.151357,0.005241,0.108995,0.003157,0.104972,0.002047,0.044301,0.00167,0.20697,0.001482,0.092038,0.0,0.080206,0.0,0.047967,0.001935,0.063248,0.002022,0.043433,0.001759,0.045764,0.001342,0.209874,0.004055,0.344261,0.15573,10
trajectory_count_selection,robonet_multi_robot_video,deformable_gap,embodiment_shift,0.383333,0.109432,0.471476,0.004281,0.349707,0.109736,0.200664,0.007148,0.150803,0.006792,0.119692,0.002431,0.118435,0.00283,0.050721,0.001845,0.211715,0.001095,0.094438,0.0,0.082317,0.0,0.047953,0.002175,0.097383,0.001002,0.051283,0.001308,0.051354,0.001644,0.233879,0.003835,0.517434,0.164454,10
trajectory_count_selection,robonet_multi_robot_video,deformable_gap,mechanism_shift,0.45,0.119778,0.45412,0.003853,0.411216,0.119664,0.189345,0.007829,0.140088,0.004863,0.124996,0.001611,0.13898,0.002815,0.04901,0.002123,0.211754,0.001076,0.097318,0.0,0.084639,0.0,0.049543,0.00273,0.07555,0.002471,0.051175,0.002336,0.054225,0.001735,0.253736,0.003306,0.379067,0.105773,10
trajectory_count_selection,robonet_multi_robot_video,deformable_gap,sensor_modality_shift,0.466667,0.144457,0.451463,0.002041,0.42635,0.144142,0.19,0.005926,0.137337,0.007782,0.128627,0.002465,0.140682,0.002326,0.051042,0.001358,0.212775,0.00119,0.098278,0.0,0.085604,0.0,0.051521,0.001267,0.079275,0.001748,0.057719,0.0017,0.056709,0.0011,0.25966,0.003079,0.449376,0.153397,10
trajectory_count_selection,robonet_multi_robot_video,deformable_gap,provenance_label_shift,0.566667,0.072229,0.442893,0.002823,0.52413,0.07261,0.185773,0.005775,0.135771,0.007384,0.125567,0.00137,0.146946,0.002889,0.053271,0.002683,0.214064,0.001213,0.099238,0.0,0.088655,0.0,0.059532,0.002427,0.085307,0.002236,0.07863,0.001827,0.057415,0.000971,0.262412,0.002426,0.343696,0.125911,10
trajectory_count_selection,robonet_multi_robot_video,deformable_gap,heldout_combined_catalog_gap,0.45,0.098,0.414221,0.003694,0.399504,0.097811,0.176469,0.007213,0.130275,0.005828,0.141274,0.002073,0.165491,0.002875,0.058192,0.001943,0.215716,0.001303,0.102598,0.0,0.090817,0.0,0.058807,0.00228,0.100166,0.001791,0.078972,0.001991,0.063979,0.00154,0.294488,0.003037,0.450768,0.134767,10
trajectory_count_selection,robonet_multi_robot_video,irreversible_side_effect_gap,nominal_catalog,0.6,0.072229,0.532593,0.002506,0.585529,0.072154,0.22006,0.005879,0.169339,0.002918,0.088995,0.002042,0.071069,0.002594,0.044591,0.001763,0.200986,0.001879,0.083878,0.0,0.074255,0.0,0.046433,0.001812,0.05187,0.002174,0.037779,0.001977,0.03279,0.001582,0.164593,0.002258,0.268157,0.070276,10
trajectory_count_selection,robonet_multi_robot_video,irreversible_side_effect_gap,task_shift,0.633333,0.117277,0.49881,0.003413,0.609268,0.117471,0.215048,0.005414,0.157684,0.005676,0.105369,0.002409,0.099968,0.003055,0.04853,0.001738,0.206935,0.00217,0.089158,0.0,0.078355,0.0,0.046721,0.001566,0.060359,0.001607,0.044561,0.001806,0.042107,0.001493,0.20461,0.003581,0.292768,0.112001,10
trajectory_count_selection,robonet_multi_robot_video,irreversible_side_effect_gap,object_shift,0.5,0.108889,0.486591,0.003939,0.471507,0.109066,0.213436,0.004791,0.152397,0.004302,0.106598,0.002542,0.117514,0.002292,0.052655,0.002457,0.210514,0.00122,0.092038,0.0,0.080623,0.0,0.049153,0.001237,0.065369,0.002927,0.046394,0.001963,0.046373,0.001173,0.221061,0.003075,0.409387,0.131423,10
trajectory_count_selection,robonet_multi_robot_video,irreversible_side_effect_gap,embodiment_shift,0.4,0.139446,0.469834,0.003964,0.364799,0.139111,0.209418,0.005907,0.143309,0.005588,0.115745,0.001806,0.129879,0.002647,0.060184,0.001931,0.209631,0.001516,0.094438,0.0,0.08277,0.0,0.050164,0.001343,0.101821,0.002637,0.05089,0.002385,0.051944,0.001366,0.243246,0.003153,0.477382,0.135015,10
trajectory_count_selection,robonet_multi_robot_video,irreversible_side_effect_gap,mechanism_shift,0.583333,0.111578,0.450388,0.004435,0.541031,0.111803,0.188916,0.00516,0.140159,0.006208,0.127183,0.002382,0.1525,0.002217,0.058966,0.002004,0.212082,0.001108,0.097318,0.0,0.085121,0.0,0.052473,0.001955,0.077693,0.002175,0.054744,0.002311,0.055761,0.001866,0.271041,0.003918,0.345587,0.098162,10
trajectory_count_selection,robonet_multi_robot_video,irreversible_side_effect_gap,sensor_modality_shift,0.45,0.085045,0.448101,0.001995,0.406562,0.084537,0.186498,0.004735,0.135514,0.00646,0.125928,0.002773,0.154516,0.003082,0.059518,0.001885,0.213143,0.001547,0.098278,0.0,0.086109,0.0,0.053323,0.001777,0.081765,0.001655,0.057287,0.00153,0.057549,0.001056,0.271574,0.004835,0.526752,0.111048,10
trajectory_count_selection,robonet_multi_robot_video,irreversible_side_effect_gap,provenance_label_shift,0.383333,0.119778,0.443748,0.003051,0.337792,0.119583,0.188765,0.005726,0.135397,0.006523,0.128083,0.001167,0.158867,0.003255,0.065824,0.001673,0.213591,0.002279,0.099238,0.0,0.089337,0.0,0.060265,0.001885,0.086075,0.00174,0.08131,0.001936,0.057816,0.00141,0.280145,0.00265,0.425163,0.141265,10
trajectory_count_selection,robonet_multi_robot_video,irreversible_side_effect_gap,heldout_combined_catalog_gap,0.316667,0.09045,0.416965,0.004616,0.26222,0.090319,0.178463,0.006631,0.123639,0.004156,0.138256,0.002041,0.185213,0.002855,0.069738,0.002447,0.217429,0.001595,0.102598,0.0,0.091495,0.0,0.060725,0.002161,0.10254,0.001521,0.081714,0.00152,0.064693,0.000995,0.312034,0.003243,0.517005,0.127229,10
trajectory_count_selection,robonet_multi_robot_video,long_horizon_gap,nominal_catalog,0.633333,0.136002,0.532471,0.003064,0.621268,0.136183,0.222122,0.00507,0.160892,0.005054,0.088189,0.003034,0.058545,0.002108,0.037842,0.001861,0.200512,0.002336,0.083878,0.0,0.073786,0.0,0.044083,0.001822,0.050715,0.001603,0.03866,0.001754,0.034311,0.001464,0.151019,0.003122,0.27525,0.129873,10
trajectory_count_selection,robonet_multi_robot_video,long_horizon_gap,task_shift,0.583333,0.13112,0.49922,0.003944,0.5615,0.13066,0.218228,0.006959,0.155033,0.007886,0.105961,0.001919,0.089917,0.002492,0.043548,0.001957,0.205507,0.002895,0.089158,0.0,0.077834,0.0,0.045244,0.001376,0.058972,0.001278,0.043218,0.001077,0.041712,0.001109,0.195174,0.00323,0.343497,0.134446,10
trajectory_count_selection,robonet_multi_robot_video,long_horizon_gap,object_shift,0.583333,0.13112,0.48895,0.002534,0.558862,0.131655,0.215957,0.004905,0.156104,0.005724,0.105205,0.001906,0.101984,0.003385,0.043352,0.002008,0.209996,0.001413,0.092038,0.0,0.080071,0.0,0.048484,0.001988,0.063191,0.001438,0.044013,0.002173,0.045876,0.001064,0.203369,0.003248,0.308609,0.106603,10
trajectory_count_selection,robonet_multi_robot_video,long_horizon_gap,embodiment_shift,0.4,0.099798,0.471002,0.00518,0.367128,0.099796,0.201436,0.00293,0.14605,0.005492,0.114216,0.002253,0.118511,0.002344,0.049635,0.001564,0.209506,0.001827,0.094438,0.0,0.082167,0.0,0.048918,0.001869,0.097989,0.001778,0.051112,0.001713,0.052093,0.001166,0.227917,0.003166,0.488282,0.146445,10
trajectory_count_selection,robonet_multi_robot_video,long_horizon_gap,mechanism_shift,0.633333,0.126985,0.458081,0.004682,0.596134,0.127117,0.190848,0.00372,0.140191,0.006309,0.12142,0.002185,0.133785,0.002986,0.047486,0.001698,0.212561,0.001879,0.097318,0.0,0.084478,0.0,0.04909,0.000968,0.076025,0.001623,0.054124,0.00246,0.05438,0.001383,0.245502,0.003645,0.266359,0.150664,10
trajectory_count_selection,robonet_multi_robot_video,long_horizon_gap,sensor_modality_shift,0.45,0.098,0.449904,0.00254,0.41067,0.09855,0.190301,0.007695,0.13942,0.008258,0.124761,0.002312,0.139094,0.001292,0.050724,0.002199,0.212574,0.001275,0.098278,0.0,0.085435,0.0,0.050732,0.001452,0.082046,0.001895,0.054962,0.001576,0.055967,0.001187,0.254444,0.00207,0.444929,0.137341,10
trajectory_count_selection,robonet_multi_robot_video,long_horizon_gap,provenance_label_shift,0.416667,0.155905,0.446696,0.003889,0.378821,0.150969,0.183802,0.006085,0.13789,0.006543,0.12363,0.002671,0.145035,0.002367,0.054342,0.00173,0.213239,0.001968,0.099238,0.0,0.088432,0.0,0.058909,0.001631,0.085777,0.001734,0.07857,0.001625,0.058863,0.001132,0.259577,0.003127,0.511914,0.216582,10
trajectory_count_selection,robonet_multi_robot_video,long_horizon_gap,heldout_combined_catalog_gap,0.383333,0.119778,0.418415,0.003801,0.333986,0.119914,0.181995,0.007273,0.127888,0.005455,0.137396,0.001951,0.165006,0.00311,0.058101,0.001694,0.21641,0.001736,0.102598,0.0,0.090598,0.0,0.057553,0.001664,0.101883,0.00092,0.078416,0.00171,0.064462,0.001168,0.290201,0.002919,0.52727,0.124053,10
trajectory_count_selection,robonet_multi_robot_video,embodiment_schema_gap,nominal_catalog,0.533333,0.106689,0.527653,0.002922,0.518913,0.106336,0.227646,0.006079,0.16752,0.00885,0.09405,0.001974,0.059225,0.002072,0.048408,0.00148,0.203578,0.002069,0.083878,0.0,0.075238,0.0,0.048685,0.002165,0.074848,0.001916,0.039967,0.001631,0.036546,0.00186,0.162673,0.002872,0.372655,0.129432,10
trajectory_count_selection,robonet_multi_robot_video,embodiment_schema_gap,task_shift,0.616667,0.085045,0.496798,0.004818,0.59221,0.085508,0.214883,0.005481,0.157235,0.006592,0.107999,0.001199,0.088305,0.002315,0.052348,0.001545,0.203982,0.002019,0.089158,0.0,0.079448,0.0,0.05105,0.001662,0.08691,0.001099,0.046607,0.001031,0.043739,0.000897,0.200401,0.002012,0.276553,0.130884,10
trajectory_count_selection,robonet_multi_robot_video,embodiment_schema_gap,object_shift,0.55,0.098,0.485394,0.002609,0.521301,0.097837,0.215591,0.0045,0.150996,0.004187,0.109079,0.001934,0.105567,0.002202,0.056604,0.000872,0.207988,0.001907,0.092038,0.0,0.081782,0.0,0.052004,0.001392,0.095166,0.001202,0.052066,0.002104,0.047109,0.00094,0.216556,0.002941,0.341292,0.144091,10
trajectory_count_selection,robonet_multi_robot_video,embodiment_schema_gap,embodiment_shift,0.416667,0.087789,0.460724,0.003368,0.377978,0.087686,0.207629,0.007345,0.149844,0.006446,0.129763,0.001866,0.11939,0.00271,0.069522,0.00214,0.210963,0.001502,0.094438,0.0,0.084029,0.0,0.054387,0.00187,0.145779,0.001836,0.055218,0.001801,0.055387,0.001465,0.254066,0.002689,0.403991,0.1505,10
trajectory_count_selection,robonet_multi_robot_video,embodiment_schema_gap,mechanism_shift,0.55,0.098,0.448508,0.003209,0.507306,0.097931,0.18822,0.005569,0.145676,0.0049,0.131657,0.003836,0.137614,0.001827,0.065052,0.002273,0.210637,0.001697,0.097318,0.0,0.086459,0.0,0.054669,0.001402,0.112337,0.001817,0.05726,0.002819,0.057709,0.001316,0.267393,0.004419,0.324865,0.146249,10
trajectory_count_selection,robonet_multi_robot_video,embodiment_schema_gap,sensor_modality_shift,0.466667,0.094927,0.43964,0.003817,0.422236,0.095002,0.19004,0.00782,0.143649,0.006875,0.134967,0.002584,0.141265,0.002695,0.065939,0.000913,0.212106,0.00098,0.098278,0.0,0.087513,0.0,0.058022,0.001821,0.120402,0.001358,0.062498,0.001976,0.058615,0.000864,0.273886,0.004289,0.426565,0.118257,10
trajectory_count_selection,robonet_multi_robot_video,embodiment_schema_gap,provenance_label_shift,0.466667,0.152444,0.436245,0.003378,0.419546,0.151763,0.18717,0.006188,0.13769,0.007367,0.133424,0.003034,0.145863,0.00178,0.070845,0.00144,0.213901,0.001908,0.099238,0.0,0.091232,0.0,0.066275,0.001029,0.126142,0.002233,0.086814,0.002292,0.062337,0.000976,0.278244,0.003476,0.40392,0.180906,10
